"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","40001","30207","118","0","0","19246","68028","17839","182","0","1256","1076","39678","49343","0","89572"
"ALEXANDER","8063","10519","32","0","0","5330","22471","1085","25","0","162","128","11428","12394","0","23944"
"ALLEGHANY","3469","2284","11","0","0","1514","7055","79","8","0","44","86","3409","3836","0","7278"
"ANSON","12256","2295","7","0","0","1944","8296","7862","39","0","67","27","7265","8957","0","16502"
"ASHE","7588","8692","27","0","0","4350","20301","111","14","0","89","91","9650","10967","0","20657"
"AVERY","1610","7290","16","0","0","2782","11416","60","20","0","55","51","5486","6136","0","11698"
"BEAUFORT","16071","9602","17","0","0","6006","22853","8225","33","0","230","140","14032","17396","0","31696"
"BERTIE","11258","1394","8","0","0","1549","5309","8502","19","0","32","20","6047","7986","0","14209"
"BLADEN","15472","2785","5","0","0","3985","13259","8187","254","0","150","134","9946","12189","0","22247"
"BRUNSWICK","27401","28475","106","0","0","21056","67234","7976","215","0","589","494","35695","40720","0","77038"
"BUNCOMBE","76929","48052","322","0","0","50663","158068","10294","330","0","2952","1345","79367","94419","0","175966"
"BURKE","22780","20130","89","0","0","14364","52214","3448","71","0","694","316","26659","30508","0","57363"
"CABARRUS","38489","43651","179","0","0","27260","88098","16399","238","0","1612","1696","49724","58739","0","109579"
"CALDWELL","17913","23681","84","0","0","11089","48920","2730","50","0","415","314","24701","27851","0","52767"
"CAMDEN","3176","1938","12","0","0","2197","6002","1144","11","0","61","23","3495","3763","0","7323"
"CARTERET","15464","19313","67","0","0","12732","43796","2576","89","0","341","211","22067","24922","0","47576"
"CASWELL","9316","3146","13","0","0","2767","9420","5556","13","0","89","48","6825","8322","0","15242"
"CATAWBA","31824","45166","107","0","0","25616","89953","8749","112","0","1450","1045","47143","55110","0","102713"
"CHATHAM","20110","10977","46","0","0","11141","34324","6086","77","0","541","496","19081","22473","0","42274"
"CHEROKEE","7332","8672","29","0","0","5008","20470","206","111","0","83","79","9807","11198","0","21041"
"CHOWAN","5949","2407","6","0","0","2171","6955","3366","12","0","52","26","4692","5773","0","10533"
"CLAY","2839","3338","16","0","0","2614","8639","29","14","0","29","28","4148","4610","0","8807"
"CLEVELAND","30402","18646","56","0","0","12241","47143","12845","84","0","349","320","27568","33537","0","61345"
"COLUMBUS","24717","5810","21","0","0","6192","23898","11346","988","0","178","99","16510","20142","0","36740"
"CRAVEN","28204","22815","71","0","0","16237","49317","15379","112","0","1128","827","30251","36512","0","67327"
"CUMBERLAND","101574","48324","262","0","0","45820","97728","78405","2001","0","9900","7536","86518","106499","0","195980"
"CURRITUCK","5298","5292","37","0","0","5812","14990","960","52","0","159","92","7761","8540","0","16439"
"DARE","10331","7863","58","0","0","8386","25458","512","37","0","255","117","12639","13919","0","26638"
"DAVIDSON","32770","46928","176","0","0","21877","90200","9289","241","0","980","760","47226","54393","0","101751"
"DAVIE","6286","14548","28","0","0","5922","24536","1774","29","0","212","195","12530","14249","0","26784"
"DUPLIN","15763","6892","24","0","0","5673","18545","8815","41","0","398","506","12324","15512","0","28352"
"DURHAM","110957","28244","249","0","0","42694","96390","70633","420","0","3914","3069","78803","100254","0","182144"
"EDGECOMBE","28428","5744","19","0","0","3363","14533","22369","42","0","215","91","16095","21225","0","37554"
"FORSYTH","103221","74620","311","0","0","48247","155224","61389","396","0","3846","3210","99689","124804","0","226399"
"FRANKLIN","18799","11054","55","0","0","7098","25589","10271","95","0","447","386","16967","19705","0","37006"
"GASTON","48133","49752","175","0","0","29881","104916","18900","260","0","1283","1304","56798","69861","0","127941"
"GATES","5034","1496","6","0","0","1603","5069","2811","3","0","46","13","3625","4311","0","8139"
"GRAHAM","2477","2771","5","0","0","1276","6140","1","296","0","44","40","3134","3384","0","6529"
"GRANVILLE","19704","8076","44","0","0","6093","21510","11328","78","0","365","294","14841","18254","0","33917"
"GREENE","7467","1730","7","0","0","1764","6567","4177","15","0","102","118","4912","6048","0","10968"
"GUILFORD","172700","101356","466","0","0","74464","220699","111731","924","0","5553","3489","154392","193901","0","348986"
"HALIFAX","26682","4791","28","0","0","5098","15444","19176","1031","0","245","108","15577","20791","0","36599"
"HARNETT","28385","21038","159","0","0","13127","45276","14180","413","0","1228","1223","28106","34398","0","62709"
"HAYWOOD","20282","11968","28","0","0","9763","41006","408","100","0","206","210","19278","22654","0","42041"
"HENDERSON","19240","31625","108","0","0","25196","71635","2076","131","0","918","837","34797","40863","0","76169"
"HERTFORD","11604","1770","7","0","0","1511","5512","9008","85","0","86","36","6280","8546","0","14892"
"HOKE","14264","5408","34","0","0","6622","12436","10241","2052","0","1084","951","11677","14597","0","26328"
"HYDE","2565","492","2","0","0","558","2590","962","6","0","16","9","1633","1959","0","3617"
"IREDELL","34015","42442","136","0","0","25930","86594","12137","158","0","1069","1165","47542","54182","0","102523"
"JACKSON","11879","7017","28","0","0","7819","23734","471","1488","0","195","162","12213","13969","0","26743"
"JOHNSTON","39131","38332","152","0","0","23536","81358","15820","282","0","1814","1279","46186","54342","0","101151"
