"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","40071","30144","114","0","0","0","19092","67941","17804","181","0","0","0","0","1232","1060","39606","49263","0","89421","0"
"ALEXANDER","8080","10539","31","0","0","0","5278","22459","1083","26","0","0","0","0","156","124","11411","12397","0","23928","0"
"ALLEGHANY","3476","2275","12","0","0","0","1494","7037","80","7","0","0","0","0","44","83","3391","3833","0","7257","0"
"ANSON","12256","2288","7","0","0","0","1937","8285","7858","40","0","0","0","0","67","27","7256","8952","0","16488","0"
"ASHE","7621","8697","26","0","0","0","4332","20322","111","13","0","0","0","0","89","89","9667","10970","0","20676","0"
"AVERY","1613","7294","14","0","0","0","2766","11399","59","19","0","0","0","0","53","54","5474","6128","0","11687","0"
"BEAUFORT","16100","9545","15","0","0","0","5935","22766","8210","34","0","0","0","0","231","140","13993","17332","0","31595","0"
"BERTIE","11270","1387","8","0","0","0","1527","5294","8500","19","0","0","0","0","30","19","6042","7974","0","14192","0"
"BLADEN","15508","2786","4","0","0","0","3892","13206","8194","249","0","0","0","0","147","130","9921","12160","0","22190","0"
"BRUNSWICK","27351","28278","98","0","0","0","20811","66779","7952","217","0","0","0","0","582","483","35467","40443","0","76538","0"
"BUNCOMBE","76880","47928","288","0","0","0","50109","157381","10289","332","0","0","0","0","2929","1327","79055","94002","0","175205","0"
"BURKE","22823","20101","82","0","0","0","14263","52141","3436","69","0","0","0","0","690","313","26607","30466","0","57269","0"
"CABARRUS","38523","43509","171","0","0","0","27034","87883","16304","240","0","0","0","0","1589","1673","49577","58539","0","109237","0"
"CALDWELL","17926","23643","80","0","0","0","11017","48830","2728","51","0","0","0","0","409","308","24651","27798","0","52666","0"
"CAMDEN","3174","1936","11","0","0","0","2174","5983","1139","11","0","0","0","0","58","22","3484","3746","0","7295","0"
"CARTERET","15532","19268","60","0","0","0","12595","43680","2574","88","0","0","0","0","336","207","22004","24864","0","47455","0"
"CASWELL","9345","3141","12","0","0","0","2750","9418","5566","14","0","0","0","0","86","47","6829","8323","0","15248","0"
"CATAWBA","31874","45127","103","0","0","0","25427","89828","8726","111","0","0","0","0","1441","1026","47042","55026","0","102531","0"
"CHATHAM","20108","10922","46","0","0","0","11039","34193","6093","75","0","0","0","0","534","485","19008","22391","0","42115","0"
"CHEROKEE","7313","8640","27","0","0","0","4975","20389","204","110","0","0","0","0","82","79","9777","11144","0","20955","0"
"CHOWAN","5977","2390","6","0","0","0","2145","6947","3359","12","0","0","0","0","53","26","4686","5765","0","10518","0"
"CLAY","2839","3333","16","0","0","0","2577","8597","28","14","0","0","0","0","29","28","4125","4590","0","8765","0"
"CLEVELAND","30474","18623","52","0","0","0","12190","47134","12847","84","0","0","0","0","347","317","27577","33521","0","61339","0"
"COLUMBUS","24828","5820","21","0","0","0","6155","23959","11370","990","0","0","0","0","176","100","16555","20182","0","36824","0"
"CRAVEN","28191","22729","65","0","0","0","16015","49049","15331","109","0","0","0","0","1113","818","30091","36338","0","67000","0"
"CUMBERLAND","101547","48326","245","0","0","0","45554","97656","78237","1999","0","0","0","0","9835","7492","86422","106268","0","195672","0"
"CURRITUCK","5312","5260","36","0","0","0","5753","14913","964","53","0","0","0","0","155","90","7724","8499","0","16361","0"
"DARE","10321","7819","49","0","0","0","8298","25318","511","36","0","0","0","0","247","116","12579","13827","0","26487","0"
"DAVIDSON","32843","46877","170","0","0","0","21711","90101","9264","240","0","0","0","0","964","743","47146","54324","0","101601","0"
"DAVIE","6311","14545","27","0","0","0","5877","24514","1776","29","0","0","0","0","209","192","12517","14238","0","26760","0"
"DUPLIN","15786","6868","22","0","0","0","5627","18510","8823","41","0","0","0","0","381","496","12293","15495","0","28303","0"
"DURHAM","110731","28139","241","0","0","0","42347","95903","70526","415","0","0","0","0","3869","3027","78499","99865","0","181458","0"
"EDGECOMBE","28478","5727","18","0","0","0","3294","14533","22337","41","0","0","0","0","214","89","16084","21198","0","37517","0"
"FORSYTH","103460","74559","295","0","0","0","47921","155110","61396","390","0","0","0","0","3791","3172","99580","124743","0","226235","0"
"FRANKLIN","18834","11020","54","0","0","0","7041","25554","10260","94","0","0","0","0","444","383","16926","19688","0","36949","0"
"GASTON","48288","49673","159","0","0","0","29687","104831","18871","259","0","0","0","0","1265","1292","56714","69805","0","127807","0"
"GATES","5054","1498","6","0","0","0","1606","5085","2820","3","0","0","0","0","46","13","3640","4320","0","8164","0"
"GRAHAM","2476","2771","5","0","0","0","1262","6130","1","294","0","0","0","0","44","41","3127","3376","0","6514","0"
"GRANVILLE","19715","8043","42","0","0","0","6052","21464","11311","78","0","0","0","0","356","291","14808","18214","0","33852","0"
"GREENE","7473","1720","6","0","0","0","1761","6575","4163","15","0","0","0","0","100","117","4900","6052","0","10960","0"
"GUILFORD","172456","101088","423","0","0","0","73886","220047","111361","926","0","0","0","0","5485","3432","153871","193289","0","347853","0"
"HALIFAX","26728","4769","25","0","0","0","5062","15439","19164","1032","0","0","0","0","244","106","15578","20772","0","36584","0"
"HARNETT","28442","20972","146","0","0","0","12981","45141","14168","413","0","0","0","0","1211","1199","28041","34293","0","62541","0"
"HAYWOOD","20331","11948","31","0","0","0","9664","40936","408","98","0","0","0","0","205","209","19247","22616","0","41974","0"
"HENDERSON","19235","31581","98","0","0","0","25010","71408","2069","131","0","0","0","0","905","832","34684","40732","0","75924","0"
"HERTFORD","11599","1769","6","0","0","0","1483","5498","8988","84","0","0","0","0","86","36","6260","8532","0","14857","0"
"HOKE","14244","5367","30","0","0","0","6576","12363","10225","2041","0","0","0","0","1073","939","11639","14524","0","26217","0"
"HYDE","2566","488","2","0","0","0","547","2578","963","6","0","0","0","0","15","9","1627","1952","0","3603","0"
