"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","38239","36441","701","0","0","37309","74171","23078","273","8","15160","5345","47062","57482","8146","112690"
"ALEXANDER","4542","11950","125","0","0","8297","21971","952","36","2","1953","437","11389","12109","1416","24914"
"ALLEGHANY","1906","3134","38","0","0","2627","6902","72","7","0","724","211","3464","3700","541","7705"
"ANSON","9138","2967","47","0","0","3845","6699","6463","29","0","2806","104","6051","7370","2576","15997"
"ASHE","4054","9063","108","0","0","6713","18422","116","26","1","1373","289","9020","9947","971","19938"
"AVERY","1333","7189","56","0","0","3897","11363","54","19","0","1039","93","5592","6112","771","12475"
"BEAUFORT","10676","12261","131","0","0","10121","23206","7126","37","2","2818","541","14195","16819","2175","33189"
"BERTIE","8092","1656","40","0","0","3071","4599","7400","20","1","839","46","5419","6725","715","12859"
"BLADEN","9557","5189","77","0","0","7167","12459","7481","395","2","1653","505","9637","11484","869","21990"
"BRUNSWICK","27349","49791","677","0","0","46517","103209","8883","381","5","11856","1756","53196","61284","9854","124334"
"BUNCOMBE","74728","45971","1697","0","0","85135","172675","10545","366","38","23907","4828","88901","104096","14534","207531"
"BURKE","13544","23150","361","0","0","21585","49305","3140","92","1","6102","1212","25970","28872","3798","58640"
"CABARRUS","44140","51338","1217","0","0","55717","97746","30222","392","8","24044","6547","64289","75438","12685","152412"
"CALDWELL","10114","26277","378","0","0","17209","46721","2642","73","0","4542","1048","24178","26613","3187","53978"
"CAMDEN","1462","3008","66","0","0","3567","6625","923","9","1","545","50","3696","4013","394","8103"
"CARTERET","9657","24831","321","0","0","19298","46894","2225","98","11","4879","625","23505","26640","3962","54107"
"CASWELL","6369","4087","55","0","0","4816","9433","4699","21","1","1173","209","6734","7709","884","15327"
"CATAWBA","21378","47609","638","0","0","40138","86319","8869","148","3","14424","4254","48234","54052","7477","109763"
"CHATHAM","21275","14130","326","0","0","23626","44365","6026","125","1","8840","2110","24882","28940","5535","59357"
"CHEROKEE","3660","11401","135","0","0","7692","21317","250","127","1","1193","211","10774","11689","425","22888"
"CHOWAN","3734","2964","34","0","0","3262","6479","2813","12","2","688","75","4324","5334","336","9994"
"CLAY","1466","4570","62","0","0","3473","8992","45","16","1","517","83","4393","4786","392","9571"
"CLEVELAND","21106","25452","400","0","0","20358","47281","13476","95","4","6460","873","28817","33706","4793","67316"
"COLUMBUS","15158","10281","107","0","0","10959","22159","10421","952","1","2972","437","15712","18596","2197","36505"
"CRAVEN","20223","26811","544","0","0","24431","50321","13971","170","10","7537","1820","30987","36974","4048","72009"
"CUMBERLAND","88190","48134","1707","0","0","69590","84434","82942","2282","61","37902","12392","82745","104223","20653","207621"
"CURRITUCK","3404","9283","214","0","0","9335","19375","1130","43","3","1685","193","10274","10868","1094","22236"
"DARE","7656","10887","244","0","0","12889","28618","527","35","1","2495","291","14201","15727","1748","31676"
"DAVIDSON","22186","55038","651","0","0","36406","91613","10400","247","7","12014","2722","49849","56512","7920","114281"
"DAVIE","4878","16304","163","0","0","10567","27054","1926","41","1","2890","738","14323","15829","1760","31912"
"DUPLIN","11387","9472","134","0","0","10113","18323","8247","60","1","4475","1989","13126","15520","2460","31106"
"DURHAM","126246","24379","1262","0","0","82274","112854","75502","589","22","45194","10547","93478","118065","22618","234161"
"EDGECOMBE","21567","6602","107","0","0","6563","12235","19865","66","2","2671","544","14262","18731","1846","34839"
"FORSYTH","102463","72655","1680","0","0","89945","160541","68588","524","25","37065","12345","110436","135064","21243","266743"
"FRANKLIN","16963","15601","362","0","0","16880","31736","11778","145","3","6144","1524","21077","24114","4615","49806"
"GASTON","41414","59929","1164","0","0","51522","107882","26622","350","5","19170","5101","65566","77250","11213","154029"
"GATES","3638","2016","34","0","0","2560","5113","2513","15","0","607","50","3592","4139","517","8248"
"GRAHAM","1216","3002","32","0","0","1815","5513","8","270","1","273","31","2841","3035","189","6065"
"GRANVILLE","16550","10816","193","0","0","12656","23623","11768","87","3","4734","1074","16711","19450","4054","40215"
"GREENE","5061","2428","26","0","0","3293","5912","3793","12","0","1091","446","4671","5628","509","10808"
"GUILFORD","160016","90010","2251","0","0","122755","194871","125516","982","16","53647","12754","157868","196751","20413","375032"
"HALIFAX","21657","4958","100","0","0","9926","14001","18933","1090","2","2615","273","15628","19186","1827","36641"
"HARNETT","24301","29797","762","0","0","28123","51528","17105","477","14","13859","4601","34532","40816","7635","82983"
"HAYWOOD","12833","15769","342","0","0","16506","42018","466","124","0","2842","532","20448","23429","1573","45450"
"HENDERSON","17347","32079","614","0","0","37963","76838","2395","152","6","8612","2465","37874","45098","5031","88003"
"HERTFORD","9483","1554","38","0","0","3295","4615","8774","94","1","886","101","6032","7768","570","14370"
"HOKE","14153","7363","309","0","0","11507","13303","12604","2032","15","5378","2357","14557","17591","1184","33332"
"HYDE","1386","629","19","0","0","1042","2295","570","0","0","211","49","1372","1542","162","3076"
"IREDELL","28020","55526","864","0","0","49917","105010","14451","223","3","14640","4200","59423","66021","8883","134327"
