"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37125","36258","690","20","3","0","38013","73118","23121","255","9","15606","5734","46776","56753","8580","112109"
"ALEXANDER","4218","12060","121","3","2","0","8465","21834","944","34","1","2056","482","11277","12043","1549","24869"
"ALLEGHANY","1798","3279","40","0","2","0","2741","6992","74","7","0","787","225","3498","3772","590","7860"
"ANSON","8921","3065","52","1","0","0","4023","6771","6459","30","1","2801","127","6102","7386","2574","16062"
"ASHE","3802","9110","104","1","2","0","6926","18367","111","25","2","1440","305","9005","9881","1059","19945"
"AVERY","1291","7248","59","1","0","0","4026","11452","58","20","0","1095","106","5640","6174","811","12625"
"BEAUFORT","10371","12598","142","2","1","0","10747","23684","7121","41","2","3013","632","14487","17055","2319","33861"
"BERTIE","7725","1663","38","0","0","0","3182","4569","7128","19","1","891","54","5277","6567","764","12608"
"BLADEN","9323","5392","89","2","0","0","7525","12585","7490","404","3","1849","571","9769","11525","1037","22331"
"BRUNSWICK","27200","51746","689","19","8","0","48611","106635","8810","372","9","12447","1935","54512","63109","10652","128273"
"BUNCOMBE","72813","44547","1633","71","14","0","86372","170832","10046","340","45","24187","5122","87518","102730","15202","205450"
"BURKE","12669","23259","350","7","0","0","21927","48704","3053","91","1","6363","1326","25496","28496","4220","58212"
"CABARRUS","43414","50887","1208","41","17","0","57014","96396","30663","387","11","25124","6980","63929","75168","13484","152581"
"CALDWELL","9457","26364","363","5","2","0","17256","45933","2535","71","0","4908","1109","23719","26221","3507","53447"
"CAMDEN","1419","3114","74","0","2","0","3720","6840","922","10","1","556","55","3804","4103","422","8329"
"CARTERET","9416","25625","354","6","6","0","20295","48139","2209","100","9","5245","682","24143","27311","4248","55702"
"CASWELL","6015","4190","57","1","0","0","4828","9336","4530","22","1","1202","220","6606","7547","938","15091"
"CATAWBA","20267","47727","660","15","24","0","41448","85833","8610","145","4","15549","4654","48041","53655","8445","110141"
"CHATHAM","21060","14169","327","9","3","0","24426","44174","5839","121","3","9857","2199","24740","28823","6431","59994"
"CHEROKEE","3365","11614","146","1","1","0","7720","21270","239","120","1","1217","227","10753","11622","472","22847"
"CHOWAN","3633","3128","43","0","0","0","3480","6698","2827","12","4","743","84","4445","5460","379","10284"
"CLAY","1385","4682","58","0","0","0","3511","9038","42","17","0","539","87","4412","4815","409","9636"
"CLEVELAND","19961","25729","401","9","2","0","20859","46730","13173","86","4","6968","1018","28525","33177","5259","66961"
"COLUMBUS","14335","10649","109","4","0","0","11170","21963","10284","946","4","3070","517","15582","18439","2246","36267"
"CRAVEN","20069","27794","578","13","13","0","26348","52283","14119","173","8","8232","2071","32135","38139","4541","74815"
"CUMBERLAND","86940","48322","1808","50","15","0","73205","85241","83813","2327","66","38893","13300","84406","105378","20556","210340"
"CURRITUCK","3424","9975","217","4","0","0","10076","20591","1184","44","3","1874","227","10913","11520","1263","23696"
"DARE","7542","11256","255","10","2","0","13679","29600","542","37","1","2564","335","14723","16230","1791","32744"
"DAVIDSON","21300","55297","672","11","12","0","37105","91079","10466","242","7","12603","3082","49630","56304","8463","114397"
"DAVIE","4690","16347","163","9","3","0","10865","27016","1912","44","1","3104","821","14245","15858","1974","32077"
"DUPLIN","10799","9708","134","6","2","0","10367","18184","8052","65","1","4714","2201","13107","15433","2476","31016"
"DURHAM","123976","23253","1192","60","21","0","83213","112196","72605","570","33","46311","11124","91673","116380","23662","231715"
"EDGECOMBE","20552","6585","104","2","4","0","6782","11989","19162","59","2","2817","579","13809","18156","2064","34029"
"FORSYTH","97335","70716","1695","58","18","0","91111","157732","64648","504","29","38020","12986","107131","131865","21937","260933"
"FRANKLIN","16780","15958","382","5","1","0","17828","32307","11845","138","3","6661","1770","21322","24518","5114","50954"
"GASTON","40414","59757","1164","20","22","0","52649","107239","26880","331","5","19571","5655","65442","77219","11365","154026"
"GATES","3472","2058","37","1","1","0","2593","5040","2457","16","0","649","53","3561","4051","550","8162"
"GRAHAM","1119","3026","32","0","1","0","1863","5490","9","260","1","281","36","2826","3014","201","6041"
"GRANVILLE","16017","10889","228","5","6","0","13027","22973","11426","78","4","5691","1147","16334","18971","4867","40172"
"GREENE","4894","2506","30","1","1","0","3455","5933","3772","12","0","1170","488","4688","5624","575","10887"
"GUILFORD","154850","88110","2199","68","27","0","126470","191848","123562","947","24","55343","13462","155949","194510","21265","371724"
"HALIFAX","20399","4810","99","2","3","0","10142","13544","18253","1029","4","2625","292","15114","18462","1879","35455"
"HARNETT","23925","30334","780","25","11","0","29187","52154","17211","471","17","14409","5135","35051","41171","8040","84262"
