"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36533","38020","639","46","0","0","0","0","42705","75235","24208","260","20","1289","642","10110","6179","7378","48866","58887","10190","117943","1"
"ALEXANDER","3729","12633","115","5","0","0","0","0","9055","22147","931","32","2","153","37","1762","473","573","11434","12241","1862","25537","1"
"ALLEGHANY","1547","3572","36","1","0","0","0","0","2944","7093","77","10","0","7","13","730","170","251","3604","3824","672","8100","1"
"ANSON","7704","3380","54","6","0","0","0","0","4617","6637","6051","34","2","89","25","2668","255","199","5889","7137","2735","15761","1"
"ASHE","3409","9489","98","5","0","0","0","0","7430","18578","112","26","2","57","18","1375","263","348","9111","9990","1330","20431","1"
"AVERY","1130","7058","65","4","0","0","0","0","4019","11044","56","17","0","29","14","971","145","135","5466","5917","893","12276","1"
"BEAUFORT","9135","13180","122","10","0","0","0","0","11014","23475","6493","38","3","60","53","2523","816","765","14139","16621","2701","33461","1"
"BERTIE","7021","1790","42","1","0","0","0","0","3390","4560","6628","16","1","28","15","924","72","52","5041","6269","934","12244","1"
"BLADEN","8173","5877","76","8","0","0","0","0","8352","12414","7032","397","6","27","87","1961","562","641","9501","11283","1702","22486","1"
"BRUNSWICK","27302","58026","711","36","0","0","0","0","55173","117280","9150","407","12","628","240","10662","2869","2601","59837","69217","12194","141248","1"
"BUNCOMBE","71253","44908","1538","234","0","0","0","0","94002","174400","10166","365","44","1656","1011","17962","6331","6082","90082","105098","16755","211935","1"
"BURKE","11437","24930","353","21","0","0","0","0","23028","49679","3051","96","2","968","131","4213","1629","1648","26100","29051","4618","59769","1"
"CABARRUS","43064","51840","1074","120","0","0","0","0","62669","96663","32649","418","22","4189","706","15677","8443","8550","66110","77376","15281","158767","1"
"CALDWELL","8740","27777","343","15","0","0","0","0","18544","45874","2537","77","0","206","143","5438","1144","1343","24348","27059","4012","55419","1"
"CAMDEN","1201","3307","65","6","0","0","0","0","3719","6656","860","8","2","37","16","557","162","77","3711","3971","616","8298","1"
"CARTERET","8474","26507","341","22","0","0","0","0","21330","48951","2079","100","7","320","122","4203","892","834","24586","27647","4441","56674","1"
"CASWELL","5487","4695","60","2","0","0","0","0","5167","9613","4323","24","1","37","47","1095","271","290","6658","7621","1132","15411","1"
"CATAWBA","19554","50940","663","51","0","0","0","0","44901","89232","8863","157","10","2700","318","9462","5367","5643","50154","55905","10050","116109","1"
"CHATHAM","20851","14899","308","28","0","0","0","0","27062","45852","5767","128","9","1302","251","7299","2540","2734","25828","29987","7333","63148","1"
"CHEROKEE","2979","12899","145","6","0","0","0","0","8168","22440","249","116","2","100","31","963","296","273","11441","12212","544","24197","1"
"CHOWAN","3165","3215","42","1","0","0","0","0","3475","6538","2542","16","6","18","23","623","132","96","4306","5144","448","9898","1"
"CLAY","1273","5046","53","2","0","0","0","0","3629","9347","43","16","0","18","10","484","85","101","4556","4992","455","10003","1"
"CLEVELAND","18259","27518","399","20","0","0","0","0","22473","47276","12967","96","7","375","213","6316","1419","1273","28851","33650","6168","68669","1"
"COLUMBUS","12295","11683","119","7","0","0","0","0","12502","22218","9889","949","4","60","83","2724","679","646","15570","18353","2683","36606","1"
"CRAVEN","18507","28557","541","39","0","0","0","0","27531","52448","13416","181","9","1271","261","4944","2645","2376","32222","37963","4990","75175","1"
"CUMBERLAND","82286","50366","1734","146","0","0","0","0","81875","84294","84017","2358","124","3596","1963","25285","14770","14640","85626","106291","24490","216407","1"
"CURRITUCK","2997","10328","202","5","0","0","0","0","10365","20476","1164","42","3","126","67","1514","505","295","10844","11515","1538","23897","1"
"DARE","6631","11265","222","18","0","0","0","0","13854","28826","519","33","1","123","63","1741","684","409","14465","15762","1763","31990","1"
"DAVIDSON","20688","58732","682","33","0","0","0","0","40426","93845","11120","256","6","980","265","10246","3843","4013","51722","58419","10420","120561","1"
"DAVIE","4436","17014","155","13","0","0","0","0","11504","27644","1926","42","0","147","85","2415","863","1037","14645","16238","2239","33122","1"
"DUPLIN","9812","10451","121","10","0","0","0","0","11120","18352","7757","60","3","65","126","3233","1918","2556","13313","15458","2743","31514","1"
"DURHAM","121351","22586","1038","198","0","0","0","0","94277","113115","71315","573","47","9182","2525","30892","11801","13354","92890","118047","28513","239450","1"
"EDGECOMBE","19097","6896","109","11","0","0","0","0","8855","12065","18364","64","3","58","92","3617","705","739","13594","17764","3610","34968","1"
"FORSYTH","94126","71377","1593","174","0","0","0","0","101307","159176","64168","509","36","3696","1456","26622","12914","15326","108699","134336","25542","268577","1"
"FRANKLIN","16517","17508","388","18","0","0","0","0","20745","34724","12297","143","6","398","188","5060","2360","2472","23006","26286","5884","55176","1"
"GASTON","40086","62348","1143","70","0","0","0","0","56923","109441","28923","326","15","1532","648","13134","6551","7269","68227","80394","11949","160570","1"
"GATES","3053","2278","32","2","0","0","0","0","2732","5131","2297","17","0","10","35","527","80","56","3546","3963","588","8097","1"
"GRAHAM","949","3209","31","0","0","0","0","0","1975","5584","10","272","1","16","5","226","50","44","2902","3057","205","6164","1"
"GRANVILLE","14952","11552","216","8","0","0","0","0","14488","22275","10751","73","3","179","183","6457","1295","1289","16022","18329","6865","41216","1"
"GREENE","4344","2706","30","3","0","0","0","0","3791","5899","3555","9","1","16","15","843","536","567","4609","5525","740","10874","1"
"GUILFORD","151688","88854","1986","239","0","0","0","0","140743","191757","126890","975","56","10663","2550","33444","17175","16337","159687","198739","25084","383510","1"
"HALIFAX","18449","4843","93","7","0","0","0","0","10666","13193","17049","950","4","181","119","2118","444","344","14339","17623","2096","34058","1"
"HARNETT","23827","33761","778","63","0","0","0","0","33640","56228","18050","484","33","824","504","10152","5794","6427","38201","44362","9506","92069","1"
"HAYWOOD","11191","17116","314","26","0","0","0","0","18892","43582","496","134","0","168","98","2365","696","758","21487","24352","1700","47539","1"
"HENDERSON","16785","32289","608","49","0","0","0","0","40566","77861","2338","151","15","576","371","6012","2973","3396","38752","45781","5764","90297","1"
"HERTFORD","8042","1684","38","4","0","0","0","0","3648","4464","7763","90","3","41","50","851","154","109","5552","7069","795","13416","1"
"HOKE","12862","7927","298","26","0","0","0","0","14089","13320","12525","1902","22","374","222","4184","2653","2666","14597","17258","3347","35202","1"
"HYDE","1192","693","12","0","0","0","0","0","1068","2236","504","2","0","2","8","158","55","61","1322","1490","153","2965","1"
"IREDELL","27090","60461","879","46","0","0","0","0","56790","111027","15879","208","13","1739","419","10549","5432","5824","63778","70359","11129","145266","1"
"JACKSON","7779","8753","219","25","0","0","0","0","13567","24139","575","1513","9","237","180","2954","736","884","12868","14514","2961","30343","1"
"JOHNSTON","40307","60777","1182","89","0","0","0","0","62578","108276","27751","448","28","1224","585","17412","9209","10990","70507","81073","13353","164933","1"
"JONES","2173","2396","29","0","0","0","0","0","2332","4235","1821","10","2","19","24","706","113","125","2919","3321","690","6930","1"
"LEE","11919","12844","306","23","0","0","0","0","15634","25750","7291","141","9","331","249","3903","3052","3971","17058","20126","3542","40726","1"
"LENOIR","14788","10608","135","17","0","0","0","0","11620","18203","13801","52","5","96","115","3952","944","993","14632","18610","3926","37168","1"
"LINCOLN","11072","33372","400","16","0","0","0","0","24035","57448","3763","88","3","355","151","5098","1989","2405","30423","33164","5308","68895","1"
"MACON","4587","12599","190","9","0","0","0","0","11569","26323","199","64","1","120","58","1507","682","730","13456","14996","502","28954","1"
"MADISON","4559","5064","114","15","0","0","0","0","7635","15317","112","25","3","64","39","1595","232","205","7466","8077","1844","17387","1"
"MARTIN","6996","3640","60","5","0","0","0","0","5457","8509","5836","25","1","22","49","1465","251","229","6502","8206","1450","16158","1"
"MCDOWELL","4953","13838","177","11","0","0","0","0","11679","27582","814","38","0","154","121","1292","657","694","13941","15199","1518","30658","1"
"MECKLENBURG","317580","156636","5395","574","0","0","0","0","330080","407030","242522","2082","94","25334","4801","79333","49069","51463","336829","404346","69090","810265","1"
"MITCHELL","957","6402","54","3","0","0","0","0","3667","9830","44","14","1","16","15","1057","106","143","4873","5337","873","11083","1"
"MONTGOMERY","4472","6652","71","6","0","0","0","0","5900","11869","2740","47","1","182","42","1490","730","872","7429","8312","1360","17101","1"
"MOORE","14627","33149","607","24","0","0","0","0","30913","63392","7232","393","8","735","245","4777","2538","2232","34726","40519","4075","79320","1"
"NASH","26364","19927","273","20","0","0","0","0","22823","34149","26178","363","5","369","259","5877","2207","2173","28557","34839","6011","69407","1"
"NEW HANOVER","48648","54776","1336","132","0","0","0","0","78660","138803","17717","398","17","1596","759","19223","5039","4703","74392","88554","20606","183552","1"
"NORTHAMPTON","7077","1640","33","3","0","0","0","0","3813","4988","6545","30","0","11","14","880","98","82","5391","6267","908","12566","1"
"ONSLOW","21405","50175","1632","57","0","0","0","0","54933","86120","18333","480","71","1871","728","12549","8050","8530","54736","61659","11807","128202","1"
"ORANGE","49331","13314","476","85","0","0","0","0","47571","75208","11392","231","9","5624","1039","12417","4857","4859","44938","53820","12019","110777","1"
"PAMLICO","2524","4263","49","5","0","0","0","0","3355","7960","1348","24","1","46","16","656","145","144","4559","4998","639","10196","1"
"PASQUOTANK","9747","7884","187","15","0","0","0","0","11624","16490","9068","35","4","158","141","2829","732","499","12283","14374","2800","29457","1"
"PENDER","10311","21722","406","16","0","0","0","0","19878","40363","5610","138","5","249","141","4212","1615","1670","22751","25052","4530","52333","1"
"PERQUIMANS","2554","3817","57","3","0","0","0","0","3807","7462","1733","17","2","25","19","860","120","81","4350","4999","889","10238","1"
"PERSON","8843","8722","124","10","0","0","0","0","10342","18161","6789","111","3","57","89","2162","669","672","12043","13951","2047","28041","1"
"PITT","45114","30929","673","77","0","0","0","0","45563","63704","38933","245","13","1128","619","12918","4796","4066","48192","60819","13345","122356","1"
"POLK","3388","6512","103","6","0","0","0","0","6901","14907","572","14","2","53","36","1035","291","327","7487","8818","605","16910","1"
"RANDOLPH","13904","51358","539","26","0","0","0","0","31664","78078","6086","293","9","799","216","7653","4357","4954","42712","47708","7071","97491","1"
"RICHMOND","10567","8041","107","14","0","0","0","0","9373","16259","8265","393","3","154","52","2066","910","733","11970","14241","1891","28102","1"
"ROBESON","30194","15895","224","25","0","0","0","0","28459","19745","18209","25151","46","293","433","7645","3275","2616","30847","38443","5507","74797","1"
"ROCKINGHAM","16192","25960","334","21","0","0","0","0","20734","44261","11099","104","1","230","169","5825","1552","1606","27843","32418","2980","63241","1"
"ROWAN","21221","43324","609","44","0","0","0","0","34245","71577","15245","166","7","567","302","7906","3673","3996","42713","48505","8225","99443","1"
"RUTHERFORD","8715","20840","248","17","0","0","0","0","16713","37578","3746","47","1","149","96","3861","1055","1043","19943","22863","3727","46533","1"
"SAMPSON","11687","15884","174","11","0","0","0","0","10333","22081","9580","523","2","100","110","3017","2676","3229","16525","19393","2171","38089","1"
"SCOTLAND","8650","4991","78","12","0","0","0","0","7833","9355","7434","1757","18","168","111","2419","302","279","8518","10763","2283","21564","1"
"STANLY","7920","22503","228","30","0","0","0","0","15564","35378","4804","82","7","452","68","4442","1012","969","19429","22028","4788","46245","1"
"STOKES","4736","17956","207","19","0","0","0","0","10464","28687","1238","56","2","80","81","2736","502","565","15932","17340","110","33382","1"
"SURRY","8273","23306","225","18","0","0","0","0","16231","40362","1585","47","3","134","95","4034","1793","2361","21156","23629","3268","48053","1"
"SWAIN","2492","3267","73","11","0","0","0","0","4000","7349","95","1576","1","38","36","587","161","112","4450","4882","511","9843","1"
"TRANSYLVANIA","5367","8573","149","8","0","0","0","0","12251","23371","699","45","2","100","73","1693","365","299","11549","13102","1697","26348","1"
"TYRRELL","946","507","11","0","0","0","0","0","901","1438","629","3","0","21","4","224","46","44","1022","1112","231","2365","1"
"UNION","37878","71166","1116","78","0","0","0","0","68738","117834","18885","526","15","4669","727","27771","8549","9444","73451","81487","24038","178976","1"
"VANCE","14627","5352","110","10","0","0","0","0","7595","11129","13251","57","3","104","91","2181","878","904","11106","14456","2132","27694","1"
"WAKE","278623","173089","5378","582","0","0","0","0","374929","501437","145343","2193","96","37507","4893","93290","47842","40265","347537","401139","83925","832601","1"
"WARREN","7322","2525","43","3","0","0","0","0","3364","5610","6019","529","3","34","43","811","208","165","5638","6763","856","13257","1"
"WASHINGTON","4258","1539","23","1","0","0","0","0","2149","3615","3609","8","1","17","13","604","103","73","3310","4075","585","7970","1"
"WATAUGA","10726","12368","322","60","0","0","0","0","21052","38391","834","52","14","381","435","3591","830","1426","19208","21996","3324","44528","1"
"WAYNE","25400","26419","440","27","0","0","0","0","23182","41363","22987","143","7","545","366","5915","4142","3853","31467","37791","6210","75468","1"
"WILKES","6030","25069","190","11","0","0","0","0","13570","38931","1549","49","0","153","95","3111","982","1123","19800","21820","3250","44870","1"
"WILSON","22607","14084","234","22","0","0","0","0","16791","26386","20658","118","2","292","132","3811","2339","2212","22213","28005","3520","53738","1"
"YADKIN","2687","14632","125","4","0","0","0","0","7884","21775","717","23","2","66","36","1797","916","1134","11274","12253","1805","25332","1"
"YANCEY","3407","5519","83","9","0","0","0","0","5329","12882","70","28","1","32","21","1139","174","182","6435","6971","941","14347","1"
