"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36455","38250","616","46","0","0","0","0","44968","76153","24675","264","20","1337","635","10433","6818","7913","49768","60017","10550","120335","1","0"
"ALEXANDER","3597","12726","113","5","0","0","0","0","9302","22335","938","32","1","168","37","1715","517","613","11563","12342","1838","25743","1","0"
"ALLEGHANY","1484","3630","33","2","0","0","0","0","3067","7188","79","12","0","8","12","715","202","275","3678","3879","659","8216","1","0"
"ANSON","7643","3422","58","6","0","0","0","0","4854","6756","6120","31","2","95","25","2672","282","222","5957","7265","2761","15983","1","0"
"ASHE","3321","9618","99","5","0","0","0","0","7687","18852","119","27","2","58","17","1368","287","368","9284","10132","1314","20730","1","0"
"AVERY","1120","7118","65","5","0","0","0","0","4176","11235","56","17","0","31","14","958","173","150","5571","6035","878","12484","1","0"
"BEAUFORT","8816","13320","123","13","0","0","0","0","11620","23764","6478","38","3","61","53","2625","870","811","14302","16779","2811","33892","1","0"
"BERTIE","6973","1800","41","2","0","0","0","0","3849","4607","6674","17","0","29","16","1241","81","58","5081","6332","1252","12665","1","0"
"BLADEN","7994","6018","70","11","0","0","0","0","8795","12518","7053","397","7","28","87","2168","630","692","9582","11393","1913","22888","1","0"
"BRUNSWICK","27592","60216","733","51","0","0","0","0","58577","122538","9519","434","10","680","236","10547","3205","2869","62562","72408","12199","147169","1","0"
"BUNCOMBE","71289","44858","1541","261","0","0","0","0","98585","177507","10425","368","42","1705","1003","18629","6855","6457","91999","107042","17493","216534","1","0"
"BURKE","11207","25190","358","29","0","0","0","0","23734","50268","3080","100","2","996","127","4168","1777","1772","26455","29459","4604","60518","1","0"
"CABARRUS","43556","52080","1068","131","0","0","0","0","65384","98087","33697","434","21","4446","694","15623","9217","9168","67712","79155","15352","162219","1","0"
"CALDWELL","8564","27899","342","18","0","0","0","0","19155","46108","2550","78","0","224","142","5627","1249","1434","24585","27274","4119","55978","1","0"
"CAMDEN","1194","3459","65","7","0","0","0","0","3888","6845","867","9","2","44","15","650","181","92","3832","4068","713","8613","1","0"
"CARTERET","8276","26814","334","24","0","0","0","0","22153","49743","2100","107","8","330","122","4219","972","886","25057","28083","4461","57601","1","0"
"CASWELL","5407","4822","58","3","0","0","0","0","5335","9765","4354","24","1","36","50","1101","294","309","6775","7705","1145","15625","1","0"
"CATAWBA","19597","51393","670","56","0","0","0","0","46699","90834","9028","155","9","2800","316","9429","5844","5986","51267","57057","10091","118415","1","0"
"CHATHAM","20944","14986","301","30","0","0","0","0","27928","46686","5816","134","9","1378","240","7142","2784","2887","26344","30585","7260","64189","1","0"
"CHEROKEE","2960","13267","152","9","0","0","0","0","8451","23046","256","117","2","108","29","961","320","289","11753","12531","555","24839","1","0"
"CHOWAN","3131","3273","48","2","0","0","0","0","3746","6653","2527","16","6","19","23","807","149","109","4428","5236","536","10200","1","0"
"CLAY","1262","5136","54","2","0","0","0","0","3745","9528","43","16","0","19","9","493","91","109","4648","5086","465","10199","1","0"
"CLEVELAND","17999","27773","396","20","0","0","0","0","23314","47918","13139","96","8","392","211","6200","1538","1358","29297","34084","6121","69502","1","0"
"COLUMBUS","11605","11936","126","11","0","0","0","0","13571","22487","9938","976","4","61","80","2958","745","718","15783","18530","2936","37249","1","0"
"CRAVEN","18524","29033","548","51","0","0","0","0","28970","53665","13601","181","8","1324","262","5196","2889","2531","33038","38820","5268","77126","1","0"
"CUMBERLAND","82953","50933","1769","177","0","0","0","0","87731","86064","86385","2434","124","3764","1945","26787","16060","15541","88336","109185","26042","223563","1","0"
"CURRITUCK","3021","10690","205","6","0","0","0","0","10789","21123","1211","41","3","142","63","1576","552","327","11227","11892","1592","24711","1","0"
"DARE","6112","11474","216","18","0","0","0","0","14894","29514","538","35","1","127","60","1711","728","455","14858","16106","1750","32714","1","0"
"DAVIDSON","20713","59231","672","40","0","0","0","0","42036","95227","11457","257","7","1024","262","10193","4265","4348","52809","59423","10460","122692","1","0"
"DAVIE","4443","17144","157","15","0","0","0","0","11946","28093","1962","41","0","165","82","2378","984","1142","14927","16531","2247","33705","1","0"
"DUPLIN","9613","10703","126","11","0","0","0","0","11902","18670","7812","62","3","65","118","3516","2109","2723","13561","15751","3043","32355","1","0"
"DURHAM","122452","22532","1020","216","0","0","0","0","100486","115980","72319","564","45","9567","2523","32757","12951","14227","95327","121003","30376","246706","1","0"
"EDGECOMBE","18775","6911","116","17","0","0","0","0","10027","12081","18292","58","2","58","87","4498","770","803","13631","17726","4489","35846","1","0"
"FORSYTH","94650","71227","1600","197","0","0","0","0","105914","161096","65023","507","37","3849","1421","27550","14105","16252","110551","136619","26418","273588","1","0"
"FRANKLIN","16531","17834","373","20","0","0","0","0","21927","35602","12553","136","5","422","183","5164","2620","2660","23647","26976","6062","56685","1","0"
"GASTON","40216","62730","1161","78","0","0","0","0","59544","110808","29865","331","19","1606","632","13301","7167","7848","69579","81979","12171","163729","1","0"
"GATES","2935","2364","33","3","0","0","0","0","2933","5251","2324","17","0","10","38","538","90","62","3624","4050","594","8268","1","0"
"GRAHAM","904","3267","27","0","0","0","0","0","2045","5659","11","272","1","14","5","229","52","46","2955","3084","204","6243","1","0"
"GRANVILLE","14701","11707","225","10","0","0","0","0","15140","22453","10831","73","2","187","180","6656","1401","1397","16214","18564","7005","41783","1","0"
"GREENE","4261","2744","29","6","0","0","0","0","3960","5958","3541","9","1","15","14","882","580","614","4653","5561","786","11000","1","0"
"GUILFORD","152232","88616","1977","244","0","0","0","0","149217","193421","129276","999","57","11063","2527","36491","18452","17304","162598","202063","27625","392286","1","0"
"HALIFAX","18282","4856","95","8","0","0","0","0","11352","13281","17150","952","4","188","120","2437","461","367","14436","17755","2402","34593","1","0"
"HARNETT","24174","34624","794","78","0","0","0","0","35877","58259","18762","485","34","900","500","10224","6383","6963","39694","46123","9730","95547","1","0"
