"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","16937","8618","0","0","59","3538","21249","7692","17","0","149","15","12872","16255","0","29152"
"2004-05-01","16918","8763","0","0","62","3638","21430","7728","17","0","152","21","12992","16347","0","29381"
"2005-01-01","17074","9436","0","0","62","4078","22320","8045","22","0","163","39","13586","16933","0","30650"
"2006-01-01","15709","9124","0","0","0","4025","21111","7452","22","0","154","49","12822","15884","0","28858"
"2006-04-01","15676","9133","0","0","0","4106","21159","7456","23","0","157","48","12827","15938","0","28915"
"2007-06-02","15579","9198","0","0","0","4510","21459","7487","23","0","170","69","12993","16137","0","29287"
"2007-09-29","15628","9233","0","0","0","4605","21606","7514","24","0","173","70","13061","16247","0","29466"
"2008-01-05","15709","9299","0","0","0","4736","21800","7578","25","0","177","78","13192","16389","0","29744"
"2008-03-01","15810","9376","0","0","0","4843","21979","7667","26","0","181","85","13304","16558","0","30029"
"2008-08-30","16162","9386","0","0","0","5301","22432","7982","29","0","198","95","13677","16968","0","30849"
"2008-10-04","16280","9455","0","0","1","5397","22607","8071","30","0","200","98","13790","17133","0","31133"
"2008-10-11","16438","9499","0","0","3","5440","22704","8205","30","0","207","102","13917","17251","0","31380"
"2008-10-18","16644","9582","0","0","5","5510","22885","8343","31","0","210","107","14109","17420","0","31741"
"2008-10-25","16653","9582","0","0","6","5528","22861","8385","32","0","209","111","14117","17435","0","31769"
"2008-11-04","16868","9672","0","0","7","5588","23030","8548","32","0","217","117","14271","17628","0","32135"
"2008-11-29","16813","9658","0","0","7","5581","22998","8498","32","0","224","120","14223","17598","0","32059"
"2008-12-27","16822","9678","0","0","8","5646","23025","8528","35","0","223","122","14276","17625","0","32154"
"2009-01-03","16812","9673","0","0","8","5647","23016","8518","35","0","226","126","14274","17612","0","32140"
"2009-02-07","16248","9401","0","0","8","5494","22379","8180","33","0","217","125","13855","17044","0","31151"
"2009-02-14","16248","9403","0","0","8","5493","22383","8178","33","0","217","125","13857","17043","0","31152"
"2009-02-21","16254","9411","0","0","8","5498","22397","8183","33","0","217","125","13866","17053","0","31171"
"2009-02-28","16255","9409","0","0","8","5498","22395","8184","33","0","217","125","13867","17051","0","31170"
"2009-03-07","16265","9410","0","0","8","5503","22400","8194","33","0","217","125","13873","17061","0","31186"
"2009-03-14","16263","9409","0","0","8","5502","22396","8194","33","0","217","125","13870","17060","0","31182"
"2009-03-21","16269","9407","0","0","8","5504","22397","8199","33","0","217","125","13873","17063","0","31188"
"2009-03-28","16257","9401","0","0","8","5501","22383","8192","33","0","217","125","13866","17049","0","31167"
"2009-04-04","16234","9388","0","0","8","5492","22348","8182","33","0","217","124","13846","17024","0","31122"
"2009-04-11","16240","9392","0","0","8","5503","22364","8187","33","0","217","124","13855","17036","0","31143"
"2009-04-18","16240","9391","0","0","8","5503","22363","8187","33","0","217","124","13855","17035","0","31142"
"2009-04-25","16199","9385","0","0","8","5489","22342","8150","33","0","216","123","13810","17019","0","31081"
"2009-05-02","16193","9384","0","0","8","5482","22339","8139","33","0","216","123","13801","17016","0","31067"
