"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","11782","1294","0","0","7","889","5435","8440","17","0","34","8","5778","8131","0","13972"
"2004-05-01","11833","1325","0","0","8","909","5480","8490","17","0","35","11","5829","8178","0","14075"
"2005-01-01","12060","1411","0","0","10","1015","5644","8697","18","0","34","12","6040","8379","0","14496"
"2006-01-01","11138","1320","0","0","0","995","5265","8029","20","0","30","12","5624","7753","0","13453"
"2006-04-01","11181","1331","0","0","0","1012","5275","8083","20","0","30","14","5637","7811","0","13524"
"2007-06-02","11019","1333","0","0","0","1020","5188","8004","18","0","30","17","5619","7674","0","13372"
"2007-09-29","10973","1332","0","0","0","1037","5175","7985","18","0","30","15","5597","7667","0","13342"
"2008-01-05","10977","1333","0","0","0","1068","5182","8008","18","0","31","15","5609","7691","0","13378"
"2008-03-01","10966","1341","0","0","0","1090","5198","8009","19","0","28","15","5612","7706","0","13397"
"2008-08-30","11180","1336","0","0","0","1227","5282","8176","20","0","26","15","5725","7874","0","13743"
"2008-10-04","11270","1356","0","0","0","1255","5314","8270","20","0","25","16","5802","7926","0","13881"
"2008-10-11","11389","1373","0","0","2","1280","5358","8379","19","0","27","16","5885","8000","0","14044"
"2008-10-18","11513","1386","0","0","2","1311","5406","8483","19","0","29","15","5984","8062","0","14212"
"2008-10-25","11517","1380","0","0","2","1312","5402","8483","19","0","30","15","5977","8067","0","14211"
"2008-11-04","11670","1394","0","0","3","1321","5425","8639","20","0","30","15","6076","8147","0","14388"
"2008-11-29","11580","1394","0","0","3","1326","5424","8558","19","0","30","15","6038","8103","0","14303"
"2008-12-27","11611","1394","0","0","3","1418","5428","8605","19","0","30","17","6087","8152","0","14426"
"2009-01-03","11607","1394","0","0","3","1417","5427","8604","19","0","30","17","6085","8150","0","14421"
"2009-02-07","11318","1356","0","0","4","1388","5294","8379","19","0","28","17","5964","7922","0","14066"
"2009-02-14","11322","1353","0","0","4","1387","5290","8384","19","0","28","17","5967","7920","0","14066"
"2009-02-21","11296","1353","0","0","4","1384","5280","8367","19","0","28","17","5950","7908","0","14037"
"2009-02-28","11292","1353","0","0","4","1382","5278","8365","19","0","28","17","5946","7906","0","14031"
"2009-03-07","11291","1352","0","0","4","1381","5280","8365","19","0","28","17","5945","7907","0","14028"
"2009-03-14","11297","1353","0","0","4","1381","5281","8371","19","0","28","17","5951","7908","0","14035"
"2009-03-21","11273","1354","0","0","4","1382","5270","8360","19","0","28","17","5939","7898","0","14013"
"2009-03-28","11271","1353","0","0","4","1380","5268","8357","19","0","28","17","5937","7895","0","14008"
"2009-04-04","11269","1353","0","0","4","1382","5271","8354","19","0","28","17","5936","7896","0","14008"
"2009-04-11","11268","1353","0","0","4","1382","5271","8353","19","0","28","17","5935","7896","0","14007"
"2009-04-18","11261","1353","0","0","4","1383","5271","8348","19","0","27","17","5934","7891","0","14001"
"2009-04-25","11259","1353","0","0","4","1383","5271","8346","19","0","27","17","5933","7890","0","13999"
"2009-05-02","11259","1355","0","0","4","1386","5274","8349","19","0","27","17","5937","7891","0","14004"
"2009-05-09","11271","1353","0","0","4","1392","5278","8359","19","0","27","17","5948","7894","0","14020"
"2009-05-16","11260","1352","0","0","4","1387","5272","8350","19","0","27","17","5937","7889","0","14003"
"2009-05-23","11260","1353","0","0","4","1387","5272","8351","19","0","27","17","5939","7888","0","14004"
"2009-05-30","11255","1353","0","0","5","1391","5273","8350","19","0","27","17","5938","7889","0","14004"
"2009-06-06","11255","1353","0","0","5","1391","5273","8350","19","0","27","17","5938","7889","0","14004"
"2009-06-13","11250","1350","0","0","5","1388","5269","8343","19","0","27","17","5935","7882","0","13993"
"2009-06-20","11250","1351","0","0","5","1390","5268","8347","19","0","27","17","5940","7880","0","13996"
"2009-06-27","11249","1351","0","0","5","1390","5267","8347","19","0","27","17","5940","7879","0","13995"
"2009-07-04","11251","1354","0","0","5","1390","5273","8345","19","0","28","17","5945","7880","0","14000"
"2009-07-11","11251","1354","0","0","5","1390","5273","8345","19","0","28","17","5945","7880","0","14000"
"2009-07-18","11250","1354","0","0","5","1391","5273","8345","19","0","28","17","5946","7879","0","14000"
"2009-07-25","11248","1357","0","0","7","1387","5272","8344","19","0","28","17","5940","7884","0","13999"
"2009-08-02","11251","1360","0","0","7","1390","5273","8352","19","0","28","17","5944","7889","0","14008"
"2009-08-08","11253","1359","0","0","7","1390","5271","8355","19","0","28","17","5945","7889","0","14009"
"2009-08-15","11253","1358","0","0","7","1388","5268","8354","19","0","28","17","5944","7887","0","14006"
"2009-08-22","11247","1355","0","0","7","1388","5266","8347","19","0","28","17","5941","7880","0","13997"
"2009-08-29","11253","1353","0","0","7","1388","5264","8352","19","0","28","17","5943","7882","0","14001"
"2009-09-05","11259","1355","0","0","8","1391","5271","8357","19","0","28","17","5951","7886","0","14013"
"2009-09-12","11259","1355","0","0","8","1390","5270","8357","19","0","28","17","5951","7885","0","14012"
"2009-09-19","11259","1354","0","0","8","1394","5270","8361","19","0","28","17","5950","7890","0","14015"
"2009-09-26","11259","1354","0","0","8","1394","5270","8361","19","0","28","17","5950","7890","0","14015"
"2009-10-03","11256","1354","0","0","8","1396","5268","8362","19","0","28","17","5946","7893","0","14014"
"2009-10-10","11252","1354","0","0","8","1396","5267","8359","19","0","28","17","5944","7891","0","14010"
"2009-10-17","11256","1355","0","0","8","1396","5269","8362","19","0","28","17","5944","7896","0","14015"
"2009-10-24","11245","1355","0","0","8","1395","5266","8354","19","0","28","18","5939","7890","0","14003"
"2009-10-31","11243","1355","0","0","8","1395","5266","8352","19","0","28","18","5938","7889","0","14001"
"2009-11-03","11244","1356","0","0","8","1396","5268","8353","19","0","28","18","5941","7889","0","14004"
"2009-11-21","11250","1360","0","0","8","1404","5273","8361","19","0","28","18","5952","7894","0","14022"
"2009-11-28","11232","1359","0","0","8","1403","5264","8351","19","0","28","18","5944","7882","0","14002"
"2009-12-05","11231","1359","0","0","8","1401","5262","8350","19","0","28","17","5943","7880","0","13999"
"2009-12-12","11236","1361","0","0","8","1402","5267","8353","19","0","28","17","5946","7885","0","14007"
"2009-12-19","11236","1361","0","0","8","1402","5267","8353","19","0","28","17","5946","7885","0","14007"
"2009-12-26","11228","1361","0","0","8","1401","5265","8348","19","0","28","17","5945","7878","0","13998"
"2010-01-02","11227","1361","0","0","8","1400","5263","8348","19","0","28","17","5943","7878","0","13996"
"2010-01-09","11226","1361","0","0","8","1400","5262","8348","19","0","28","17","5942","7878","0","13995"
"2010-01-16","11232","1362","0","0","8","1406","5263","8360","19","0","28","17","5946","7888","0","14008"
"2010-01-23","11231","1364","0","0","8","1408","5261","8365","19","0","28","17","5946","7891","0","14011"
"2010-01-30","11221","1365","0","0","8","1407","5257","8360","19","0","28","17","5943","7885","0","14001"
"2010-02-06","11220","1365","0","0","8","1406","5255","8360","19","0","28","17","5942","7884","0","13999"
"2010-02-13","11223","1369","0","0","8","1407","5257","8366","19","0","28","17","5949","7885","0","14007"
"2010-02-20","11203","1369","0","0","8","1408","5255","8350","19","0","28","17","5939","7877","0","13988"
"2010-02-27","11213","1370","0","0","9","1408","5259","8358","19","0","28","17","5947","7881","0","14000"
"2010-03-06","11213","1370","0","0","9","1408","5259","8358","19","0","28","17","5947","7881","0","14000"
