"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","22370","18926","0","0","98","9739","47571","2885","35","0","504","33","23628","27476","0","0","0","0","51133"
"2004-05-01","22522","19143","0","0","100","9953","48030","2944","40","0","519","46","23900","27783","0","0","0","0","51718"
"2005-01-01","22855","20167","0","0","130","10379","49505","3104","48","0","530","147","24775","28625","0","0","0","0","53531"
"2006-01-01","22654","20387","0","0","2","10852","49794","3103","48","0","561","180","24968","28800","0","0","0","0","53895"
"2006-04-01","22657","20445","0","0","2","11002","49971","3121","48","0","570","135","25083","28897","0","0","0","0","54106"
"2007-06-02","22234","20097","0","0","0","11322","49447","3110","44","0","572","174","24844","28684","0","0","0","0","53653"
"2007-09-29","22330","20142","0","0","0","11576","49796","3133","44","0","574","182","25050","28875","0","0","0","0","54048"
"2008-01-05","22412","20196","0","0","0","11856","50133","3172","45","0","588","196","25230","29108","0","0","0","0","54464"
"2008-03-01","22499","20234","0","0","0","12013","50359","3194","46","0","597","209","25371","29244","0","0","0","0","54746"
"2008-08-30","22867","20116","0","0","6","12817","51191","3272","54","0","615","238","25832","29826","0","0","0","0","55806"
"2008-10-04","22935","20173","0","0","9","12981","51380","3314","58","0","621","244","25970","29969","0","0","0","0","56098"
"2008-10-11","23019","20222","0","0","20","13036","51517","3348","57","0","626","247","26087","30048","0","0","0","0","56297"
"2008-10-18","23233","20339","0","0","30","13140","51824","3427","60","0","634","259","26290","30267","0","0","0","0","56742"
"2008-10-25","23283","20369","0","0","31","13190","51922","3438","62","0","637","258","26335","30330","0","0","0","0","56873"
"2008-11-04","23332","20440","0","0","30","13286","52099","3465","65","0","630","262","26437","30439","0","0","0","0","57088"
"2008-11-29","23344","20531","0","0","42","13394","52282","3475","67","0","633","263","26549","30546","0","0","0","0","57311"
"2008-12-27","23321","20494","0","0","43","13406","52229","3473","67","0","639","265","26503","30548","0","0","0","0","57264"
"2009-01-03","23322","20494","0","0","43","13412","52236","3473","67","0","639","265","26504","30554","0","0","0","0","57271"
"2009-02-07","22907","20047","0","0","44","13117","51169","3409","66","0","614","271","26002","29905","0","0","0","0","56115"
"2009-02-14","22903","20040","0","0","47","13123","51166","3408","66","0","614","271","26004","29901","0","0","0","0","56113"
"2009-02-21","22905","20046","0","0","47","13130","51182","3405","66","0","615","271","26017","29903","0","0","0","0","56128"
"2009-02-28","22891","20035","0","0","47","13142","51167","3406","66","0","617","271","26009","29898","0","0","0","0","56115"
"2009-03-07","22899","20033","0","0","47","13144","51174","3406","65","0","618","273","26015","29900","0","0","0","0","56123"
"2009-03-14","22911","20041","0","0","46","13156","51195","3408","65","0","621","273","26034","29911","0","0","0","0","56154"
"2009-03-21","22919","20046","0","0","46","13178","51224","3410","65","0","623","273","26051","29929","0","0","0","0","56189"
"2009-03-28","22910","20033","0","0","46","13178","51204","3407","65","0","623","274","26045","29913","0","0","0","0","56167"
"2009-04-04","22914","20034","0","0","46","13190","51219","3408","65","0","623","274","26056","29919","0","0","0","0","56184"
"2009-04-11","22919","20030","0","0","47","13197","51228","3407","65","0","625","274","26064","29920","0","0","0","0","56193"
"2009-04-18","22920","20032","0","0","49","13201","51232","3406","65","0","627","274","26068","29926","0","0","0","0","56202"
"2009-04-25","22929","20039","0","0","49","13207","51250","3408","65","0","628","275","26082","29934","0","0","0","0","56224"
"2009-05-02","22919","20038","0","0","50","13214","51250","3405","64","0","629","276","26078","29935","0","0","0","0","56221"
"2009-05-09","22940","20035","0","0","52","13250","51293","3412","65","0","630","276","26104","29963","0","0","0","0","56277"
"2009-05-16","22944","20035","0","0","52","13260","51305","3413","65","0","630","276","26109","29972","0","0","0","0","56291"
"2009-05-23","22951","20035","0","0","51","13271","51320","3413","65","0","630","276","26119","29979","0","0","0","0","56308"
"2009-05-30","22936","20026","0","0","52","13277","51301","3413","65","0","630","279","26108","29975","0","0","0","0","56291"
"2009-06-06","22948","20027","0","0","52","13295","51332","3411","65","0","631","279","26121","29993","0","0","0","0","56322"
"2009-06-13","22924","20010","0","0","52","13303","51305","3404","65","0","631","279","26107","29975","0","0","0","0","56289"
"2009-06-20","22935","20012","0","0","53","13318","51329","3407","65","0","633","279","26126","29985","0","0","0","0","56318"
"2009-06-27","22942","20008","0","0","54","13331","51344","3410","65","0","634","281","26135","29994","0","0","0","0","56335"
"2009-07-04","22947","20010","0","0","55","13348","51367","3409","65","0","636","282","26140","30014","0","0","0","0","56360"
"2009-07-11","22957","20014","0","0","55","13363","51390","3413","65","0","637","282","26156","30027","0","0","0","0","56389"
"2009-07-18","22937","20010","0","0","55","13374","51377","3411","65","0","638","283","26156","30014","0","0","0","0","56376"
"2009-07-25","22941","20011","0","0","54","13382","51387","3411","65","0","638","282","26162","30020","0","0","0","0","56388"
"2009-08-02","22951","20018","0","0","54","13395","51414","3413","65","0","638","282","26178","30034","0","0","0","0","56418"
"2009-08-08","22940","20012","0","0","54","13408","51409","3412","65","0","640","282","26175","30035","0","0","0","0","56414"
"2009-08-15","22931","20004","0","0","56","13430","51418","3410","65","0","640","282","26183","30035","0","0","0","0","56421"
"2009-08-22","22948","20007","0","0","56","13443","51451","3410","65","0","641","283","26202","30050","0","0","0","0","56454"
"2009-08-29","22962","20017","0","0","55","13452","51478","3413","65","0","641","283","26215","30069","0","0","0","0","56486"
"2009-09-05","22945","20017","0","0","55","13464","51474","3412","65","0","641","282","26218","30061","0","0","0","0","56481"
"2009-09-12","22946","20031","0","0","55","13480","51504","3412","65","0","639","282","26232","30078","0","0","0","0","56512"
"2009-09-19","22948","20041","0","0","56","13490","51523","3412","65","0","641","283","26247","30086","0","0","0","0","56535"
"2009-09-26","22962","20046","0","0","57","13491","51542","3413","65","0","641","284","26258","30096","0","0","0","0","56556"
"2009-10-03","22959","20049","0","0","58","13505","51549","3417","65","0","642","286","26263","30106","0","0","0","0","56571"
"2009-10-10","22966","20058","0","0","59","13522","51577","3419","66","0","643","285","26272","30129","0","0","0","0","56605"
"2009-10-17","22975","20060","0","0","60","13532","51594","3418","66","0","644","287","26279","30145","0","0","0","0","56627"
"2009-10-24","22981","20066","0","0","60","13546","51619","3418","66","0","645","287","26284","30166","0","0","0","0","56653"
"2009-10-31","22991","20066","0","0","60","13551","51632","3419","66","0","645","287","26290","30175","0","0","0","0","56668"
"2009-11-03","22980","20047","0","0","60","13557","51611","3416","66","0","646","287","26276","30166","0","0","0","0","56644"
"2009-11-21","22995","20056","0","0","64","13687","51753","3418","66","0","652","290","26362","30236","0","0","0","0","56802"
"2009-11-28","22997","20065","0","0","64","13693","51769","3419","66","0","652","290","26372","30243","0","0","0","0","56819"
"2009-12-05","22991","20055","0","0","65","13680","51741","3417","66","0","654","292","26360","30227","0","0","0","0","56791"
"2009-12-12","22977","20041","0","0","64","13688","51724","3416","66","0","652","292","26346","30220","0","0","0","0","56770"
"2009-12-19","22967","20037","0","0","65","13693","51716","3418","65","0","653","292","26346","30214","0","0","0","0","56762"
"2009-12-26","22964","20044","0","0","66","13703","51731","3417","65","0","654","293","26354","30221","0","0","0","0","56777"
"2010-01-02","22955","20036","0","0","67","13706","51716","3419","65","0","654","292","26340","30222","0","0","0","0","56764"
"2010-01-09","22958","20043","0","0","67","13719","51734","3420","66","0","656","292","26351","30234","0","0","0","0","56787"
"2010-01-16","22930","20020","0","0","67","13729","51695","3418","66","0","656","292","26336","30210","0","0","0","0","56746"
"2010-01-23","22930","20022","0","0","67","13746","51715","3417","66","0","656","292","26343","30222","0","0","0","0","56765"
"2010-01-30","22935","20019","0","0","69","13754","51723","3420","66","0","658","293","26348","30230","0","0","0","0","56777"
"2010-02-06","22934","20027","0","0","70","13767","51741","3420","66","0","660","293","26358","30241","0","0","0","0","56798"
"2010-02-13","22935","20031","0","0","70","13785","51764","3421","66","0","661","293","26369","30253","0","0","0","0","56821"
"2010-02-20","22935","20042","0","0","70","13801","51785","3423","66","0","665","292","26387","30262","0","0","0","0","56848"
"2010-02-27","22912","20037","0","0","70","13831","51791","3419","66","0","665","292","26396","30255","0","0","0","0","56850"
"2010-03-06","22911","20032","0","0","71","13848","51799","3420","66","0","668","292","26407","30257","0","0","0","0","56862"
"2010-03-13","22926","20037","0","0","71","13863","51829","3422","66","0","671","293","26423","30276","0","0","0","0","56897"
"2010-03-20","22916","20046","0","0","71","13885","51849","3417","66","0","677","297","26440","30280","0","0","0","0","56918"
"2010-03-27","22905","20063","0","0","71","13921","51889","3418","66","0","676","297","26456","30307","0","0","0","0","56960"
"2010-04-03","22901","20063","0","0","70","13944","51904","3421","66","0","675","298","26466","30315","0","0","0","0","56978"
"2010-04-10","22911","20065","0","0","71","13975","51941","3424","66","0","677","298","26489","30336","0","0","0","0","57022"
"2010-04-17","22905","20059","0","0","71","13974","51930","3423","66","0","676","297","26484","30328","0","0","0","0","57009"
"2010-04-24","22883","20044","0","0","71","13969","51893","3418","66","0","676","297","26464","30306","0","0","0","0","56967"
"2010-05-01","22882","20049","0","0","71","13968","51897","3418","66","0","675","297","26465","30308","0","0","0","0","56970"
"2010-05-04","22882","20051","0","0","71","13969","51900","3418","66","0","675","297","26468","30308","0","0","0","0","56973"
"2010-05-08","22860","20035","0","0","71","13966","51866","3412","66","0","675","297","26454","30281","0","0","0","0","56932"
"2010-05-15","22819","20015","0","0","71","13960","51805","3406","66","0","675","297","26425","30243","0","0","0","0","56865"
"2010-05-22","22817","20014","0","0","71","13959","51801","3406","66","0","675","297","26424","30240","0","0","0","0","56861"
"2010-05-29","22815","20012","0","0","71","13959","51798","3405","66","0","675","297","26421","30239","0","0","0","0","56857"
"2010-06-05","22815","20012","0","0","71","13959","51798","3405","66","0","675","297","26421","30239","0","0","0","0","56857"
"2010-06-12","22810","20008","0","0","71","13956","51789","3402","66","0","675","297","26412","30236","0","0","0","0","56845"
"2010-06-19","22810","20008","0","0","71","13955","51788","3402","66","0","675","297","26411","30236","0","0","0","0","56844"
"2010-06-22","22784","19994","0","0","71","13950","51749","3396","66","0","675","297","26379","30223","0","0","0","0","56799"
"2010-06-26","22777","19988","0","0","71","13943","51732","3394","66","0","675","297","26370","30212","0","0","0","0","56779"
"2010-07-03","22744","19992","0","0","70","13994","51751","3395","67","0","676","299","26384","30218","0","0","0","0","56800"
"2010-07-10","22778","20036","0","0","74","14090","51906","3409","67","0","679","303","26476","30305","0","0","0","0","56978"
"2010-07-17","22791","20061","0","0","77","14194","52019","3423","68","0","689","309","26531","30396","0","0","0","0","57123"
"2010-07-24","22809","20090","0","0","80","14245","52104","3433","68","0","689","312","26587","30441","0","0","0","0","57224"
"2010-07-31","22823","20101","0","0","82","14263","52141","3436","69","0","690","313","26607","30466","0","0","0","0","57269"
"2010-08-07","22794","20085","0","0","82","14259","52099","3431","69","0","690","312","26579","30446","0","0","0","0","57220"
"2010-08-14","22794","20098","0","0","82","14277","52122","3433","70","0","692","315","26596","30460","0","0","0","0","57251"
"2010-08-21","22801","20098","0","0","84","14288","52144","3434","70","0","690","316","26610","30466","0","0","0","0","57271"
"2010-08-28","22804","20102","0","0","84","14296","52155","3436","70","0","690","316","26613","30478","0","0","0","0","57286"
"2010-08-31","22791","20101","0","0","84","14303","52150","3435","70","0","689","316","26611","30473","0","0","0","0","57279"
"2010-09-04","22787","20101","0","0","84","14312","52151","3436","70","0","691","316","26617","30472","0","0","0","0","57284"
"2010-09-11","22791","20109","0","0","85","14328","52173","3441","71","0","692","316","26639","30479","0","0","0","0","57313"
"2010-09-18","22789","20111","0","0","86","14341","52183","3444","71","0","693","316","26647","30485","0","0","0","0","57327"
"2010-09-25","22780","20130","0","0","89","14364","52214","3448","71","0","694","316","26659","30508","0","0","0","0","57363"
"2010-10-02","22759","20123","0","0","88","14384","52202","3446","72","0","695","317","26661","30500","0","0","0","0","57354"
"2010-10-09","22743","20142","0","0","92","14423","52242","3446","72","0","694","317","26675","30530","0","0","0","0","57400"
"2010-10-16","22737","20141","0","0","93","14424","52234","3448","72","0","694","318","26670","30529","0","0","0","0","57395"
"2010-10-23","22721","20137","0","0","94","14425","52216","3445","73","0","693","319","26666","30513","0","0","0","0","57377"
"2010-10-30","22721","20136","0","0","94","14435","52223","3447","73","0","692","319","26670","30517","0","0","0","0","57386"
"2010-11-02","22723","20161","0","0","94","14434","52249","3447","73","0","692","320","26685","30528","0","0","0","0","57412"
"2010-11-06","22722","20163","0","0","94","14434","52249","3448","73","0","692","320","26683","30530","0","0","0","0","57413"
"2010-11-13","22687","20167","0","0","95","14460","52247","3445","73","0","692","320","26681","30528","0","0","0","0","57409"
