"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","83263","43777","0","0","371","32752","92439","57112","1616","0","8340","1242","70978","89102","0","0","0","0","160163"
"2004-05-01","84362","44844","0","0","389","33870","94043","58418","1640","0","8532","1542","72598","90763","0","0","0","0","163465"
"2005-01-01","91314","50599","0","0","467","37297","100515","65297","1767","0","9091","3259","79673","99361","0","0","0","0","179677"
"2006-01-01","87432","48843","0","0","1","36285","95337","63602","1693","0","8599","3727","76439","95459","0","0","0","0","172561"
"2006-04-01","87834","49205","0","0","0","36822","96004","64122","1701","0","8693","3819","76997","96198","0","0","0","0","173861"
"2007-06-02","87884","49230","0","0","0","38501","96035","65509","1727","0","8811","4438","77775","97134","0","0","0","0","175615"
"2007-09-29","88399","49467","0","0","0","39542","96893","66260","1744","0","8914","4619","78453","98238","0","0","0","0","177408"
"2008-01-05","89278","49964","0","0","0","40663","97927","67366","1773","0","9083","4835","79534","99607","0","0","0","0","179905"
"2008-03-01","90500","50426","0","0","0","41578","98966","68521","1792","0","9293","5070","80620","100887","0","0","0","0","182504"
"2008-08-30","97333","51164","0","0","26","44895","102305","73868","1894","0","9978","5911","85065","106234","0","0","0","0","193418"
"2008-10-04","100878","51764","0","0","48","45876","103618","76728","1950","0","10264","6307","87375","108755","0","0","0","0","198566"
"2008-10-11","101359","51756","0","0","50","46002","103693","77086","1957","0","10298","6386","87691","108978","0","0","0","0","199167"
"2008-10-18","106281","52608","0","0","82","47452","105633","80614","2053","0","10549","6971","91077","112415","0","0","0","0","206423"
"2008-10-25","106778","52692","0","0","90","47535","105793","80986","2066","0","10568","7019","91404","112692","0","0","0","0","207095"
"2008-11-04","108988","53504","0","0","116","48188","107147","82803","2108","0","10751","7312","93308","114402","0","0","0","0","210796"
"2008-11-29","108916","53484","0","0","116","48152","107134","82710","2106","0","10745","7304","93249","114338","0","0","0","0","210668"
"2008-12-27","109176","53852","0","0","146","48437","107647","82814","2128","0","10798","7469","93783","114728","0","0","0","0","211611"
"2009-01-03","109169","53841","0","0","146","48427","107627","82809","2128","0","10796","7468","93773","114712","0","0","0","0","211583"
"2009-02-07","100586","47461","0","0","144","42595","95714","76083","1941","0","9179","6983","84283","103514","0","0","0","0","190786"
"2009-02-14","100568","47467","0","0","145","42618","95727","76082","1940","0","9184","6987","84289","103523","0","0","0","0","190798"
"2009-02-21","100536","47457","0","0","144","42682","95766","76082","1938","0","9182","6983","84290","103545","0","0","0","0","190819"
"2009-02-28","100497","47423","0","0","147","42697","95726","76065","1935","0","9187","6990","84259","103520","0","0","0","0","190764"
"2009-03-07","100458","47408","0","0","147","42717","95699","76065","1937","0","9191","6995","84245","103501","0","0","0","0","190730"
"2009-03-14","100501","47424","0","0","148","42760","95756","76104","1938","0","9197","6993","84300","103541","0","0","0","0","190833"
"2009-03-21","100461","47395","0","0","148","42787","95727","76094","1938","0","9199","6997","84271","103531","0","0","0","0","190791"
"2009-03-28","100502","47410","0","0","148","42815","95780","76121","1942","0","9199","6995","84306","103580","0","0","0","0","190875"
"2009-04-04","100554","47418","0","0","150","42866","95835","76171","1944","0","9207","7002","84364","103634","0","0","0","0","190988"
"2009-04-11","100596","47436","0","0","153","42906","95895","76200","1945","0","9219","7011","84421","103681","0","0","0","0","191091"
"2009-04-18","100605","47441","0","0","154","42923","95912","76213","1945","0","9222","7014","84442","103692","0","0","0","0","191123"
"2009-04-25","100606","47443","0","0","155","42959","95926","76224","1947","0","9237","7024","84461","103717","0","0","0","0","191163"
"2009-05-02","100630","47435","0","0","154","42997","95951","76247","1949","0","9243","7025","84493","103737","0","0","0","0","191216"
"2009-05-09","100820","47490","0","0","155","43124","96075","76426","1956","0","9264","7042","84665","103913","0","0","0","0","191589"
"2009-05-16","100840","47487","0","0","156","43151","96097","76440","1955","0","9271","7046","84694","103928","0","0","0","0","191634"
"2009-05-23","100695","47458","0","0","156","43142","96024","76336","1954","0","9272","7046","84553","103893","0","0","0","0","191451"
"2009-05-30","100721","47476","0","0","157","43183","96071","76364","1956","0","9279","7051","84587","103945","0","0","0","0","191537"
"2009-06-06","100741","47493","0","0","157","43205","96107","76385","1954","0","9288","7055","84615","103978","0","0","0","0","191596"
"2009-06-13","100764","47514","0","0","158","43248","96152","76415","1954","0","9304","7063","84653","104033","0","0","0","0","191684"
"2009-06-20","100754","47522","0","0","159","43270","96153","76425","1953","0","9318","7068","84658","104054","0","0","0","0","191705"
"2009-06-27","100791","47540","0","0","159","43309","96194","76471","1955","0","9326","7071","84700","104105","0","0","0","0","191799"
"2009-07-04","100814","47551","0","0","159","43324","96223","76492","1956","0","9327","7071","84729","104126","0","0","0","0","191848"
"2009-07-11","100884","47587","0","0","159","43377","96307","76555","1957","0","9334","7080","84800","104216","0","0","0","0","192007"
