"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","42747","42067","0","0","126","18141","90103","12063","104","0","709","147","46171","56903","0","103081"
"2004-05-01","43027","42444","0","0","140","18631","90923","12344","110","0","729","179","46573","57653","0","104242"
"2005-01-01","46812","47613","0","0","190","21301","99202","15118","157","0","843","385","51709","64103","0","115916"
"2006-01-01","45601","47206","0","0","0","21871","98017","14947","177","0","863","446","50986","63481","0","114678"
"2006-04-01","45573","47365","0","0","0","22207","98372","15026","177","0","874","465","51170","63756","0","115145"
"2007-06-02","43363","46214","0","0","0","22715","95767","14622","177","0","892","600","49932","62058","0","112292"
"2007-09-29","43504","46433","0","0","0","23222","96428","14779","177","0","923","629","50233","62617","0","113159"
"2008-01-05","43846","46829","0","0","0","23814","97453","14985","181","0","951","671","50780","63377","0","114489"
"2008-03-01","44090","47079","0","0","0","24312","98159","15177","184","0","982","713","51171","63916","0","115481"
"2008-08-30","46293","47611","0","0","13","26362","101011","16572","207","0","1057","886","53137","66303","0","120279"
"2008-10-04","47250","48429","0","0","27","26992","102430","17236","219","0","1081","949","54235","67464","0","122698"
"2008-10-11","47793","48690","0","0","31","27255","102934","17541","229","0","1090","986","54707","67994","0","123769"
"2008-10-18","48944","49487","0","0","59","27897","104457","18246","246","0","1108","1071","55918","69274","0","126387"
"2008-10-25","49117","49555","0","0","62","27980","104597","18343","250","0","1110","1091","56034","69440","0","126714"
"2008-11-04","49704","50059","0","0","69","28171","105462","18726","253","0","1122","1139","56685","70088","0","128003"
"2008-11-29","49721","50075","0","0","69","28175","105502","18726","253","0","1121","1138","56710","70102","0","128040"
"2008-12-27","49917","50305","0","0","81","28545","106061","18844","260","0","1129","1148","57063","70479","0","128848"
"2009-01-03","49882","50278","0","0","81","28531","106002","18831","260","0","1128","1146","57024","70442","0","128772"
"2009-02-07","48401","48868","0","0","81","27603","102739","18356","256","0","1066","1123","55325","68327","0","124953"
"2009-02-14","48360","48837","0","0","83","27593","102670","18344","256","0","1067","1124","55279","68295","0","124873"
"2009-02-21","48364","48872","0","0","85","27631","102736","18347","256","0","1075","1131","55322","68330","0","124952"
"2009-02-28","48373","48881","0","0","87","27647","102764","18347","256","0","1075","1133","55351","68332","0","124988"
"2009-03-07","48365","48881","0","0","89","27668","102776","18347","256","0","1077","1134","55357","68340","0","125003"
"2009-03-14","48398","48905","0","0","88","27697","102839","18366","256","0","1079","1136","55403","68380","0","125088"
"2009-03-21","48336","48862","0","0","89","27699","102745","18361","254","0","1080","1135","55360","68321","0","124986"
