"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","11405","1811","0","0","10","945","5871","8109","88","0","85","1","5852","8310","0","14171"
"2004-05-01","11362","1832","0","0","11","949","5858","8104","84","0","88","1","5818","8327","0","14154"
"2005-01-01","11723","1962","0","0","16","1092","6064","8477","89","0","96","7","6088","8684","0","14793"
"2006-01-01","10902","1877","0","0","0","1081","5651","7967","75","0","89","7","5716","8123","0","13860"
"2006-04-01","10870","1896","0","0","0","1094","5648","7970","73","0","90","8","5706","8132","0","13860"
"2007-06-02","10452","1768","0","0","0","1093","5389","7694","69","0","81","13","5502","7795","0","13313"
"2007-09-29","10520","1782","0","0","0","1146","5427","7784","72","0","79","12","5549","7883","0","13448"
"2008-01-05","10552","1786","0","0","0","1163","5449","7816","70","0","77","11","5562","7923","0","13501"
"2008-03-01","10585","1789","0","0","0","1196","5459","7861","74","0","78","11","5562","7992","0","13570"
"2008-08-30","11089","1824","0","0","0","1312","5590","8338","83","0","83","16","5868","8336","0","14225"
"2008-10-04","11177","1842","0","0","0","1366","5628","8444","84","0","86","18","5948","8415","0","14385"
"2008-10-11","11376","1839","0","0","1","1412","5653","8642","87","0","90","20","6075","8527","0","14628"
"2008-10-18","11649","1849","0","0","4","1448","5685","8911","86","0","90","25","6255","8655","0","14950"
"2008-10-25","11764","1852","0","0","4","1466","5702","9018","88","0","90","30","6323","8710","0","15086"
"2008-11-04","12013","1881","0","0","6","1496","5759","9264","89","0","92","32","6482","8857","0","15396"
"2008-11-29","12011","1879","0","0","6","1496","5753","9264","89","0","92","32","6478","8857","0","15392"
"2008-12-27","12065","1882","0","0","5","1505","5757","9323","89","0","93","32","6507","8892","0","15457"
"2009-01-03","12064","1882","0","0","5","1505","5757","9322","89","0","93","32","6507","8891","0","15456"
"2009-02-07","11986","1876","0","0","5","1505","5752","9247","86","0","92","32","6475","8839","0","15372"
"2009-02-14","11972","1873","0","0","5","1504","5750","9231","86","0","92","32","6467","8829","0","15354"
"2009-02-21","11971","1873","0","0","5","1504","5750","9230","86","0","92","32","6467","8828","0","15353"
"2009-02-28","11716","1810","0","0","5","1453","5583","9034","84","0","88","32","6322","8604","0","14984"
"2009-03-07","11688","1803","0","0","5","1450","5554","9023","84","0","88","33","6301","8586","0","14946"
"2009-03-14","11686","1803","0","0","5","1448","5551","9022","84","0","88","33","6299","8584","0","14942"
"2009-03-21","11684","1801","0","0","5","1448","5548","9021","84","0","88","33","6298","8581","0","14938"
"2009-03-28","11708","1804","0","0","6","1456","5556","9047","84","0","88","33","6309","8606","0","14974"
"2009-04-04","11707","1804","0","0","6","1456","5556","9046","84","0","88","33","6309","8605","0","14973"
"2009-04-11","11692","1804","0","0","6","1455","5551","9035","84","0","88","33","6299","8599","0","14957"
"2009-04-18","11690","1804","0","0","6","1454","5550","9033","84","0","88","33","6296","8599","0","14954"
"2009-04-25","11690","1804","0","0","6","1454","5550","9033","84","0","88","33","6296","8599","0","14954"
"2009-05-02","11688","1804","0","0","6","1454","5549","9032","84","0","88","33","6295","8598","0","14952"
"2009-05-09","11673","1802","0","0","6","1452","5541","9021","84","0","88","33","6286","8588","0","14933"
"2009-05-16","11659","1801","0","0","6","1452","5535","9012","84","0","88","33","6279","8580","0","14918"
"2009-05-23","11654","1801","0","0","6","1450","5532","9008","84","0","88","33","6275","8577","0","14911"
"2009-05-30","11654","1801","0","0","6","1448","5530","9008","84","0","88","33","6274","8576","0","14909"
"2009-06-06","11659","1797","0","0","6","1450","5530","9011","84","0","88","33","6277","8576","0","14912"
"2009-06-13","11668","1795","0","0","6","1460","5536","9022","84","0","88","34","6286","8584","0","14929"
"2009-06-20","11667","1795","0","0","6","1460","5536","9021","84","0","88","34","6285","8584","0","14928"
"2009-06-27","11667","1795","0","0","6","1461","5537","9020","84","0","88","34","6286","8584","0","14929"
"2009-07-04","11661","1793","0","0","6","1461","5533","9017","84","0","88","34","6282","8580","0","14921"
"2009-07-11","11651","1792","0","0","6","1460","5529","9010","84","0","87","34","6275","8575","0","14909"
"2009-07-18","11651","1792","0","0","6","1460","5529","9010","84","0","87","34","6275","8575","0","14909"
"2009-07-25","11651","1792","0","0","6","1460","5529","9010","84","0","87","34","6275","8575","0","14909"
"2009-08-02","11651","1792","0","0","6","1460","5529","9010","84","0","87","34","6275","8575","0","14909"
"2009-08-08","11650","1791","0","0","6","1458","5527","9008","84","0","87","34","6274","8572","0","14905"
