"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","2697","398","0","0","2","321","2484","913","5","0","11","3","1537","1881","0","0","0","0","3418"
"2004-05-01","2697","403","0","0","2","333","2487","925","5","0","11","4","1547","1888","0","0","0","0","3435"
"2005-01-01","2735","458","0","0","4","372","2593","944","5","0","10","5","1599","1965","0","0","0","0","3569"
"2006-01-01","2680","456","0","0","0","380","2554","933","5","0","8","5","1581","1931","0","0","0","0","3516"
"2006-04-01","2687","457","0","0","0","392","2570","937","5","0","8","5","1586","1946","0","0","0","0","3536"
"2007-06-02","2601","452","0","0","0","413","2528","910","4","0","7","6","1557","1905","0","0","0","0","3466"
"2007-09-29","2601","452","0","0","0","420","2529","915","4","0","8","6","1559","1911","0","0","0","0","3473"
"2008-01-05","2599","452","0","0","0","428","2530","918","5","0","8","6","1556","1920","0","0","0","0","3479"
"2008-03-01","2612","451","0","0","0","436","2539","927","5","0","8","6","1565","1931","0","0","0","0","3499"
"2008-08-30","2661","458","0","0","0","465","2574","973","5","0","7","6","1611","1965","0","0","0","0","3584"
"2008-10-04","2670","475","0","0","0","476","2606","976","5","0","8","6","1626","1987","0","0","0","0","3621"
"2008-10-11","2709","470","0","0","0","479","2618","997","6","0","8","7","1647","1999","0","0","0","0","3658"
"2008-10-18","2717","477","0","0","0","482","2628","1003","6","0","9","8","1658","2004","0","0","0","0","3676"
"2008-10-25","2724","477","0","0","0","483","2632","1006","6","0","9","8","1662","2007","0","0","0","0","3684"
"2008-11-04","2735","477","0","0","0","488","2639","1014","6","0","9","7","1664","2020","0","0","0","0","3700"
"2008-11-29","2738","480","0","0","0","493","2636","1024","6","0","9","8","1673","2019","0","0","0","0","3711"
"2008-12-27","2736","479","0","0","0","493","2635","1022","6","0","9","8","1671","2018","0","0","0","0","3708"
"2009-01-03","2736","479","0","0","0","493","2635","1022","6","0","9","8","1671","2018","0","0","0","0","3708"
"2009-02-07","2705","476","0","0","1","497","2619","1008","6","0","9","8","1660","2000","0","0","0","0","3679"
"2009-02-14","2703","476","0","0","1","497","2618","1007","6","0","9","8","1659","1999","0","0","0","0","3677"
"2009-02-21","2703","476","0","0","1","497","2618","1007","6","0","9","8","1659","1999","0","0","0","0","3677"
"2009-02-28","2699","475","0","0","2","496","2613","1007","6","0","9","8","1655","1998","0","0","0","0","3672"
"2009-03-07","2699","475","0","0","2","496","2613","1007","6","0","9","8","1655","1998","0","0","0","0","3672"
"2009-03-14","2694","475","0","0","2","496","2610","1005","6","0","9","8","1652","1996","0","0","0","0","3667"
"2009-03-21","2697","476","0","0","2","497","2614","1006","6","0","9","8","1655","1998","0","0","0","0","3672"
"2009-03-28","2697","473","0","0","2","501","2612","1007","6","0","10","9","1655","1999","0","0","0","0","3673"
"2009-04-04","2696","473","0","0","2","501","2611","1007","6","0","10","9","1654","1999","0","0","0","0","3672"
"2009-04-11","2699","474","0","0","2","503","2616","1007","7","0","10","9","1656","2003","0","0","0","0","3678"
"2009-04-18","2699","474","0","0","2","502","2615","1007","7","0","10","9","1655","2003","0","0","0","0","3677"
"2009-04-25","2698","474","0","0","2","502","2614","1007","7","0","10","9","1655","2002","0","0","0","0","3676"
"2009-05-02","2698","475","0","0","2","504","2617","1007","7","0","10","9","1659","2001","0","0","0","0","3679"
"2009-05-09","2698","475","0","0","2","503","2616","1007","7","0","10","9","1659","2000","0","0","0","0","3678"
"2009-05-16","2698","475","0","0","2","503","2616","1007","7","0","10","9","1659","2000","0","0","0","0","3678"
"2009-05-23","2698","475","0","0","2","504","2617","1007","7","0","10","9","1660","2000","0","0","0","0","3679"
"2009-05-30","2697","475","0","0","2","504","2617","1006","7","0","10","9","1660","1999","0","0","0","0","3678"
"2009-06-06","2696","476","0","0","2","504","2617","1006","7","0","10","9","1659","2000","0","0","0","0","3678"
"2009-06-13","2696","479","0","0","2","506","2623","1005","7","0","10","9","1662","2002","0","0","0","0","3683"
"2009-06-20","2698","479","0","0","2","504","2622","1005","7","0","10","9","1664","2000","0","0","0","0","3683"
"2009-06-27","2698","479","0","0","2","504","2622","1005","7","0","10","9","1664","2000","0","0","0","0","3683"
"2009-07-04","2698","483","0","0","2","508","2628","1007","7","0","11","8","1668","2004","0","0","0","0","3691"
"2009-07-11","2697","483","0","0","2","508","2627","1007","7","0","11","8","1667","2004","0","0","0","0","3690"
"2009-07-18","2698","484","0","0","2","511","2631","1008","7","0","11","8","1670","2006","0","0","0","0","3695"
"2009-07-25","2698","484","0","0","2","511","2631","1008","7","0","11","8","1670","2006","0","0","0","0","3695"
"2009-08-02","2695","484","0","0","2","511","2630","1006","7","0","11","8","1668","2005","0","0","0","0","3692"
"2009-08-08","2695","484","0","0","2","511","2630","1006","7","0","11","8","1668","2005","0","0","0","0","3692"
"2009-08-15","2696","487","0","0","2","516","2638","1007","7","0","11","8","1673","2009","0","0","0","0","3701"
"2009-08-22","2694","487","0","0","2","516","2637","1006","7","0","11","8","1673","2007","0","0","0","0","3699"
"2009-08-29","2693","487","0","0","2","516","2636","1006","7","0","11","8","1672","2007","0","0","0","0","3698"
"2009-09-05","2697","487","0","0","2","517","2638","1008","7","0","12","8","1674","2010","0","0","0","0","3703"
"2009-09-12","2701","490","0","0","2","520","2645","1010","7","0","12","8","1679","2015","0","0","0","0","3713"
"2009-09-19","2700","491","0","0","2","519","2645","1009","7","0","12","8","1678","2015","0","0","0","0","3712"
"2009-09-26","2699","491","0","0","2","519","2644","1009","7","0","12","8","1677","2015","0","0","0","0","3711"
"2009-10-03","2699","491","0","0","2","519","2644","1009","7","0","12","8","1677","2015","0","0","0","0","3711"
"2009-10-10","2699","491","0","0","2","519","2644","1009","7","0","12","8","1677","2015","0","0","0","0","3711"
"2009-10-17","2695","494","0","0","2","521","2647","1007","7","0","12","8","1678","2015","0","0","0","0","3712"
"2009-10-24","2695","494","0","0","2","525","2651","1007","7","0","12","8","1680","2017","0","0","0","0","3716"
"2009-10-31","2695","493","0","0","2","525","2650","1007","7","0","12","8","1680","2016","0","0","0","0","3715"
"2009-11-03","2695","493","0","0","2","525","2650","1007","7","0","12","8","1680","2016","0","0","0","0","3715"
"2009-11-21","2695","493","0","0","2","525","2650","1007","7","0","12","8","1680","2016","0","0","0","0","3715"
"2009-11-28","2697","495","0","0","2","528","2656","1008","7","0","12","8","1684","2019","0","0","0","0","3722"
"2009-12-05","2697","495","0","0","2","528","2656","1008","7","0","12","8","1684","2019","0","0","0","0","3722"
"2009-12-12","2697","495","0","0","2","528","2656","1008","7","0","12","8","1684","2019","0","0","0","0","3722"
"2009-12-19","2696","494","0","0","2","528","2655","1008","7","0","12","8","1683","2018","0","0","0","0","3720"
"2009-12-26","2694","494","0","0","2","529","2654","1008","7","0","12","8","1683","2017","0","0","0","0","3719"
"2010-01-02","2695","498","0","0","2","530","2658","1009","7","0","13","9","1686","2020","0","0","0","0","3725"
"2010-01-09","2693","498","0","0","2","532","2656","1010","7","0","14","10","1686","2020","0","0","0","0","3725"
"2010-01-16","2692","497","0","0","2","532","2655","1009","7","0","14","10","1686","2018","0","0","0","0","3723"
"2010-01-23","2692","497","0","0","2","532","2655","1009","7","0","14","10","1686","2018","0","0","0","0","3723"
