"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","30918","33881","0","0","115","14409","69316","8946","74","0","630","113","36474","42768","0","0","0","0","79323"
"2004-05-01","31167","34374","0","0","118","14774","70235","9089","77","0","650","135","37043","43309","0","0","0","0","80433"
"2005-01-01","32521","38013","0","0","160","16560","75741","9907","95","0","697","309","40109","46991","0","0","0","0","87254"
"2006-01-01","30258","37013","0","0","0","16690","72880","9470","100","0","659","361","38781","45024","0","0","0","0","83961"
"2006-04-01","30366","37335","0","0","0","17076","73581","9555","101","0","676","376","39166","45456","0","0","0","0","84777"
"2007-06-02","30770","38863","0","0","0","18938","76922","9862","111","0","743","495","41023","47386","0","0","0","0","88571"
"2007-09-29","30944","39290","0","0","0","19528","77968","9963","111","0","766","535","41526","48077","0","0","0","0","89762"
"2008-01-05","31267","39729","0","0","0","20149","79087","10155","116","0","803","576","42157","48830","0","0","0","0","91145"
"2008-03-01","31559","40061","0","0","0","20677","80007","10291","119","0","833","637","42683","49452","0","0","0","0","92297"
"2008-08-30","33093","40661","0","0","7","22689","83059","10960","141","0","920","813","44719","51550","0","0","0","0","96450"
"2008-10-04","33919","41439","0","0","18","23400","84247","11413","148","0","941","872","45706","52526","0","0","0","0","98776"
"2008-10-11","34459","41778","0","0","27","23746","84935","11711","151","0","944","921","46203","53103","0","0","0","0","100010"
"2008-10-18","34841","41958","0","0","41","24029","85393","11882","152","0","954","957","46575","53454","0","0","0","0","100869"
"2008-10-25","34899","41959","0","0","45","24049","85419","11914","149","0","954","973","46605","53498","0","0","0","0","100952"
"2008-11-04","35145","42242","0","0","52","24264","85944","12059","153","0","961","1004","46973","53851","0","0","0","0","101703"
"2008-11-29","35161","42257","0","0","53","24270","85951","12075","155","0","963","1009","46981","53882","0","0","0","0","101741"
"2008-12-27","35148","42306","0","0","55","24323","85976","12107","154","0","965","1017","47021","53932","0","0","0","0","101832"
"2009-01-03","35141","42304","0","0","55","24322","85971","12098","154","0","965","1020","47015","53930","0","0","0","0","101822"
"2009-02-07","34359","41385","0","0","66","23702","83956","11876","152","0","929","1029","45977","52675","0","0","0","0","99512"
"2009-02-14","34354","41384","0","0","67","23710","83963","11874","151","0","930","1030","45977","52679","0","0","0","0","99515"
"2009-02-21","34365","41398","0","0","67","23751","84016","11879","152","0","933","1034","46005","52717","0","0","0","0","99581"
"2009-02-28","34325","41383","0","0","68","23746","83966","11869","153","0","934","1033","45981","52680","0","0","0","0","99522"
"2009-03-07","34335","41380","0","0","69","23769","83998","11869","153","0","935","1032","46001","52692","0","0","0","0","99553"
"2009-03-14","34300","41366","0","0","69","23759","83958","11855","153","0","936","1032","45984","52651","0","0","0","0","99494"
"2009-03-21","34315","41389","0","0","69","23780","84012","11860","153","0","936","1031","46017","52678","0","0","0","0","99553"
"2009-03-28","34328","41398","0","0","69","23794","84044","11866","153","0","936","1030","46041","52691","0","0","0","0","99589"
"2009-04-04","34345","41415","0","0","69","23827","84101","11870","153","0","941","1034","46071","52728","0","0","0","0","99656"
"2009-04-11","34336","41407","0","0","70","23840","84094","11872","153","0","945","1035","46073","52723","0","0","0","0","99653"
"2009-04-18","34347","41417","0","0","70","23860","84127","11877","153","0","947","1036","46103","52734","0","0","0","0","99694"
"2009-04-25","34360","41433","0","0","71","23876","84169","11880","153","0","950","1039","46130","52753","0","0","0","0","99740"
"2009-05-02","34378","41450","0","0","73","23899","84215","11893","153","0","954","1044","46168","52775","0","0","0","0","99800"
"2009-05-09","34317","41425","0","0","73","23875","84129","11873","153","0","952","1046","46121","52711","0","0","0","0","99690"
"2009-05-16","34300","41417","0","0","73","23860","84105","11863","153","0","949","1046","46110","52683","0","0","0","0","99650"
"2009-05-23","34293","41450","0","0","74","23901","84185","11845","154","0","952","1048","46150","52711","0","0","0","0","99718"
"2009-05-30","34294","41464","0","0","74","23907","84203","11846","154","0","954","1050","46151","52731","0","0","0","0","99739"
"2009-06-06","34299","41479","0","0","75","23928","84245","11845","154","0","956","1052","46163","52763","0","0","0","0","99781"
"2009-06-13","34289","41487","0","0","75","23953","84273","11843","154","0","957","1052","46169","52783","0","0","0","0","99804"
"2009-06-20","34291","41502","0","0","75","23974","84309","11844","154","0","956","1056","46196","52794","0","0","0","0","99842"
"2009-06-27","34307","41517","0","0","76","23984","84348","11845","153","0","958","1059","46226","52807","0","0","0","0","99884"
"2009-07-04","34322","41539","0","0","76","24013","84410","11848","153","0","959","1060","46256","52843","0","0","0","0","99950"
"2009-07-11","34339","41558","0","0","76","24037","84462","11856","152","0","961","1063","46287","52873","0","0","0","0","100010"
"2009-07-18","34350","41602","0","0","77","24078","84544","11866","152","0","964","1069","46333","52924","0","0","0","0","100107"
