"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","15705","8129","0","0","47","4884","22768","5344","72","0","483","84","12816","15925","0","0","0","0","28765"
"2004-05-01","15724","8261","0","0","52","4977","22963","5379","74","0","490","106","12935","16053","0","0","0","0","29014"
"2005-01-01","16306","9251","0","0","75","5425","24301","5904","82","0","504","226","13859","17141","0","0","0","0","31057"
"2006-01-01","15028","8636","0","0","0","5097","22546","5406","80","0","453","263","12910","15794","0","0","0","0","28761"
"2006-04-01","15012","8678","0","0","0","5122","22577","5420","82","0","458","273","12927","15830","0","0","0","0","28812"
"2007-06-02","14921","8785","0","0","0","5421","22765","5485","85","0","483","361","13047","16026","0","0","0","0","29127"
"2007-09-29","14946","8824","0","0","0","5563","22911","5521","86","0","502","386","13125","16154","0","0","0","0","29333"
"2008-01-05","14958","8867","0","0","0","5648","22993","5565","86","0","514","400","13185","16236","0","0","0","0","29473"
"2008-03-01","15020","8944","0","0","0","5748","23132","5629","85","0","531","437","13303","16357","0","0","0","0","29712"
"2008-08-30","15673","8979","0","0","7","6214","23722","6049","83","0","568","590","13835","16970","0","0","0","0","30873"
"2008-10-04","15894","9076","0","0","7","6323","23875","6245","87","0","577","636","14039","17186","0","0","0","0","31300"
"2008-10-11","16014","9108","0","0","9","6336","23947","6318","87","0","582","651","14131","17261","0","0","0","0","31467"
"2008-10-18","16177","9155","0","0","15","6404","24056","6434","89","0","585","685","14261","17411","0","0","0","0","31751"
"2008-10-25","16436","9274","0","0","18","6511","24300","6616","95","0","593","716","14485","17656","0","0","0","0","32239"
"2008-11-04","16784","9434","0","0","24","6619","24616","6867","97","0","606","745","14773","17980","0","0","0","0","32861"
"2008-11-29","16845","9500","0","0","26","6635","24701","6920","97","0","608","752","14852","18045","0","0","0","0","33006"
"2008-12-27","16769","9491","0","0","27","6623","24653","6870","97","0","608","760","14809","17996","0","0","0","0","32910"
"2009-01-03","16772","9491","0","0","27","6625","24655","6872","97","0","609","761","14810","18000","0","0","0","0","32915"
"2009-02-07","16395","9196","0","0","27","6410","23939","6742","95","0","580","756","14442","17480","0","0","0","0","32028"
"2009-02-14","16363","9189","0","0","27","6411","23909","6735","95","0","579","755","14425","17459","0","0","0","0","31990"
