"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","12032","2993","0","0","24","1882","9818","7001","16","0","81","12","7251","9671","0","0","0","0","16931"
"2004-05-01","12032","3017","0","0","23","1914","9848","7023","16","0","84","14","7285","9689","0","0","0","0","16986"
"2005-01-01","12304","3219","0","0","29","1963","10052","7320","18","0","96","25","7518","9980","0","0","0","0","17515"
"2006-01-01","11629","3045","0","0","0","1914","9470","6989","18","0","86","25","7162","9412","0","0","0","0","16588"
"2006-04-01","11697","3022","0","0","0","1965","9521","7033","19","0","85","24","7227","9442","0","0","0","0","16684"
"2007-06-02","11918","2967","0","0","0","2116","9594","7265","20","0","87","29","7357","9630","0","0","0","0","17001"
"2007-09-29","11895","2958","0","0","0","2175","9622","7258","23","0","91","30","7360","9654","0","0","0","0","17028"
"2008-01-05","11917","2973","0","0","0","2206","9639","7307","23","0","89","31","7390","9691","0","0","0","0","17096"
"2008-03-01","11947","2964","0","0","0","2230","9655","7331","25","0","88","31","7416","9709","0","0","0","0","17141"
"2008-08-30","12207","2970","0","0","2","2401","9798","7576","29","0","99","43","7600","9953","0","0","0","0","17580"
"2008-10-04","12260","2992","0","0","3","2432","9837","7634","32","0","101","46","7660","10000","0","0","0","0","17687"
"2008-10-11","12319","2998","0","0","3","2444","9857","7689","32","0","100","45","7702","10036","0","0","0","0","17764"
"2008-10-18","12491","3023","0","0","3","2482","9921","7836","37","0","103","48","7820","10138","0","0","0","0","17999"
"2008-10-25","12547","3017","0","0","3","2487","9932","7878","37","0","104","49","7844","10167","0","0","0","0","18054"
"2008-11-04","12690","3044","0","0","2","2486","9963","8010","38","0","102","50","7919","10262","0","0","0","0","18222"
"2008-11-29","12762","3069","0","0","3","2512","10008","8079","38","0","103","50","7979","10321","0","0","0","0","18346"
"2008-12-27","12710","3054","0","0","3","2500","9974","8034","38","0","103","50","7954","10269","0","0","0","0","18267"
"2009-01-03","12712","3053","0","0","3","2500","9974","8035","38","0","103","50","7955","10269","0","0","0","0","18268"
"2009-02-07","12653","3043","0","0","3","2503","9954","7994","36","0","103","50","7931","10228","0","0","0","0","18202"
"2009-02-14","12280","2903","0","0","3","2386","9618","7711","35","0","93","50","7662","9867","0","0","0","0","17572"
"2009-02-21","12283","2908","0","0","3","2385","9622","7714","35","0","93","50","7670","9866","0","0","0","0","17579"
"2009-02-28","12277","2906","0","0","3","2388","9618","7714","35","0","93","50","7670","9861","0","0","0","0","17574"
"2009-03-07","12223","2899","0","0","3","2383","9599","7668","35","0","93","50","7637","9828","0","0","0","0","17508"
"2009-03-14","12224","2899","0","0","3","2384","9599","7670","35","0","93","50","7637","9830","0","0","0","0","17510"
"2009-03-21","12226","2901","0","0","3","2385","9601","7673","35","0","93","50","7637","9835","0","0","0","0","17515"
"2009-03-28","12228","2901","0","0","3","2385","9600","7676","35","0","93","50","7640","9834","0","0","0","0","17517"
"2009-04-04","12228","2901","0","0","3","2386","9601","7676","35","0","93","50","7640","9835","0","0","0","0","17518"
"2009-04-11","12216","2902","0","0","3","2389","9595","7672","35","0","95","50","7632","9835","0","0","0","0","17510"
"2009-04-18","12216","2902","0","0","3","2392","9599","7671","35","0","95","50","7634","9836","0","0","0","0","17513"
"2009-04-25","12216","2902","0","0","3","2392","9598","7672","35","0","95","50","7634","9836","0","0","0","0","17513"
"2009-05-02","12223","2902","0","0","3","2395","9602","7678","35","0","95","50","7642","9838","0","0","0","0","17523"
"2009-05-09","12232","2903","0","0","3","2404","9608","7690","35","0","96","50","7651","9848","0","0","0","0","17542"
"2009-05-16","12235","2903","0","0","3","2406","9610","7693","35","0","96","50","7657","9847","0","0","0","0","17547"
"2009-05-23","12241","2900","0","0","4","2411","9617","7695","35","0","96","50","7663","9850","0","0","0","0","17556"
"2009-05-30","12243","2901","0","0","4","2412","9618","7698","35","0","96","50","7664","9853","0","0","0","0","17560"
"2009-06-06","12240","2905","0","0","4","2415","9623","7697","35","0","96","50","7664","9857","0","0","0","0","17564"
"2009-06-13","12241","2910","0","0","4","2413","9624","7700","35","0","96","50","7668","9857","0","0","0","0","17568"
"2009-06-20","12239","2909","0","0","4","2412","9622","7698","35","0","96","50","7667","9854","0","0","0","0","17564"
"2009-06-27","12247","2913","0","0","4","2416","9632","7704","35","0","96","50","7678","9859","0","0","0","0","17580"
"2009-07-04","12241","2914","0","0","4","2415","9630","7699","36","0","96","50","7675","9856","0","0","0","0","17574"
"2009-07-11","12239","2912","0","0","4","2415","9627","7698","36","0","96","50","7673","9854","0","0","0","0","17570"
"2009-07-18","12238","2915","0","0","4","2420","9634","7699","36","0","95","49","7677","9857","0","0","0","0","17577"
"2009-07-25","12244","2916","0","0","4","2417","9636","7700","36","0","96","49","7683","9855","0","0","0","0","17581"
"2009-08-02","12248","2915","0","0","4","2423","9637","7708","36","0","96","49","7687","9860","0","0","0","0","17590"
"2009-08-08","12247","2916","0","0","4","2427","9630","7716","36","0","96","49","7686","9862","0","0","0","0","17594"
"2009-08-15","12245","2916","0","0","4","2430","9631","7716","36","0","96","49","7688","9861","0","0","0","0","17595"
"2009-08-22","12248","2918","0","0","4","2431","9635","7717","36","0","97","50","7691","9864","0","0","0","0","17601"
"2009-08-29","12268","2918","0","0","4","2431","9639","7733","36","0","97","50","7700","9875","0","0","0","0","17621"
"2009-09-05","12272","2918","0","0","4","2432","9643","7733","36","0","97","50","7704","9876","0","0","0","0","17626"
"2009-09-12","12241","2916","0","0","4","2428","9620","7719","36","0","97","50","7685","9858","0","0","0","0","17589"
"2009-09-19","12255","2918","0","0","4","2432","9627","7732","36","0","97","50","7698","9865","0","0","0","0","17609"
"2009-09-26","12260","2922","0","0","4","2432","9630","7738","36","0","97","50","7702","9870","0","0","0","0","17618"
"2009-10-03","12258","2927","0","0","4","2433","9632","7740","36","0","97","50","7705","9871","0","0","0","0","17622"
"2009-10-10","12259","2928","0","0","5","2433","9633","7742","36","0","97","50","7707","9871","0","0","0","0","17625"
"2009-10-17","12255","2928","0","0","5","2436","9635","7738","36","0","97","50","7708","9869","0","0","0","0","17624"
"2009-10-24","12254","2928","0","0","5","2434","9633","7737","36","0","97","50","7705","9869","0","0","0","0","17621"
"2009-10-31","12253","2928","0","0","5","2433","9633","7735","36","0","97","50","7703","9869","0","0","0","0","17619"
"2009-11-03","12252","2928","0","0","5","2432","9631","7735","36","0","97","50","7702","9868","0","0","0","0","17617"
"2009-11-21","12272","2939","0","0","7","2453","9662","7753","37","0","99","51","7727","9898","0","0","0","0","17671"
"2009-11-28","12263","2940","0","0","8","2451","9655","7752","37","0","99","51","7725","9891","0","0","0","0","17662"
"2009-12-05","12249","2935","0","0","8","2452","9649","7741","37","0","98","51","7717","9882","0","0","0","0","17644"
"2009-12-12","12249","2934","0","0","8","2450","9646","7741","37","0","98","51","7719","9877","0","0","0","0","17641"
"2009-12-19","12251","2933","0","0","8","2447","9642","7742","37","0","98","51","7722","9872","0","0","0","0","17639"
"2009-12-26","12247","2935","0","0","8","2449","9644","7740","37","0","98","51","7720","9873","0","0","0","0","17639"
"2010-01-02","12249","2938","0","0","8","2449","9650","7739","37","0","98","51","7723","9875","0","0","0","0","17644"
"2010-01-09","12250","2939","0","0","8","2448","9652","7739","37","0","98","51","7726","9873","0","0","0","0","17645"
"2010-01-16","12244","2937","0","0","8","2447","9643","7739","37","0","98","51","7723","9867","0","0","0","0","17636"
"2010-01-23","12244","2940","0","0","8","2448","9646","7740","37","0","98","51","7725","9869","0","0","0","0","17640"
"2010-01-30","12251","2943","0","0","8","2451","9652","7747","37","0","98","51","7734","9873","0","0","0","0","17653"
"2010-02-06","12245","2941","0","0","8","2454","9651","7744","37","0","98","51","7734","9868","0","0","0","0","17648"
"2010-02-13","12247","2937","0","0","8","2461","9654","7746","37","0","98","51","7732","9874","0","0","0","0","17653"
"2010-02-20","12248","2938","0","0","8","2459","9653","7747","37","0","98","51","7732","9874","0","0","0","0","17653"
"2010-02-27","12248","2940","0","0","8","2466","9663","7746","37","0","98","51","7738","9877","0","0","0","0","17662"
"2010-03-06","12255","2941","0","0","8","2470","9672","7749","37","0","98","51","7746","9881","0","0","0","0","17674"
"2010-03-13","12262","2945","0","0","8","2479","9689","7752","37","0","98","51","7758","9889","0","0","0","0","17694"
"2010-03-20","12263","2944","0","0","8","2480","9688","7754","37","0","98","51","7759","9889","0","0","0","0","17695"
"2010-03-27","12258","2945","0","0","8","2480","9682","7756","37","0","98","51","7763","9881","0","0","0","0","17691"
"2010-04-03","12260","2946","0","0","8","2492","9687","7765","37","0","98","51","7769","9890","0","0","0","0","17706"
"2010-04-10","12241","2940","0","0","8","2512","9679","7768","37","0","98","51","7763","9891","0","0","0","0","17701"
"2010-04-17","12241","2937","0","0","7","2515","9679","7767","37","0","98","51","7762","9891","0","0","0","0","17700"
"2010-04-24","12237","2939","0","0","7","2518","9673","7773","37","0","98","51","7760","9893","0","0","0","0","17701"
"2010-05-01","12253","2940","0","0","7","2524","9677","7792","37","0","98","51","7774","9902","0","0","0","0","17724"
"2010-05-04","12258","2941","0","0","7","2527","9681","7797","37","0","98","51","7777","9908","0","0","0","0","17733"
"2010-05-08","12257","2943","0","0","7","2528","9683","7797","37","0","98","51","7778","9910","0","0","0","0","17735"
"2010-05-15","12286","2946","0","0","7","2536","9698","7820","37","0","98","52","7800","9927","0","0","0","0","17775"
"2010-05-22","12287","2951","0","0","7","2550","9703","7834","37","0","98","52","7807","9941","0","0","0","0","17795"
"2010-05-29","12286","2951","0","0","7","2549","9702","7833","37","0","98","52","7806","9940","0","0","0","0","17793"
"2010-06-05","12284","2951","0","0","7","2549","9702","7831","37","0","98","52","7805","9939","0","0","0","0","17791"
