"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","1285","8297","0","0","12","2057","11593","18","5","0","19","5","5441","6202","0","0","0","0","11651"
"2004-05-01","1306","8250","0","0","12","2074","11585","17","4","0","19","6","5433","6200","0","0","0","0","11642"
"2005-01-01","1417","8460","0","0","19","2203","12012","18","7","0","24","19","5643","6444","0","0","0","0","12099"
"2006-01-01","1377","8037","0","0","0","2149","11475","20","8","0","24","22","5418","6133","0","0","0","0","11563"
"2006-04-01","1345","8108","0","0","0","2256","11607","20","10","0","26","23","5491","6204","0","0","0","0","11709"
"2007-06-02","1254","7819","0","0","0","2407","11352","21","13","0","30","29","5366","6100","0","0","0","0","11480"
"2007-09-29","1258","7769","0","0","0","2412","11316","20","11","0","29","28","5341","6085","0","0","0","0","11439"
"2008-01-05","1269","7776","0","0","0","2437","11357","20","12","0","29","28","5352","6116","0","0","0","0","11482"
"2008-03-01","1287","7794","0","0","0","2481","11434","20","13","0","30","30","5388","6160","0","0","0","0","11562"
"2008-08-30","1369","7703","0","0","0","2546","11486","21","12","0","30","30","5410","6195","0","0","0","0","11618"
"2008-10-04","1395","7725","0","0","0","2579","11564","20","13","0","31","31","5450","6233","0","0","0","0","11699"
"2008-10-11","1394","7715","0","0","1","2575","11550","20","12","0","32","31","5439","6230","0","0","0","0","11685"
"2008-10-18","1415","7747","0","0","2","2623","11648","20","12","0","32","31","5491","6279","0","0","0","0","11787"
"2008-10-25","1423","7755","0","0","2","2637","11675","20","12","0","32","33","5506","6294","0","0","0","0","11817"
"2008-11-04","1436","7773","0","0","2","2652","11721","20","12","0","31","33","5521","6325","0","0","0","0","11863"
"2008-11-29","1454","7793","0","0","2","2686","11788","20","13","0","31","35","5548","6368","0","0","0","0","11935"
"2008-12-27","1453","7785","0","0","3","2692","11787","19","13","0","31","35","5549","6366","0","0","0","0","11933"
"2009-01-03","1453","7785","0","0","3","2692","11787","19","13","0","31","35","5549","6366","0","0","0","0","11933"
"2009-02-07","1370","7549","0","0","3","2597","11377","19","13","0","29","35","5365","6136","0","0","0","0","11519"
"2009-02-14","1370","7546","0","0","3","2594","11371","19","13","0","29","35","5362","6133","0","0","0","0","11513"
"2009-02-21","1377","7548","0","0","3","2594","11380","19","13","0","29","35","5368","6136","0","0","0","0","11522"
"2009-02-28","1379","7539","0","0","3","2593","11372","19","13","0","29","35","5364","6132","0","0","0","0","11514"
"2009-03-07","1375","7511","0","0","3","2585","11333","19","13","0","28","35","5344","6112","0","0","0","0","11474"
"2009-03-14","1375","7508","0","0","3","2583","11328","19","13","0","28","35","5341","6110","0","0","0","0","11469"
"2009-03-21","1375","7508","0","0","3","2583","11328","19","13","0","28","35","5341","6110","0","0","0","0","11469"
"2009-03-28","1373","7508","0","0","3","2583","11326","19","13","0","28","35","5340","6109","0","0","0","0","11467"
"2009-04-04","1373","7507","0","0","3","2582","11324","19","13","0","28","35","5339","6108","0","0","0","0","11465"
"2009-04-11","1372","7503","0","0","3","2582","11319","19","13","0","28","35","5336","6106","0","0","0","0","11460"
"2009-04-18","1372","7503","0","0","3","2582","11319","19","13","0","28","35","5336","6106","0","0","0","0","11460"
"2009-04-25","1370","7487","0","0","3","2573","11292","19","13","0","28","35","5323","6092","0","0","0","0","11433"
"2009-05-02","1370","7487","0","0","3","2572","11291","19","13","0","28","35","5323","6091","0","0","0","0","11432"
"2009-05-09","1378","7516","0","0","3","2584","11333","19","15","0","29","39","5344","6118","0","0","0","0","11481"
"2009-05-16","1378","7516","0","0","3","2584","11333","19","15","0","29","39","5344","6118","0","0","0","0","11481"
"2009-05-23","1378","7516","0","0","3","2584","11333","19","15","0","29","39","5344","6118","0","0","0","0","11481"
"2009-05-30","1378","7516","0","0","3","2584","11333","19","15","0","29","39","5344","6118","0","0","0","0","11481"
"2009-06-06","1381","7513","0","0","3","2596","11343","19","15","0","31","40","5344","6130","0","0","0","0","11493"
"2009-06-13","1384","7515","0","0","3","2598","11349","20","15","0","31","40","5347","6134","0","0","0","0","11500"
"2009-06-20","1384","7514","0","0","3","2597","11347","20","15","0","31","40","5347","6132","0","0","0","0","11498"
"2009-06-27","1384","7513","0","0","3","2597","11346","20","15","0","31","40","5347","6131","0","0","0","0","11497"
"2009-07-04","1384","7513","0","0","3","2597","11346","20","15","0","31","40","5347","6131","0","0","0","0","11497"
"2009-07-11","1384","7513","0","0","3","2597","11346","20","15","0","31","40","5347","6131","0","0","0","0","11497"
"2009-07-18","1384","7513","0","0","3","2596","11345","20","15","0","31","40","5346","6131","0","0","0","0","11496"
"2009-07-25","1373","7483","0","0","3","2594","11300","20","15","0","34","42","5330","6104","0","0","0","0","11453"
"2009-08-02","1373","7482","0","0","3","2593","11298","20","15","0","34","42","5329","6103","0","0","0","0","11451"
"2009-08-08","1371","7485","0","0","3","2594","11299","20","15","0","35","43","5329","6105","0","0","0","0","11453"
"2009-08-15","1371","7485","0","0","3","2593","11298","20","15","0","35","43","5328","6105","0","0","0","0","11452"
"2009-08-22","1367","7476","0","0","3","2587","11281","20","15","0","35","42","5320","6094","0","0","0","0","11433"
"2009-08-29","1370","7477","0","0","3","2590","11286","20","15","0","35","43","5326","6095","0","0","0","0","11440"
"2009-09-05","1370","7477","0","0","3","2590","11286","20","15","0","35","43","5326","6095","0","0","0","0","11440"
"2009-09-12","1366","7471","0","0","5","2599","11287","20","15","0","35","43","5322","6100","0","0","0","0","11441"
"2009-09-19","1366","7470","0","0","5","2598","11285","20","15","0","35","43","5322","6098","0","0","0","0","11439"
"2009-09-26","1366","7469","0","0","5","2598","11284","20","15","0","35","43","5321","6098","0","0","0","0","11438"
"2009-10-03","1367","7472","0","0","6","2609","11299","20","15","0","35","43","5325","6110","0","0","0","0","11454"
"2009-10-10","1368","7474","0","0","6","2610","11303","20","15","0","35","43","5327","6112","0","0","0","0","11458"
"2009-10-17","1372","7477","0","0","6","2610","11310","20","15","0","35","43","5332","6114","0","0","0","0","11465"
"2009-10-24","1372","7477","0","0","6","2610","11310","20","15","0","35","43","5332","6114","0","0","0","0","11465"
"2009-10-31","1372","7477","0","0","6","2610","11310","20","15","0","35","43","5332","6114","0","0","0","0","11465"
"2009-11-03","1372","7477","0","0","6","2610","11310","20","15","0","35","43","5332","6114","0","0","0","0","11465"
"2009-11-21","1368","7461","0","0","6","2612","11293","20","15","0","35","43","5326","6101","0","0","0","0","11447"
"2009-11-28","1368","7461","0","0","6","2612","11293","20","15","0","35","43","5326","6101","0","0","0","0","11447"
"2009-12-05","1368","7461","0","0","6","2612","11293","20","15","0","35","43","5326","6101","0","0","0","0","11447"
"2009-12-12","1368","7461","0","0","6","2612","11293","20","15","0","35","43","5326","6101","0","0","0","0","11447"
"2009-12-19","1368","7459","0","0","6","2610","11290","20","15","0","34","42","5325","6098","0","0","0","0","11443"
"2009-12-26","1374","7455","0","0","6","2616","11298","20","15","0","34","42","5327","6104","0","0","0","0","11451"
"2010-01-02","1375","7455","0","0","6","2617","11300","20","15","0","34","42","5328","6105","0","0","0","0","11453"
"2010-01-09","1373","7449","0","0","6","2620","11295","20","15","0","34","42","5324","6103","0","0","0","0","11448"
"2010-01-16","1371","7450","0","0","6","2623","11297","20","14","0","35","42","5324","6105","0","0","0","0","11450"
"2010-01-23","1371","7449","0","0","6","2623","11296","20","14","0","35","42","5323","6105","0","0","0","0","11449"
"2010-01-30","1372","7449","0","0","6","2622","11295","20","15","0","35","43","5323","6105","0","0","0","0","11449"
"2010-02-06","1372","7449","0","0","6","2622","11295","20","15","0","35","43","5323","6105","0","0","0","0","11449"
"2010-02-13","1371","7456","0","0","8","2629","11310","20","15","0","35","43","5328","6115","0","0","0","0","11464"
"2010-02-20","1371","7456","0","0","8","2629","11310","20","15","0","35","43","5328","6115","0","0","0","0","11464"
"2010-02-27","1369","7453","0","0","8","2628","11305","20","14","0","35","43","5326","6111","0","0","0","0","11458"
"2010-03-06","1362","7440","0","0","8","2638","11293","20","13","0","35","43","5324","6103","0","0","0","0","11448"
"2010-03-13","1363","7442","0","0","8","2636","11294","20","13","0","35","43","5323","6105","0","0","0","0","11449"
"2010-03-20","1355","7451","0","0","8","2647","11305","20","13","0","35","43","5327","6112","0","0","0","0","11461"
"2010-03-27","1351","7454","0","0","8","2657","11312","22","13","0","35","43","5331","6115","0","0","0","0","11470"
"2010-04-03","1346","7473","0","0","8","2670","11339","22","13","0","35","43","5350","6122","0","0","0","0","11497"
"2010-04-10","1334","7496","0","0","8","2715","11393","22","13","0","36","44","5369","6156","0","0","0","0","11553"
"2010-04-17","1327","7502","0","0","8","2730","11407","22","13","0","36","44","5378","6161","0","0","0","0","11567"
"2010-04-24","1326","7502","0","0","8","2734","11410","22","13","0","36","44","5379","6163","0","0","0","0","11570"
"2010-05-01","1326","7507","0","0","8","2738","11419","22","13","0","36","44","5384","6167","0","0","0","0","11579"
"2010-05-04","1327","7518","0","0","8","2747","11440","22","13","0","36","44","5395","6177","0","0","0","0","11600"
"2010-05-08","1326","7518","0","0","8","2747","11439","22","13","0","36","44","5395","6176","0","0","0","0","11599"
"2010-05-15","1326","7526","0","0","8","2749","11448","22","13","0","36","44","5400","6181","0","0","0","0","11609"
"2010-05-22","1326","7526","0","0","8","2749","11448","22","13","0","36","44","5400","6181","0","0","0","0","11609"
"2010-05-29","1326","7526","0","0","8","2749","11448","22","13","0","36","44","5400","6181","0","0","0","0","11609"
"2010-06-05","1326","7526","0","0","8","2749","11448","22","13","0","36","44","5400","6181","0","0","0","0","11609"
"2010-06-12","1325","7527","0","0","8","2749","11448","22","13","0","36","44","5400","6181","0","0","0","0","11609"
"2010-06-19","1321","7517","0","0","8","2747","11432","22","13","0","36","44","5393","6172","0","0","0","0","11593"
"2010-06-22","1321","7516","0","0","8","2747","11431","22","13","0","36","44","5393","6171","0","0","0","0","11592"
"2010-06-26","1321","7515","0","0","8","2747","11430","22","13","0","36","44","5391","6172","0","0","0","0","11591"
"2010-07-03","1315","7541","0","0","10","2780","11483","22","13","0","36","48","5416","6202","0","0","0","0","11646"
"2010-07-10","1313","7543","0","0","10","2781","11483","22","13","0","36","48","5413","6206","0","0","0","0","11647"
"2010-07-17","1312","7545","0","0","11","2787","11492","21","13","0","36","48","5419","6208","0","0","0","0","11655"
"2010-07-24","1312","7542","0","0","11","2787","11489","21","13","0","36","48","5417","6207","0","0","0","0","11652"
"2010-07-31","1306","7543","0","0","11","2795","11492","21","13","0","36","47","5416","6211","0","0","0","0","11655"
"2010-08-07","1305","7538","0","0","11","2796","11487","22","13","0","35","47","5418","6204","0","0","0","0","11650"
"2010-08-14","1309","7536","0","0","11","2797","11490","22","13","0","35","47","5417","6208","0","0","0","0","11653"
"2010-08-21","1309","7535","0","0","11","2799","11491","22","13","0","35","47","5418","6208","0","0","0","0","11654"
"2010-08-28","1308","7533","0","0","11","2798","11487","22","13","0","35","47","5415","6207","0","0","0","0","11650"
"2010-08-31","1308","7530","0","0","11","2798","11484","22","13","0","35","47","5414","6205","0","0","0","0","11647"
"2010-09-04","1311","7536","0","0","11","2806","11500","22","13","0","36","48","5422","6214","0","0","0","0","11664"
"2010-09-11","1311","7528","0","0","11","2801","11487","22","13","0","36","48","5413","6210","0","0","0","0","11651"
"2010-09-18","1311","7531","0","0","11","2803","11492","22","13","0","36","48","5416","6212","0","0","0","0","11656"
"2010-09-25","1312","7517","0","0","11","2801","11478","22","13","0","36","48","5407","6206","0","0","0","0","11641"
"2010-10-02","1313","7517","0","0","11","2800","11477","22","13","0","36","48","5409","6204","0","0","0","0","11641"
"2010-10-09","1314","7515","0","0","10","2795","11469","22","13","0","36","48","5407","6199","0","0","0","0","11634"
"2010-10-16","1315","7516","0","0","9","2806","11479","22","13","0","36","48","5411","6206","0","0","0","0","11646"
"2010-10-23","1315","7517","0","0","9","2811","11485","22","13","0","36","48","5416","6207","0","0","0","0","11652"
"2010-10-30","1313","7522","0","0","9","2813","11490","22","13","0","36","48","5417","6211","0","0","0","0","11657"
"2010-11-02","1314","7528","0","0","9","2813","11498","22","13","0","36","48","5424","6212","0","0","0","0","11664"
"2010-11-06","1314","7528","0","0","9","2813","11498","22","13","0","36","48","5424","6212","0","0","0","0","11664"
"2010-11-13","1314","7522","0","0","9","2809","11489","22","13","0","36","48","5417","6208","0","0","0","0","11654"
"2010-11-20","1314","7529","0","0","8","2814","11499","22","13","0","36","48","5427","6209","0","0","0","0","11665"
"2010-11-27","1314","7528","0","0","8","2814","11498","22","13","0","36","48","5427","6208","0","0","0","0","11664"
"2010-12-04","1313","7541","0","0","8","2821","11517","22","13","0","36","48","5433","6221","0","0","0","0","11683"
"2010-12-11","1315","7546","0","0","8","2825","11528","22","13","0","36","48","5440","6225","0","0","0","0","11694"
"2010-12-18","1315","7543","0","0","8","2826","11525","22","13","0","36","48","5441","6222","0","0","0","0","11692"
"2010-12-25","1314","7545","0","0","7","2831","11529","22","13","0","36","48","5444","6224","0","0","0","0","11697"
"2011-01-01","1314","7545","0","0","7","2830","11528","22","13","0","36","48","5443","6224","0","0","0","0","11696"
"2011-01-08","1312","7552","0","0","7","2832","11533","23","13","0","37","49","5449","6225","0","0","0","0","11703"
"2011-01-15","1312","7552","0","0","7","2832","11533","23","13","0","37","49","5449","6225","0","0","0","0","11703"
"2011-01-22","1310","7541","0","0","6","2826","11513","23","13","0","37","49","5438","6216","0","0","0","0","11683"
"2011-01-29","1281","7405","0","0","6","2783","11306","23","12","0","37","48","5344","6101","0","0","0","0","11475"
"2011-02-05","1281","7405","0","0","6","2785","11307","23","12","0","38","48","5345","6102","0","0","0","0","11477"
"2011-02-12","1279","7380","0","0","6","2781","11276","23","12","0","38","48","5329","6087","0","0","0","0","11446"
"2011-02-19","1278","7379","0","0","6","2783","11276","23","12","0","38","48","5329","6087","0","0","0","0","11446"
"2011-02-26","1276","7375","0","0","6","2791","11277","23","13","0","38","48","5324","6095","0","0","0","0","11448"
"2011-03-05","1275","7364","0","0","6","2787","11260","23","13","0","38","48","5317","6086","0","0","0","0","11432"
"2011-03-12","1277","7366","0","0","6","2785","11262","23","13","0","38","48","5319","6086","0","0","0","0","11434"
"2011-03-19","1273","7369","0","0","6","2786","11262","23","13","0","38","48","5318","6087","0","0","0","0","11434"
"2011-03-26","1274","7364","0","0","6","2781","11253","23","13","0","38","48","5316","6080","0","0","0","0","11425"
"2011-04-02","1273","7353","0","0","6","2775","11235","23","13","0","38","48","5307","6071","0","0","0","0","11407"
"2011-04-09","1274","7343","0","0","6","2775","11226","23","13","0","38","48","5301","6068","0","0","0","0","11398"
"2011-04-16","1274","7342","0","0","6","2776","11226","23","13","0","38","48","5300","6069","0","0","0","0","11398"
"2011-04-23","1272","7336","0","0","6","2771","11213","23","13","0","38","48","5294","6062","0","0","0","0","11385"
"2011-04-30","1275","7335","0","0","6","2772","11216","23","13","0","38","48","5295","6064","0","0","0","0","11388"
"2011-05-07","1276","7328","0","0","6","2771","11208","23","13","0","39","49","5295","6057","0","0","0","0","11381"
"2011-05-14","1276","7327","0","0","6","2769","11205","23","13","0","39","49","5294","6055","0","0","0","0","11378"
"2011-05-21","1276","7326","0","0","6","2769","11204","23","13","0","39","49","5294","6054","0","0","0","0","11377"
"2011-05-28","1279","7328","0","0","6","2779","11219","23","13","0","39","49","5300","6062","0","0","0","0","11392"
"2011-06-04","1279","7329","0","0","6","2780","11221","23","13","0","39","49","5302","6062","0","0","0","0","11394"
"2011-06-11","1278","7329","0","0","6","2780","11220","23","13","0","39","49","5302","6061","0","0","0","0","11393"
"2011-06-18","1277","7314","0","0","6","2777","11201","23","13","0","39","49","5286","6058","0","0","0","0","11374"
"2011-06-25","1277","7316","0","0","6","2779","11205","23","13","0","39","49","5289","6059","0","0","0","0","11378"
"2011-07-02","1277","7316","0","0","6","2779","11205","23","13","0","39","49","5289","6059","0","0","0","0","11378"
"2011-07-09","1277","7318","0","0","6","2777","11205","23","13","0","39","49","5288","6060","0","0","0","0","11378"
"2011-07-16","1277","7318","0","0","6","2777","11205","23","13","0","39","49","5287","6061","0","0","0","0","11378"
"2011-07-23","1277","7318","0","0","6","2779","11207","23","13","0","39","49","5289","6061","0","0","0","0","11380"
"2011-07-30","1277","7325","0","0","6","2789","11222","24","14","0","39","49","5295","6072","0","0","0","0","11397"
"2011-08-06","1275","7316","0","0","6","2781","11203","24","14","0","39","49","5289","6059","0","0","0","0","11378"
"2011-08-13","1275","7315","0","0","6","2786","11207","24","14","0","39","49","5292","6060","0","0","0","0","11382"
"2011-08-20","1273","7316","0","0","6","2790","11209","24","14","0","40","50","5294","6061","0","0","0","0","11385"
"2011-08-27","1274","7317","0","0","6","2792","11213","24","14","0","40","51","5297","6062","0","0","0","0","11389"
"2011-09-03","1270","7309","0","0","6","2791","11201","23","14","0","40","51","5292","6054","0","0","0","0","11376"
"2011-09-10","1271","7309","0","0","6","2793","11204","23","14","0","40","51","5294","6055","0","0","0","0","11379"
"2011-09-17","1269","7309","0","0","6","2793","11202","23","14","0","40","51","5293","6054","0","0","0","0","11377"
"2011-09-24","1273","7321","0","0","6","2803","11228","23","14","0","40","51","5306","6067","0","0","0","0","11403"
"2011-10-01","1273","7324","0","0","6","2806","11234","23","14","0","40","51","5310","6069","0","0","0","0","11409"
"2011-10-08","1273","7323","0","0","6","2803","11231","23","14","0","40","51","5310","6065","0","0","0","0","11405"
"2011-10-15","1276","7327","0","0","6","2806","11241","23","14","0","40","51","5313","6072","0","0","0","0","11415"
"2011-10-22","1274","7329","0","0","6","2806","11242","23","14","0","40","51","5314","6071","0","0","0","0","11415"
"2011-10-29","1274","7329","0","0","6","2805","11241","23","14","0","40","51","5314","6070","0","0","0","0","11414"
"2011-11-05","1272","7316","0","0","6","2800","11221","23","14","0","40","51","5304","6060","0","0","0","0","11394"
"2011-11-12","1272","7316","0","0","6","2800","11221","23","14","0","40","51","5304","6060","0","0","0","0","11394"
"2011-11-19","1272","7316","0","0","6","2799","11220","23","14","0","40","51","5304","6059","0","0","0","0","11393"
"2011-11-26","1272","7316","0","0","6","2797","11218","23","14","0","40","51","5303","6058","0","0","0","0","11391"
"2011-12-03","1272","7316","0","0","6","2797","11218","23","14","0","40","51","5303","6058","0","0","0","0","11391"
"2011-12-10","1271","7316","0","0","6","2797","11217","23","14","0","40","51","5303","6057","0","0","0","0","11390"
