"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","16236","22125","0","0","74","9800","41526","6111","178","0","386","55","21953","26282","0","48235"
"2004-05-01","16454","22426","0","0","79","10058","42139","6253","186","0","400","70","22351","26666","0","49017"
"2005-01-01","17447","24239","0","0","104","11125","45176","6878","227","0","453","153","24101","28813","0","52915"
"2006-01-01","17402","24561","0","0","0","11765","45947","6884","228","0","479","174","24479","29249","0","53728"
"2006-04-01","17466","24697","0","0","0","11999","46317","6937","228","0","490","176","24683","29479","0","54162"
"2007-06-02","17219","24766","0","0","0","12978","47076","6918","230","0","500","194","25055","29908","0","54963"
"2007-09-29","17235","24880","0","0","0","13300","47498","6919","233","0","522","202","25215","30199","0","55415"
"2008-01-05","17323","25040","0","0","0","13608","47985","6961","237","0","534","211","25486","30484","0","55971"
"2008-03-01","17403","25093","0","0","0","13849","48278","7009","236","0","554","221","25628","30715","0","56345"
"2008-08-30","18187","25274","0","0","15","14873","49731","7415","253","0","602","283","26539","31803","0","58349"
"2008-10-04","18469","25442","0","0","23","15167","50213","7609","266","0","621","297","26889","32203","0","59101"
"2008-10-11","18591","25516","0","0","28","15273","50409","7684","272","0","629","310","27031","32362","0","59408"
"2008-10-18","18711","25643","0","0","33","15398","50655","7759","280","0","639","311","27204","32562","0","59785"
"2008-10-25","18746","25646","0","0","34","15397","50669","7786","281","0","636","312","27227","32577","0","59823"
"2008-11-04","18957","25857","0","0","42","15513","51036","7922","290","0","653","334","27485","32862","0","60369"
"2008-11-29","19024","25940","0","0","44","15550","51185","7955","288","0","659","339","27591","32945","0","60558"
"2008-12-27","19039","25981","0","0","50","15581","51256","7961","290","0","666","341","27649","32978","0","60651"
"2009-01-03","19038","25982","0","0","50","15588","51263","7961","290","0","666","342","27653","32981","0","60658"
"2009-02-07","18651","25552","0","0","51","15266","50345","7785","280","0","636","334","27137","32358","0","59520"
"2009-02-14","18658","25570","0","0","51","15283","50372","7792","280","0","642","339","27162","32375","0","59562"
"2009-02-21","18668","25574","0","0","51","15310","50400","7801","280","0","644","339","27180","32396","0","59603"
"2009-02-28","18676","25584","0","0","51","15329","50428","7808","281","0","645","341","27198","32415","0","59640"
"2009-03-07","18673","25574","0","0","51","15330","50414","7810","280","0","646","342","27204","32397","0","59628"
"2009-03-14","18625","25523","0","0","51","15285","50281","7801","279","0","646","342","27135","32322","0","59484"
"2009-03-21","18578","25468","0","0","51","15268","50177","7785","279","0","648","344","27077","32261","0","59365"
"2009-03-28","18573","25449","0","0","51","15254","50142","7782","279","0","648","344","27064","32236","0","59327"
"2009-04-04","18563","25437","0","0","51","15265","50131","7783","277","0","648","345","27055","32234","0","59316"
"2009-04-11","18558","25434","0","0","51","15271","50133","7777","277","0","650","347","27052","32235","0","59314"
"2009-04-18","18548","25427","0","0","52","15278","50124","7777","277","0","650","347","27039","32239","0","59305"
"2009-04-25","18548","25436","0","0","52","15284","50139","7778","277","0","650","347","27040","32254","0","59320"
"2009-05-02","18555","25436","0","0","52","15308","50153","7789","278","0","652","348","27048","32277","0","59351"
"2009-05-09","18569","25441","0","0","54","15326","50158","7815","279","0","655","351","27078","32285","0","59390"
"2009-05-16","18564","25447","0","0","54","15341","50185","7804","278","0","656","350","27086","32293","0","59406"
"2009-05-23","18574","25452","0","0","54","15349","50201","7811","277","0","658","352","27094","32308","0","59429"
"2009-05-30","18569","25446","0","0","54","15356","50194","7812","277","0","660","353","27093","32305","0","59425"
"2009-06-06","18574","25458","0","0","56","15369","50219","7817","277","0","660","354","27112","32318","0","59457"
"2009-06-13","18583","25464","0","0","57","15392","50256","7818","278","0","661","354","27135","32334","0","59496"
"2009-06-20","18573","25462","0","0","57","15408","50272","7807","278","0","661","353","27132","32341","0","59500"
"2009-06-27","18574","25468","0","0","58","15418","50286","7808","278","0","663","355","27140","32351","0","59518"
"2009-07-04","18577","25477","0","0","58","15437","50314","7809","278","0","664","356","27152","32370","0","59549"
"2009-07-11","18584","25490","0","0","58","15456","50346","7813","278","0","667","356","27174","32387","0","59588"
"2009-07-18","18578","25493","0","0","58","15470","50356","7812","278","0","669","358","27177","32395","0","59599"
"2009-07-25","18572","25501","0","0","58","15474","50360","7811","278","0","672","359","27179","32399","0","59605"
"2009-08-02","18586","25511","0","0","58","15489","50396","7812","280","0","672","359","27200","32417","0","59644"
"2009-08-08","18573","25501","0","0","58","15482","50370","7810","279","0","670","357","27188","32399","0","59614"
"2009-08-15","18572","25507","0","0","58","15495","50388","7808","279","0","673","357","27193","32412","0","59632"
"2009-08-22","18583","25512","0","0","59","15523","50434","7806","279","0","674","357","27208","32442","0","59677"
"2009-08-29","18599","25518","0","0","59","15541","50456","7821","279","0","676","357","27227","32464","0","59717"
"2009-09-05","18574","25508","0","0","60","15563","50444","7818","279","0","677","358","27216","32463","0","59705"
"2009-09-12","18576","25512","0","0","61","15575","50462","7820","278","0","677","358","27233","32465","0","59724"
"2009-09-19","18564","25503","0","0","63","15608","50474","7819","278","0","679","359","27240","32472","0","59738"
"2009-09-26","18566","25502","0","0","64","15623","50487","7821","277","0","683","360","27249","32480","0","59755"
"2009-10-03","18562","25499","0","0","65","15635","50490","7822","279","0","683","360","27250","32485","0","59761"
"2009-10-10","18579","25503","0","0","68","15647","50513","7830","278","0","686","362","27263","32508","0","59797"
"2009-10-17","18571","25497","0","0","68","15651","50497","7833","279","0","687","363","27258","32503","0","59787"
"2009-10-24","18567","25495","0","0","68","15647","50490","7831","278","0","687","363","27253","32498","0","59777"
"2009-10-31","18563","25487","0","0","68","15646","50482","7827","278","0","686","362","27245","32493","0","59764"
"2009-11-03","18561","25488","0","0","68","15645","50481","7827","277","0","686","362","27243","32493","0","59762"
"2009-11-21","18572","25527","0","0","73","15720","50593","7835","281","0","693","366","27300","32566","0","59892"
"2009-11-28","18556","25516","0","0","74","15722","50571","7832","281","0","697","367","27290","32552","0","59868"
"2009-12-05","18539","25507","0","0","74","15730","50554","7831","281","0","697","367","27282","32542","0","59850"
"2009-12-12","18521","25489","0","0","75","15726","50518","7827","281","0","699","369","27262","32523","0","59811"
"2009-12-19","18502","25483","0","0","77","15716","50491","7821","281","0","702","371","27245","32507","0","59778"
"2009-12-26","18495","25476","0","0","77","15712","50475","7820","281","0","701","371","27235","32499","0","59760"
"2010-01-02","18510","25492","0","0","77","15737","50521","7827","281","0","702","372","27264","32526","0","59816"
"2010-01-09","18501","25479","0","0","77","15741","50505","7825","281","0","702","373","27255","32517","0","59798"
"2010-01-16","18483","25486","0","0","78","15754","50512","7822","280","0","700","374","27246","32529","0","59801"
"2010-01-23","18480","25489","0","0","79","15773","50527","7826","279","0","701","375","27258","32537","0","59821"
"2010-01-30","18478","25481","0","0","81","15801","50544","7826","281","0","702","376","27277","32538","0","59841"
"2010-02-06","18473","25482","0","0","81","15811","50554","7823","281","0","702","377","27277","32544","0","59847"
"2010-02-13","18468","25494","0","0","81","15835","50580","7825","281","0","702","378","27287","32565","0","59878"
"2010-02-20","18470","25500","0","0","81","15850","50603","7824","281","0","702","378","27295","32580","0","59901"
"2010-02-27","18465","25490","0","0","83","15861","50598","7827","281","0","702","378","27298","32575","0","59899"
"2010-03-06","18470","25495","0","0","82","15889","50632","7828","281","0","704","379","27323","32587","0","59936"
"2010-03-13","18474","25524","0","0","86","15934","50704","7837","279","0","706","382","27363","32628","0","60018"
"2010-03-20","18463","25520","0","0","88","15943","50694","7842","279","0","705","382","27354","32633","0","60014"
"2010-03-27","18471","25521","0","0","89","15952","50712","7844","279","0","705","383","27364","32642","0","60033"
"2010-04-03","18482","25545","0","0","87","15987","50771","7848","279","0","706","385","27402","32672","0","60101"
"2010-04-10","18480","25550","0","0","87","16004","50789","7848","281","0","706","385","27411","32683","0","60121"
"2010-04-17","18473","25545","0","0","88","16025","50799","7846","281","0","707","387","27417","32687","0","60131"
"2010-04-24","18468","25545","0","0","88","16021","50791","7845","281","0","707","387","27413","32682","0","60122"
"2010-05-01","18458","25532","0","0","88","16015","50765","7842","281","0","707","387","27396","32670","0","60093"
"2010-05-04","18449","25523","0","0","88","16009","50745","7839","281","0","707","387","27386","32656","0","60069"
"2010-05-08","18449","25523","0","0","88","16009","50745","7839","281","0","707","387","27386","32656","0","60069"
"2010-05-15","18445","25518","0","0","88","16001","50730","7838","281","0","706","387","27378","32647","0","60052"
"2010-05-22","18420","25491","0","0","88","15986","50676","7829","280","0","703","387","27341","32618","0","59985"
"2010-05-29","18414","25477","0","0","88","15981","50652","7829","280","0","702","387","27329","32605","0","59960"
"2010-06-05","18407","25466","0","0","88","15977","50634","7826","280","0","702","387","27315","32597","0","59938"
"2010-06-12","18405","25463","0","0","88","15977","50631","7824","280","0","702","387","27313","32594","0","59933"
"2010-06-19","18387","25446","0","0","88","15969","50597","7815","280","0","702","387","27294","32570","0","59890"
"2010-06-22","18386","25446","0","0","88","15968","50595","7815","280","0","702","387","27294","32568","0","59888"
"2010-06-26","18385","25446","0","0","88","15967","50593","7815","280","0","702","387","27292","32568","0","59886"
"2010-07-03","18466","25601","0","0","97","16211","51015","7861","279","0","715","393","27509","32840","0","60375"
"2010-07-10","18453","25603","0","0","97","16220","51010","7860","280","0","718","395","27507","32840","0","60373"
"2010-07-17","18439","25588","0","0","98","16227","50993","7857","280","0","717","394","27500","32826","0","60352"
"2010-07-24","18443","25591","0","0","98","16257","51015","7868","282","0","721","393","27522","32841","0","60389"
"2010-07-31","18438","25591","0","0","101","16291","51033","7876","283","0","725","396","27545","32850","0","60421"
"2010-08-07","18431","25596","0","0","100","16314","51056","7873","283","0","725","396","27555","32860","0","60441"
"2010-08-14","18421","25587","0","0","100","16313","51040","7869","283","0","726","396","27549","32846","0","60421"
"2010-08-21","18425","25610","0","0","102","16348","51098","7873","285","0","729","397","27579","32880","0","60485"
"2010-08-28","18410","25592","0","0","104","16340","51061","7871","285","0","730","397","27556","32864","0","60446"
"2010-08-31","18408","25596","0","0","105","16342","51062","7873","284","0","732","399","27562","32863","0","60451"
"2010-09-04","18409","25601","0","0","105","16353","51076","7876","284","0","732","399","27567","32873","0","60468"
"2010-09-11","18408","25608","0","0","106","16353","51081","7876","286","0","732","398","27576","32871","0","60475"
"2010-09-18","18409","25621","0","0","106","16370","51108","7875","287","0","735","399","27592","32886","0","60506"
"2010-09-25","18388","25559","0","0","110","16386","51042","7869","288","0","739","402","27566","32849","0","60443"
"2010-10-02","18390","25566","0","0","112","16410","51069","7874","287","0","743","403","27585","32864","0","60478"
"2010-10-09","18373","25600","0","0","114","16443","51117","7871","287","0","747","404","27615","32886","0","60530"
"2010-10-16","18373","25598","0","0","115","16470","51139","7873","286","0","748","406","27628","32899","0","60556"
"2010-10-23","18367","25599","0","0","115","16476","51139","7873","287","0","748","406","27624","32904","0","60557"
"2010-10-30","18365","25616","0","0","116","16472","51152","7868","287","0","749","407","27631","32909","0","60569"
"2010-11-02","18370","25630","0","0","116","16481","51176","7870","287","0","749","408","27642","32926","0","60597"
"2010-11-06","18370","25629","0","0","116","16480","51174","7870","287","0","749","408","27640","32926","0","60595"
"2010-11-13","18370","25629","0","0","116","16482","51176","7870","287","0","749","408","27642","32926","0","60597"
"2010-11-20","18407","25724","0","0","115","16582","51354","7909","288","0","757","409","27768","33027","0","60828"
"2010-11-27","18409","25747","0","0","116","16611","51402","7912","288","0","758","412","27798","33052","0","60883"
"2010-12-04","18405","25753","0","0","116","16618","51413","7912","288","0","755","412","27795","33064","0","60892"
"2010-12-11","18402","25751","0","0","116","16624","51417","7909","288","0","755","412","27790","33070","0","60893"
"2010-12-18","18386","25752","0","0","117","16630","51408","7908","287","0","756","413","27787","33065","0","60885"
"2010-12-25","18373","25737","0","0","117","16627","51384","7901","287","0","756","413","27776","33045","0","60854"
"2011-01-01","18372","25737","0","0","117","16626","51383","7900","287","0","756","413","27775","33044","0","60852"
"2011-01-08","18113","25490","0","0","119","16437","50825","7782","284","0","746","408","27440","32686","0","60159"
"2011-01-15","18098","25475","0","0","120","16444","50806","7779","284","0","746","408","27426","32678","0","60137"
"2011-01-22","18095","25485","0","0","120","16460","50811","7791","283","0","749","409","27444","32683","0","60160"
