"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","30486","19107","0","0","45","5740","38182","16360","152","0","642","28","24601","30764","0","0","0","0","55378"
"2004-05-01","30551","19359","0","0","41","5876","38373","16589","157","0","656","44","24853","30958","0","0","0","0","55827"
"2005-01-01","32931","20810","0","0","65","6527","40254","18942","192","0","691","146","26910","33343","0","0","0","0","60333"
"2006-01-01","31135","19677","0","0","0","6235","37894","18041","189","0","652","174","25429","31539","0","0","0","0","57047"
"2006-04-01","31323","19657","0","0","0","6408","38052","18216","191","0","657","183","25612","31699","0","0","0","0","57388"
"2007-06-02","31493","19706","0","0","0","7007","38213","18830","200","0","661","222","25995","32135","0","0","0","0","58206"
"2007-09-29","31593","19817","0","0","0","7214","38436","19026","199","0","648","240","26154","32394","0","0","0","0","58624"
"2008-01-05","31924","19938","0","0","0","7381","38698","19352","202","0","658","254","26440","32722","0","0","0","0","59243"
"2008-03-01","32164","20044","0","0","0","7548","38934","19600","202","0","668","267","26682","32991","0","0","0","0","59756"
"2008-08-30","33880","20029","0","0","9","8218","39678","20996","220","0","720","329","27822","34205","0","0","0","0","62136"
"2008-10-04","34533","20188","0","0","13","8379","39987","21584","226","0","736","342","28323","34677","0","0","0","0","63113"
"2008-10-11","35073","20263","0","0","18","8470","40164","22039","228","0","740","352","28684","35023","0","0","0","0","63824"
"2008-10-18","35586","20363","0","0","22","8563","40354","22453","233","0","747","360","29023","35371","0","0","0","0","64534"
"2008-10-25","35672","20358","0","0","24","8563","40364","22512","233","0","747","363","29041","35431","0","0","0","0","64617"
"2008-11-04","35751","20413","0","0","25","8563","40454","22553","234","0","743","364","29119","35487","0","0","0","0","64752"
"2008-11-29","36615","20542","0","0","30","8732","40785","23294","241","0","760","378","29665","36053","0","0","0","0","65919"
"2008-12-27","36545","20525","0","0","32","8746","40739","23267","239","0","765","380","29605","36044","0","0","0","0","65848"
"2009-01-03","36438","20492","0","0","32","8727","40693","23161","237","0","761","381","29522","35969","0","0","0","0","65689"
"2009-02-07","36259","20394","0","0","34","8715","40513","23067","232","0","758","380","29397","35809","0","0","0","0","65402"
"2009-02-14","36270","20404","0","0","36","8726","40532","23081","231","0","759","381","29413","35827","0","0","0","0","65436"
"2009-02-21","36273","20406","0","0","36","8734","40541","23084","231","0","761","382","29422","35831","0","0","0","0","65449"
"2009-02-28","36283","20412","0","0","36","8742","40564","23084","231","0","762","384","29428","35850","0","0","0","0","65473"
"2009-03-07","36230","20395","0","0","36","8734","40516","23057","231","0","762","384","29384","35816","0","0","0","0","65395"
"2009-03-14","36318","20416","0","0","36","8790","40563","23145","232","0","768","394","29459","35897","0","0","0","0","65560"
"2009-03-21","36328","20412","0","0","36","8794","40594","23205","233","0","784","395","29475","35919","0","0","0","0","65570"
"2009-03-28","36317","20406","0","0","37","8802","40577","23210","233","0","787","397","29474","35912","0","0","0","0","65562"
"2009-04-04","36319","20411","0","0","38","8813","40582","23220","235","0","788","398","29483","35921","0","0","0","0","65581"
"2009-04-11","36322","20413","0","0","38","8823","40586","23229","235","0","791","399","29492","35927","0","0","0","0","65596"
"2009-04-18","36326","20406","0","0","38","8829","40578","23241","235","0","793","399","29489","35933","0","0","0","0","65599"
"2009-04-25","36340","20409","0","0","38","8837","40590","23254","235","0","793","399","29503","35944","0","0","0","0","65624"
"2009-05-02","36352","20401","0","0","38","8837","40576","23273","235","0","792","399","29506","35945","0","0","0","0","65628"
"2009-05-09","36335","20384","0","0","38","8837","40551","23265","236","0","790","399","29485","35932","0","0","0","0","65594"
"2009-05-16","36296","20380","0","0","38","8836","40536","23238","236","0","790","398","29475","35898","0","0","0","0","65550"
"2009-05-23","36308","20387","0","0","38","8847","40552","23251","236","0","792","398","29491","35912","0","0","0","0","65580"
"2009-05-30","36317","20393","0","0","38","8849","40559","23256","237","0","793","399","29499","35922","0","0","0","0","65597"
"2009-06-06","36322","20402","0","0","38","8859","40574","23262","237","0","795","401","29507","35938","0","0","0","0","65621"
"2009-06-13","36327","20402","0","0","38","8867","40578","23272","237","0","794","401","29513","35945","0","0","0","0","65634"
"2009-06-20","36310","20384","0","0","38","8883","40555","23275","237","0","792","401","29498","35941","0","0","0","0","65615"
"2009-06-27","36318","20381","0","0","38","8893","40565","23280","237","0","794","401","29501","35953","0","0","0","0","65630"
"2009-07-04","36334","20384","0","0","38","8898","40579","23287","237","0","798","403","29511","35967","0","0","0","0","65654"
"2009-07-11","36347","20387","0","0","38","8905","40586","23303","237","0","799","403","29525","35976","0","0","0","0","65677"
"2009-07-18","36367","20386","0","0","39","8915","40592","23323","239","0","800","407","29533","35998","0","0","0","0","65707"
"2009-07-25","36378","20403","0","0","39","8928","40615","23340","238","0","799","408","29556","36017","0","0","0","0","65748"
"2009-08-02","36345","20404","0","0","39","8936","40597","23336","238","0","798","409","29548","36001","0","0","0","0","65724"
"2009-08-08","36357","20412","0","0","39","8943","40607","23354","238","0","797","411","29558","36018","0","0","0","0","65751"
"2009-08-15","36349","20421","0","0","39","8953","40611","23358","238","0","800","413","29568","36019","0","0","0","0","65762"
"2009-08-22","36346","20417","0","0","39","8960","40614","23355","238","0","800","413","29563","36024","0","0","0","0","65762"
"2009-08-29","36382","20428","0","0","39","8965","40629","23385","238","0","804","417","29591","36047","0","0","0","0","65814"
"2009-09-05","36400","20440","0","0","39","8981","40654","23405","238","0","804","417","29618","36067","0","0","0","0","65860"
"2009-09-12","36401","20441","0","0","40","8991","40663","23408","237","0","806","419","29629","36070","0","0","0","0","65873"
"2009-09-19","36355","20427","0","0","41","8996","40617","23394","237","0","809","420","29604","36041","0","0","0","0","65819"
"2009-09-26","36336","20426","0","0","41","9002","40617","23381","237","0","810","420","29597","36034","0","0","0","0","65805"
"2009-10-03","36331","20426","0","0","41","9003","40618","23377","237","0","810","420","29595","36033","0","0","0","0","65801"
"2009-10-10","36342","20433","0","0","41","9003","40628","23383","237","0","812","420","29605","36042","0","0","0","0","65819"
"2009-10-17","36353","20435","0","0","41","9035","40643","23410","238","0","811","420","29614","36079","0","0","0","0","65864"
"2009-10-24","36357","20435","0","0","41","9048","40647","23419","238","0","813","421","29621","36089","0","0","0","0","65881"
"2009-10-31","36367","20442","0","0","41","9055","40662","23428","238","0","813","421","29637","36097","0","0","0","0","65905"
"2009-11-03","36375","20445","0","0","42","9060","40669","23436","239","0","814","421","29646","36105","0","0","0","0","65922"
"2009-11-21","36380","20442","0","0","43","9088","40677","23455","241","0","816","426","29665","36119","0","0","0","0","65953"
"2009-11-28","36389","20437","0","0","43","9106","40682","23472","241","0","816","428","29684","36122","0","0","0","0","65975"
"2009-12-05","36389","20423","0","0","44","9114","40673","23475","242","0","816","430","29689","36113","0","0","0","0","65970"
"2009-12-12","36392","20418","0","0","44","9114","40658","23489","242","0","816","430","29684","36118","0","0","0","0","65968"
"2009-12-19","36392","20413","0","0","44","9114","40650","23492","241","0","817","430","29682","36115","0","0","0","0","65963"
"2009-12-26","36383","20409","0","0","44","9127","40660","23480","242","0","817","431","29678","36119","0","0","0","0","65963"
"2010-01-02","36392","20410","0","0","45","9131","40662","23492","241","0","817","431","29685","36127","0","0","0","0","65978"
"2010-01-09","36412","20412","0","0","45","9141","40669","23513","241","0","819","434","29700","36144","0","0","0","0","66010"
"2010-01-16","36430","20428","0","0","45","9149","40681","23543","239","0","821","437","29713","36173","0","0","0","0","66052"
"2010-01-23","36441","20426","0","0","45","9150","40685","23549","239","0","821","437","29716","36180","0","0","0","0","66062"
"2010-01-30","36464","20429","0","0","46","9177","40701","23583","239","0","822","439","29747","36203","0","0","0","0","66116"
"2010-02-06","36426","20415","0","0","46","9181","40663","23577","239","0","820","438","29724","36178","0","0","0","0","66068"
"2010-02-13","36445","20402","0","0","47","9210","40679","23601","239","0","819","438","29742","36196","0","0","0","0","66104"
"2010-02-20","36457","20395","0","0","49","9233","40693","23615","239","0","821","440","29761","36207","0","0","0","0","66134"
"2010-02-27","36453","20396","0","0","51","9265","40713","23626","239","0","822","441","29776","36223","0","0","0","0","66165"
"2010-03-06","36434","20339","0","0","51","9329","40711","23615","240","0","822","441","29769","36218","0","0","0","0","66153"
"2010-03-13","36465","20332","0","0","53","9359","40733","23644","242","0","826","444","29796","36248","0","0","0","0","66209"
"2010-03-20","36472","20268","0","0","54","9429","40737","23649","242","0","831","442","29807","36250","0","0","0","0","66223"
"2010-03-27","36470","20241","0","0","53","9472","40743","23657","242","0","832","442","29818","36252","0","0","0","0","66236"
"2010-04-03","36481","20171","0","0","53","9573","40768","23676","241","0","833","444","29848","36264","0","0","0","0","66278"
"2010-04-10","36482","20077","0","0","54","9700","40783","23695","241","0","832","444","29866","36281","0","0","0","0","66313"
"2010-04-17","36466","19899","0","0","55","9899","40791","23694","241","0","832","445","29860","36294","0","0","0","0","66319"
"2010-04-24","36398","19884","0","0","55","9897","40747","23657","240","0","830","444","29826","36245","0","0","0","0","66234"
"2010-05-01","36398","19882","0","0","55","9902","40748","23658","240","0","830","444","29828","36247","0","0","0","0","66237"
"2010-05-04","36397","19881","0","0","55","9906","40750","23658","240","0","830","444","29830","36247","0","0","0","0","66239"
"2010-05-08","36397","19880","0","0","55","9907","40750","23658","240","0","830","444","29830","36247","0","0","0","0","66239"
"2010-05-15","36385","19871","0","0","55","9902","40734","23648","240","0","830","444","29819","36233","0","0","0","0","66213"
"2010-05-22","36371","19866","0","0","55","9900","40724","23640","240","0","830","445","29811","36221","0","0","0","0","66192"
"2010-05-29","36367","19864","0","0","55","9898","40721","23636","240","0","830","445","29808","36216","0","0","0","0","66184"
"2010-06-05","36367","19864","0","0","55","9897","40720","23635","240","0","831","445","29808","36215","0","0","0","0","66183"
"2010-06-12","36365","19863","0","0","55","9896","40717","23634","240","0","831","445","29805","36215","0","0","0","0","66179"
"2010-06-19","36362","19863","0","0","55","9895","40716","23631","240","0","831","445","29803","36213","0","0","0","0","66175"
"2010-06-22","36362","19862","0","0","55","9895","40715","23631","240","0","831","445","29803","36212","0","0","0","0","66174"
"2010-06-26","36369","19868","0","0","54","9905","40724","23640","240","0","834","449","29816","36221","0","0","0","0","66196"
"2010-07-03","36536","19947","0","0","56","10025","40903","23807","241","0","850","462","30007","36396","0","0","0","0","66564"
"2010-07-10","36541","19916","0","0","55","10119","40945","23835","243","0","847","461","30040","36431","0","0","0","0","66631"
"2010-07-17","36537","19913","0","0","55","10129","40941","23841","243","0","849","462","30042","36432","0","0","0","0","66634"
"2010-07-24","36518","19907","0","0","56","10127","40921","23835","243","0","849","462","30029","36419","0","0","0","0","66608"
"2010-07-31","36533","19928","0","0","57","10145","40949","23859","245","0","852","464","30052","36452","0","0","0","0","66663"
"2010-08-07","36543","19945","0","0","57","10156","40963","23879","246","0","856","465","30064","36478","0","0","0","0","66701"
"2010-08-14","36526","19944","0","0","57","10178","40965","23884","246","0","853","462","30059","36487","0","0","0","0","66705"
"2010-08-21","36526","19951","0","0","57","10190","40971","23897","246","0","853","462","30069","36496","0","0","0","0","66724"
"2010-08-28","36546","19956","0","0","56","10204","40981","23923","246","0","854","465","30074","36529","0","0","0","0","66762"
"2010-08-31","36540","19950","0","0","56","10205","40970","23924","246","0","853","465","30071","36521","0","0","0","0","66751"
