"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","46192","44557","0","0","547","24485","98954","14822","203","0","1185","91","52566","62645","0","0","0","0","115781"
"2004-05-01","46832","45204","0","0","553","25184","100701","15006","203","0","1195","114","53478","63623","0","0","0","0","117773"
"2005-01-01","50853","50252","0","0","638","29241","111576","16498","213","0","1299","359","58968","70189","0","0","0","0","130984"
"2006-01-01","47987","48327","0","0","0","28767","106887","15475","179","0","1197","393","56264","67121","0","0","0","0","125081"
"2006-04-01","48113","48519","0","0","0","29144","107438","15598","180","0","1215","408","56592","67505","0","0","0","0","125776"
"2007-06-02","48234","48513","0","0","0","30423","108532","15857","168","0","1226","483","57210","68414","0","0","0","0","127170"
"2007-09-29","48682","48887","0","0","0","31175","109879","16031","164","0","1251","506","57942","69275","0","0","0","0","128744"
"2008-01-05","49075","49203","0","0","0","31864","111009","16210","161","0","1276","528","58585","70016","0","0","0","0","130142"
"2008-03-01","49552","49454","0","0","0","32352","111908","16418","163","0","1304","564","59160","70605","0","0","0","0","131358"
"2008-08-30","53144","49487","0","0","33","35567","116511","17876","201","0","1415","720","62332","73909","0","0","0","0","138231"
"2008-10-04","53966","49892","0","0","64","36731","118317","18155","220","0","1447","795","63386","75150","0","0","0","0","140653"
"2008-10-11","54897","50305","0","0","95","37573","119636","18621","232","0","1505","866","64349","76195","0","0","0","0","142870"
"2008-10-18","55796","50681","0","0","143","38514","121080","19000","246","0","1541","946","65387","77268","0","0","0","0","145134"
"2008-10-25","55930","50724","0","0","152","38615","121190","19082","252","0","1556","960","65502","77366","0","0","0","0","145421"
"2008-11-04","56391","50986","0","0","178","38895","121815","19325","262","0","1575","994","65966","77842","0","0","0","0","146450"
"2008-11-29","56468","51080","0","0","182","39026","122068","19358","262","0","1581","998","66107","78001","0","0","0","0","146756"
"2008-12-27","56329","50970","0","0","196","39514","121996","19337","264","0","1580","1016","66124","77979","0","0","0","0","147009"
"2009-01-03","56317","50984","0","0","196","39525","122024","19323","263","0","1582","1016","66136","77980","0","0","0","0","147022"
"2009-02-07","56225","50888","0","0","199","39557","121941","19265","266","0","1583","1022","66069","77912","0","0","0","0","146869"
"2009-02-14","56224","50888","0","0","198","39567","121966","19252","266","0","1583","1021","66070","77920","0","0","0","0","146877"
"2009-02-21","54225","48867","0","0","199","37701","116877","18627","253","0","1477","1012","63331","74829","0","0","0","0","140992"
"2009-02-28","54292","48905","0","0","206","37784","117039","18659","252","0","1481","1013","63440","74917","0","0","0","0","141187"
"2009-03-07","54240","48867","0","0","207","37767","116952","18652","252","0","1482","1009","63408","74851","0","0","0","0","141081"
"2009-03-14","54244","48851","0","0","209","37775","116960","18640","252","0","1483","1010","63409","74852","0","0","0","0","141079"
"2009-03-21","54258","48855","0","0","211","37798","117000","18647","251","0","1486","1010","63427","74882","0","0","0","0","141122"
"2009-03-28","54280","48842","0","0","212","37836","117028","18664","251","0","1487","1012","63441","74918","0","0","0","0","141170"
"2009-04-04","54282","48839","0","0","212","37850","117048","18661","251","0","1486","1012","63458","74917","0","0","0","0","141183"
