"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","11550","1100","0","0","6","1134","6001","7724","14","0","34","1","5876","7910","0","0","0","0","13790"
"2004-05-01","11507","1118","0","0","6","1171","6015","7720","15","0","33","3","5884","7914","0","0","0","0","13802"
"2005-01-01","11759","1195","0","0","8","1290","6148","7988","17","0","36","9","6037","8039","0","0","0","0","14252"
"2006-01-01","11063","1133","0","0","0","1240","5793","7517","15","0","31","10","5707","7546","0","0","0","0","13436"
"2006-04-01","11070","1118","0","0","0","1271","5799","7535","16","0","31","10","5724","7552","0","0","0","0","13459"
"2007-06-02","11093","1159","0","0","0","1381","5892","7576","16","0","31","12","5779","7643","0","0","0","0","13633"
"2007-09-29","11096","1188","0","0","0","1413","5905","7626","16","0","31","17","5806","7676","0","0","0","0","13697"
"2008-01-05","11112","1193","0","0","0","1426","5917","7648","16","0","31","19","5826","7691","0","0","0","0","13731"
"2008-03-01","11238","1229","0","0","0","1465","5973","7775","15","0","34","19","5909","7809","0","0","0","0","13932"
"2008-08-30","11538","1243","0","0","0","1554","6054","8064","18","0","39","18","6066","8028","0","0","0","0","14335"
"2008-10-04","11758","1255","0","0","0","1573","6095","8268","18","0","39","18","6193","8146","0","0","0","0","14586"
"2008-10-11","11839","1262","0","0","0","1581","6113","8343","18","0","40","19","6241","8193","0","0","0","0","14682"
"2008-10-18","12132","1289","0","0","0","1605","6183","8603","19","0","43","19","6421","8350","0","0","0","0","15026"
"2008-10-25","12190","1293","0","0","0","1621","6194","8662","19","0","43","19","6459","8376","0","0","0","0","15104"
"2008-11-04","12315","1319","0","0","1","1631","6228","8781","21","0","42","20","6545","8446","0","0","0","0","15266"
"2008-11-29","12362","1324","0","0","2","1634","6241","8819","21","0","43","21","6578","8468","0","0","0","0","15322"
"2008-12-27","12385","1330","0","0","2","1645","6248","8842","21","0","43","21","6592","8483","0","0","0","0","15362"
"2009-01-03","12385","1330","0","0","2","1645","6248","8842","21","0","43","21","6592","8483","0","0","0","0","15362"
"2009-02-07","11976","1272","0","0","2","1616","6047","8548","21","0","41","22","6405","8167","0","0","0","0","14866"
"2009-02-14","11925","1271","0","0","2","1613","6012","8528","21","0","41","22","6381","8136","0","0","0","0","14811"
"2009-02-21","11868","1268","0","0","2","1611","5982","8495","21","0","41","22","6346","8109","0","0","0","0","14749"
"2009-02-28","11862","1270","0","0","3","1611","5982","8492","21","0","41","22","6346","8106","0","0","0","0","14746"
"2009-03-07","11855","1271","0","0","3","1606","5980","8483","21","0","41","22","6338","8103","0","0","0","0","14735"
"2009-03-14","11851","1271","0","0","3","1607","5981","8480","21","0","40","21","6337","8101","0","0","0","0","14732"
"2009-03-21","11843","1271","0","0","3","1606","5975","8478","21","0","40","21","6335","8095","0","0","0","0","14723"
"2009-03-28","11856","1272","0","0","3","1615","5980","8497","21","0","40","21","6344","8109","0","0","0","0","14746"
"2009-04-04","11855","1273","0","0","3","1614","5980","8496","21","0","40","21","6346","8106","0","0","0","0","14745"
"2009-04-11","11853","1272","0","0","3","1611","5976","8494","21","0","40","21","6345","8101","0","0","0","0","14739"
"2009-04-18","11860","1276","0","0","3","1617","5984","8503","21","0","40","22","6354","8109","0","0","0","0","14756"
"2009-04-25","11861","1277","0","0","3","1620","5987","8504","21","0","40","22","6357","8110","0","0","0","0","14761"
"2009-05-02","11841","1277","0","0","3","1616","5985","8482","21","0","40","22","6347","8097","0","0","0","0","14737"
"2009-05-09","11848","1279","0","0","3","1620","5990","8490","21","0","40","22","6351","8105","0","0","0","0","14750"
"2009-05-16","11844","1279","0","0","3","1620","5989","8487","21","0","40","22","6350","8102","0","0","0","0","14746"
"2009-05-23","11850","1280","0","0","3","1623","5994","8492","21","0","40","22","6353","8108","0","0","0","0","14756"
"2009-05-30","11849","1277","0","0","3","1623","5993","8489","21","0","40","22","6353","8104","0","0","0","0","14752"
"2009-06-06","11837","1278","0","0","3","1625","5991","8482","21","0","40","22","6348","8100","0","0","0","0","14743"
"2009-06-13","11844","1278","0","0","3","1635","5995","8492","22","0","40","22","6349","8115","0","0","0","0","14760"
"2009-06-20","11843","1278","0","0","3","1636","5994","8493","22","0","40","22","6349","8115","0","0","0","0","14760"
"2009-06-27","11796","1270","0","0","3","1633","5981","8449","22","0","39","22","6323","8083","0","0","0","0","14702"
"2009-07-04","11769","1268","0","0","4","1629","5969","8429","22","0","39","22","6307","8068","0","0","0","0","14670"
"2009-07-11","11768","1268","0","0","4","1629","5971","8427","22","0","39","22","6307","8068","0","0","0","0","14669"
"2009-07-18","11766","1268","0","0","4","1628","5970","8425","22","0","39","22","6307","8065","0","0","0","0","14666"
"2009-07-25","11758","1269","0","0","4","1626","5970","8416","22","0","39","22","6303","8060","0","0","0","0","14657"
"2009-08-02","11758","1269","0","0","4","1626","5970","8416","22","0","39","22","6303","8060","0","0","0","0","14657"
"2009-08-08","11752","1269","0","0","4","1626","5968","8412","22","0","39","22","6301","8056","0","0","0","0","14651"
"2009-08-15","11774","1276","0","0","4","1641","5988","8434","22","0","40","22","6322","8080","0","0","0","0","14695"
"2009-08-22","11767","1275","0","0","4","1642","5985","8430","22","0","40","22","6319","8076","0","0","0","0","14688"
"2009-08-29","11694","1270","0","0","4","1641","5964","8372","22","0","40","22","6274","8043","0","0","0","0","14609"
"2009-09-05","11689","1274","0","0","4","1643","5965","8372","22","0","40","22","6278","8041","0","0","0","0","14610"
"2009-09-12","11679","1275","0","0","4","1642","5962","8365","22","0","40","22","6273","8036","0","0","0","0","14600"
"2009-09-19","11682","1279","0","0","4","1647","5967","8371","22","0","39","21","6279","8042","0","0","0","0","14612"
"2009-09-26","11681","1279","0","0","4","1646","5967","8369","22","0","39","21","6279","8040","0","0","0","0","14610"
"2009-10-03","11680","1281","0","0","4","1648","5969","8371","22","0","39","21","6281","8043","0","0","0","0","14613"
"2009-10-10","11674","1282","0","0","4","1646","5966","8367","22","0","39","21","6280","8037","0","0","0","0","14606"
"2009-10-17","11671","1279","0","0","4","1651","5966","8366","22","0","39","20","6282","8036","0","0","0","0","14605"
"2009-10-24","11662","1277","0","0","4","1650","5964","8356","22","0","39","20","6279","8029","0","0","0","0","14593"
"2009-10-31","11647","1275","0","0","4","1648","5958","8344","22","0","39","20","6270","8019","0","0","0","0","14574"
"2009-11-03","11647","1275","0","0","4","1648","5958","8344","22","0","39","20","6270","8019","0","0","0","0","14574"
"2009-11-21","11647","1275","0","0","4","1648","5957","8344","22","0","39","20","6270","8016","0","0","0","0","14574"
"2009-11-28","11652","1276","0","0","4","1650","5961","8348","22","0","39","20","6275","8019","0","0","0","0","14582"
"2009-12-05","11647","1277","0","0","4","1650","5961","8344","22","0","39","20","6273","8018","0","0","0","0","14578"
"2009-12-12","11639","1275","0","0","4","1652","5959","8339","22","0","39","20","6268","8016","0","0","0","0","14570"
"2009-12-19","11636","1276","0","0","4","1665","5960","8350","22","0","39","20","6269","8028","0","0","0","0","14581"
