"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","21442","38654","0","0","92","12238","67808","3752","147","0","532","106","33157","39233","0","72426"
"2004-05-01","21620","39056","0","0","102","12700","68736","3818","150","0","562","133","33678","39755","0","73478"
"2005-01-01","22561","42238","0","0","138","14045","73507","4206","195","0","607","251","36176","42636","0","78982"
"2006-01-01","21539","41688","0","0","0","14429","72269","4030","196","0","624","308","35601","41872","0","77656"
"2006-04-01","21523","41782","0","0","0","14643","72505","4063","199","0","639","327","35731","42036","0","77948"
"2007-06-02","21804","42646","0","0","0","15994","74651","4243","204","0","732","471","36974","43278","0","80444"
"2007-09-29","21156","41878","0","0","0","15843","73159","4160","196","0","719","511","36213","42474","0","78877"
"2008-01-05","21277","42110","0","0","0","16171","73718","4222","196","0","745","549","36514","42852","0","79558"
"2008-03-01","21373","42213","0","0","0","16437","74107","4263","197","0","761","579","36757","43077","0","80023"
"2008-08-30","22418","42360","0","0","11","17881","76149","4642","222","0","818","700","38007","44453","0","82670"
"2008-10-04","22667","42760","0","0","21","18178","76885","4734","231","0","836","761","38437","44963","0","83626"
"2008-10-11","22851","42940","0","0","23","18392","77307","4804","236","0","850","795","38718","45254","0","84206"
"2008-10-18","23146","43208","0","0","39","18629","77907","4922","242","0","857","815","39116","45654","0","85022"
"2008-10-25","23174","43219","0","0","39","18656","77948","4931","242","0","857","819","39158","45675","0","85088"
"2008-11-04","23341","43515","0","0","47","18800","78437","5010","248","0","865","838","39477","45971","0","85703"
"2008-11-29","23383","43558","0","0","51","18850","78551","5024","248","0","872","845","39550","46039","0","85842"
"2008-12-27","23432","43659","0","0","57","18968","78781","5040","247","0","877","868","39692","46165","0","86116"
"2009-01-03","23427","43646","0","0","57","18971","78765","5038","248","0","878","873","39671","46171","0","86101"
"2009-02-07","23383","43562","0","0","63","19000","78691","5013","247","0","884","882","39624","46125","0","86008"
"2009-02-14","23348","43526","0","0","63","18983","78618","5000","247","0","884","883","39585","46077","0","85920"
