"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","13039","3327","0","0","19","2965","11358","6987","838","0","136","22","8188","11092","0","19350"
"2004-05-01","13123","3347","0","0","19","3030","11426","7063","852","0","137","27","8243","11200","0","19519"
"2005-01-01","13623","3777","0","0","25","3416","12047","7498","958","0","158","79","8833","11877","0","20841"
"2006-01-01","13263","3786","0","0","2","3453","11809","7395","954","0","167","83","8700","11665","0","20504"
"2006-04-01","13300","3796","0","0","0","3547","11867","7445","974","0","171","85","8761","11743","0","20643"
"2007-06-02","13111","3686","0","0","0","3711","11718","7431","966","0","165","85","8697","11666","0","20508"
"2007-09-29","13157","3698","0","0","0","3788","11769","7499","968","0","164","87","8756","11740","0","20643"
"2008-01-05","13145","3714","0","0","0","3830","11806","7495","977","0","162","89","8783","11760","0","20689"
"2008-03-01","13223","3741","0","0","0","3916","11875","7580","995","0","163","91","8864","11867","0","20880"
"2008-08-30","13861","3807","0","0","0","4179","12223","7993","1070","0","170","104","9251","12404","0","21847"
"2008-10-04","14161","3878","0","0","2","4273","12373","8225","1091","0","176","106","9476","12634","0","22314"
"2008-10-11","14349","3917","0","0","3","4331","12448","8396","1088","0","182","107","9632","12759","0","22600"
"2008-10-18","14432","3923","0","0","3","4352","12466","8460","1092","0","184","110","9692","12803","0","22710"
"2008-10-25","14524","3927","0","0","3","4370","12486","8503","1104","0","184","110","9717","12844","0","22824"
"2008-11-04","14698","3983","0","0","3","4395","12567","8654","1127","0","186","110","9857","12960","0","23079"
"2008-11-29","14668","3975","0","0","3","4387","12553","8627","1124","0","185","110","9833","12939","0","23033"
"2008-12-27","14775","4020","0","0","6","4433","12626","8703","1138","0","187","111","9930","13022","0","23234"
"2009-01-03","14774","4022","0","0","6","4432","12626","8704","1137","0","187","111","9930","13022","0","23234"
"2009-02-07","14232","3774","0","0","6","4214","12000","8393","1086","0","173","108","9488","12468","0","22226"
"2009-02-14","14212","3767","0","0","6","4207","11972","8385","1087","0","173","108","9475","12447","0","22192"
"2009-02-21","14137","3742","0","0","6","4179","11921","8321","1078","0","171","108","9413","12384","0","22064"
"2009-02-28","14089","3734","0","0","6","4170","11889","8288","1079","0","170","107","9377","12357","0","21999"
"2009-03-07","14074","3732","0","0","6","4172","11877","8284","1079","0","170","107","9367","12351","0","21984"
"2009-03-14","14075","3731","0","0","6","4171","11875","8285","1079","0","170","107","9366","12351","0","21983"
"2009-03-21","14072","3734","0","0","6","4171","11877","8282","1079","0","170","107","9364","12353","0","21983"
"2009-03-28","14074","3735","0","0","6","4174","11880","8283","1080","0","170","107","9367","12355","0","21989"
"2009-04-04","14051","3736","0","0","6","4171","11873","8265","1080","0","170","107","9351","12346","0","21964"
"2009-04-11","14048","3737","0","0","6","4170","11867","8263","1085","0","170","107","9347","12347","0","21961"
"2009-04-18","14044","3736","0","0","6","4171","11868","8261","1083","0","169","107","9348","12342","0","21957"
