"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","10500","13310","0","0","31","3472","25833","1200","34","0","194","20","12768","14533","0","0","0","0","27313"
"2004-05-01","10525","13388","0","0","31","3552","26000","1212","35","0","195","22","12847","14635","0","0","0","0","27496"
"2005-01-01","10726","14283","0","0","43","3984","27406","1286","36","0","203","45","13552","15466","0","0","0","0","29036"
"2006-01-01","10287","13979","0","0","0","4044","26766","1231","36","0","183","49","13288","15005","0","0","0","0","28310"
"2006-04-01","10251","14022","0","0","0","4122","26847","1230","36","0","181","49","13322","15055","0","0","0","0","28395"
"2007-06-02","10015","13829","0","0","0","4332","26616","1211","34","0","177","59","13238","14919","0","0","0","0","28176"
"2007-09-29","10019","13874","0","0","0","4440","26767","1214","34","0","176","66","13290","15024","0","0","0","0","28333"
"2008-01-05","10016","13869","0","0","0","4516","26824","1217","37","0","172","73","13294","15088","0","0","0","0","28401"
"2008-03-01","10080","13943","0","0","0","4622","27036","1231","39","0","174","83","13373","15252","0","0","0","0","28645"
"2008-08-30","10343","13995","0","0","3","5055","27679","1307","39","0","181","92","13656","15719","0","0","0","0","29396"
"2008-10-04","10411","14206","0","0","7","5204","28056","1333","42","0","183","98","13882","15926","0","0","0","0","29828"
"2008-10-11","10474","14252","0","0","10","5250","28186","1341","45","0","184","100","13952","16014","0","0","0","0","29986"
"2008-10-18","10519","14301","0","0","11","5304","28304","1353","45","0","187","104","14021","16093","0","0","0","0","30135"
"2008-10-25","10626","14435","0","0","15","5407","28589","1388","47","0","186","107","14186","16275","0","0","0","0","30483"
"2008-11-04","10717","14491","0","0","19","5446","28739","1422","47","0","189","112","14272","16378","0","0","0","0","30673"
"2008-11-29","10769","14595","0","0","22","5481","28903","1439","51","0","192","116","14367","16476","0","0","0","0","30867"
"2008-12-27","10736","14569","0","0","25","5492","28870","1432","51","0","190","118","14338","16459","0","0","0","0","30822"
"2009-01-03","10705","14535","0","0","25","5470","28800","1415","51","0","189","119","14282","16429","0","0","0","0","30735"
"2009-02-07","10712","14534","0","0","28","5499","28839","1414","51","0","188","119","14298","16451","0","0","0","0","30773"
"2009-02-14","10708","14532","0","0","28","5499","28833","1414","51","0","188","119","14295","16448","0","0","0","0","30767"
"2009-02-21","10699","14529","0","0","28","5517","28841","1413","51","0","188","119","14299","16450","0","0","0","0","30773"
"2009-02-28","10703","14528","0","0","28","5515","28843","1412","51","0","188","120","14302","16448","0","0","0","0","30774"
"2009-03-07","10705","14535","0","0","28","5511","28848","1412","51","0","188","120","14303","16452","0","0","0","0","30779"
"2009-03-14","10482","14309","0","0","28","5376","28307","1388","47","0","175","117","14052","16120","0","0","0","0","30195"
"2009-03-21","10455","14273","0","0","30","5352","28227","1388","46","0","173","117","14015","16072","0","0","0","0","30110"
"2009-03-28","10429","14237","0","0","30","5346","28167","1382","46","0","172","117","13994","16025","0","0","0","0","30042"
"2009-04-04","10420","14230","0","0","30","5350","28152","1383","46","0","172","118","13994","16013","0","0","0","0","30030"
"2009-04-11","10424","14230","0","0","31","5360","28164","1386","46","0","172","118","14006","16016","0","0","0","0","30045"
"2009-04-18","10419","14227","0","0","32","5364","28161","1387","45","0","172","118","14004","16015","0","0","0","0","30042"
"2009-04-25","10421","14229","0","0","32","5373","28175","1386","45","0","172","118","14011","16021","0","0","0","0","30055"
"2009-05-02","10423","14223","0","0","31","5384","28182","1385","45","0","172","118","14016","16022","0","0","0","0","30061"
"2009-05-09","10419","14222","0","0","31","5388","28182","1384","45","0","173","119","14015","16022","0","0","0","0","30060"
"2009-05-16","10426","14224","0","0","31","5399","28199","1383","45","0","174","122","14023","16034","0","0","0","0","30080"
"2009-05-23","10420","14227","0","0","31","5417","28213","1383","45","0","175","124","14017","16055","0","0","0","0","30095"
"2009-05-30","10409","14227","0","0","32","5418","28206","1381","45","0","175","124","14011","16052","0","0","0","0","30086"
"2009-06-06","10410","14228","0","0","32","5425","28215","1382","45","0","174","124","14017","16055","0","0","0","0","30095"
"2009-06-13","10405","14221","0","0","34","5431","28209","1383","46","0","174","124","14014","16054","0","0","0","0","30091"
"2009-06-20","10398","14220","0","0","34","5433","28205","1380","47","0","174","124","14013","16049","0","0","0","0","30085"
"2009-06-27","10395","14218","0","0","34","5438","28206","1379","47","0","174","124","14015","16047","0","0","0","0","30085"
"2009-07-04","10388","14218","0","0","34","5437","28199","1378","47","0","174","124","14014","16040","0","0","0","0","30077"
"2009-07-11","10385","14221","0","0","34","5443","28206","1378","47","0","174","124","14016","16044","0","0","0","0","30083"
"2009-07-18","10377","14219","0","0","34","5446","28197","1379","47","0","175","125","14016","16037","0","0","0","0","30076"
"2009-07-25","10383","14222","0","0","34","5445","28204","1380","47","0","175","124","14017","16044","0","0","0","0","30084"
"2009-08-02","10376","14237","0","0","36","5445","28216","1379","47","0","175","124","14020","16051","0","0","0","0","30094"
"2009-08-08","10375","14242","0","0","37","5451","28226","1378","48","0","175","124","14022","16060","0","0","0","0","30105"
"2009-08-15","10362","14221","0","0","39","5458","28203","1376","48","0","175","124","14017","16040","0","0","0","0","30080"
"2009-08-22","10361","14223","0","0","39","5460","28204","1378","48","0","175","124","14017","16043","0","0","0","0","30083"
"2009-08-29","10375","14227","0","0","39","5467","28225","1382","48","0","175","125","14034","16051","0","0","0","0","30108"
"2009-09-05","10374","14229","0","0","39","5468","28227","1382","48","0","175","125","14038","16049","0","0","0","0","30110"
"2009-09-12","10378","14232","0","0","40","5479","28245","1382","49","0","175","125","14045","16061","0","0","0","0","30129"
"2009-09-19","10367","14224","0","0","41","5488","28241","1379","49","0","175","124","14039","16058","0","0","0","0","30120"
"2009-09-26","10368","14219","0","0","41","5490","28241","1378","49","0","176","124","14040","16055","0","0","0","0","30118"
"2009-10-03","10361","14225","0","0","41","5500","28251","1376","49","0","176","125","14046","16058","0","0","0","0","30127"
"2009-10-10","10367","14227","0","0","41","5501","28260","1377","49","0","176","124","14048","16065","0","0","0","0","30136"
"2009-10-17","10353","14220","0","0","41","5507","28246","1375","49","0","177","124","14045","16053","0","0","0","0","30121"
"2009-10-24","10356","14227","0","0","41","5501","28250","1373","49","0","179","125","14044","16058","0","0","0","0","30125"
"2009-10-31","10356","14223","0","0","41","5504","28249","1373","49","0","179","125","14043","16058","0","0","0","0","30124"
"2009-11-03","10353","14223","0","0","41","5506","28248","1373","49","0","179","125","14043","16057","0","0","0","0","30123"
"2009-11-21","10331","14229","0","0","41","5506","28229","1371","49","0","180","127","14037","16047","0","0","0","0","30107"
"2009-11-28","10325","14236","0","0","41","5507","28231","1371","49","0","180","127","14037","16049","0","0","0","0","30109"
"2009-12-05","10327","14225","0","0","41","5504","28220","1371","49","0","179","128","14035","16039","0","0","0","0","30097"
"2009-12-12","10305","14217","0","0","40","5508","28194","1371","49","0","179","128","14023","16025","0","0","0","0","30070"
"2009-12-19","10293","14208","0","0","40","5510","28178","1369","49","0","179","127","14019","16010","0","0","0","0","30051"
"2009-12-26","10269","14197","0","0","40","5511","28145","1367","49","0","179","128","13999","15996","0","0","0","0","30017"
"2010-01-02","10266","14203","0","0","40","5516","28152","1368","49","0","179","128","14002","16001","0","0","0","0","30025"
"2010-01-09","10258","14203","0","0","41","5526","28155","1367","49","0","179","128","14008","15998","0","0","0","0","30028"
"2010-01-16","10241","14193","0","0","41","5532","28134","1366","49","0","179","128","13997","15988","0","0","0","0","30007"
"2010-01-23","10220","14189","0","0","41","5534","28110","1364","50","0","181","128","13990","15972","0","0","0","0","29984"
"2010-01-30","10208","14193","0","0","41","5539","28109","1362","50","0","181","128","13992","15967","0","0","0","0","29981"
"2010-02-06","10205","14201","0","0","41","5546","28122","1362","50","0","181","127","13991","15980","0","0","0","0","29993"
"2010-02-13","10203","14193","0","0","41","5549","28116","1361","50","0","181","127","13985","15979","0","0","0","0","29986"
"2010-02-20","10191","14187","0","0","42","5557","28109","1359","50","0","181","127","13978","15977","0","0","0","0","29977"
"2010-02-27","10188","14194","0","0","43","5573","28128","1361","50","0","181","127","13991","15985","0","0","0","0","29998"
"2010-03-06","10180","14202","0","0","43","5584","28139","1362","50","0","181","126","13997","15990","0","0","0","0","30009"
"2010-03-13","10168","14201","0","0","43","5586","28129","1361","50","0","181","126","13990","15986","0","0","0","0","29998"
"2010-03-20","10164","14220","0","0","44","5637","28194","1363","50","0","181","126","14030","16013","0","0","0","0","30065"
"2010-03-27","10133","14244","0","0","44","5676","28227","1362","50","0","180","127","14038","16037","0","0","0","0","30097"
"2010-04-03","10124","14248","0","0","44","5695","28241","1362","50","0","180","127","14048","16041","0","0","0","0","30111"
"2010-04-10","10046","14281","0","0","44","5773","28272","1363","50","0","180","127","14068","16054","0","0","0","0","30144"
"2010-04-17","10034","14289","0","0","44","5791","28283","1366","50","0","179","127","14078","16058","0","0","0","0","30158"
"2010-04-24","10022","14293","0","0","44","5790","28275","1365","50","0","179","127","14071","16056","0","0","0","0","30149"
"2010-05-01","10020","14293","0","0","44","5791","28276","1364","50","0","179","127","14068","16058","0","0","0","0","30148"
"2010-05-04","10022","14292","0","0","44","5797","28283","1364","50","0","179","127","14072","16061","0","0","0","0","30155"
"2010-05-08","10021","14292","0","0","44","5797","28282","1364","50","0","179","127","14072","16060","0","0","0","0","30154"
"2010-05-15","10015","14290","0","0","44","5796","28273","1363","50","0","179","127","14070","16053","0","0","0","0","30145"
"2010-05-22","10009","14284","0","0","44","5795","28261","1362","50","0","179","127","14063","16047","0","0","0","0","30132"
"2010-05-29","10008","14282","0","0","44","5795","28260","1361","50","0","179","127","14061","16046","0","0","0","0","30129"
"2010-06-05","10008","14282","0","0","44","5795","28261","1360","50","0","179","127","14061","16046","0","0","0","0","30129"
"2010-06-12","9997","14273","0","0","44","5792","28242","1356","50","0","179","127","14051","16033","0","0","0","0","30106"
"2010-06-19","9997","14272","0","0","44","5791","28241","1356","50","0","178","127","14050","16032","0","0","0","0","30104"
"2010-06-22","9997","14271","0","0","44","5791","28240","1356","50","0","178","127","14050","16031","0","0","0","0","30103"
"2010-06-26","9996","14271","0","0","44","5790","28238","1356","50","0","178","127","14050","16029","0","0","0","0","30101"
"2010-07-03","9970","14367","0","0","49","5898","28406","1364","52","0","180","129","14136","16126","0","0","0","0","30284"
"2010-07-10","9957","14353","0","0","50","5887","28370","1364","52","0","180","129","14120","16105","0","0","0","0","30247"
"2010-07-17","9949","14353","0","0","50","5883","28361","1362","52","0","181","130","14117","16096","0","0","0","0","30235"
"2010-07-24","9944","14361","0","0","51","5887","28372","1361","52","0","181","132","14118","16103","0","0","0","0","30243"
