"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","18670","16126","0","0","33","6615","39501","1533","19","0","249","44","19138","22244","0","41444"
"2004-05-01","18675","16198","0","0","34","6719","39651","1551","22","0","250","60","19237","22327","0","41626"
"2005-01-01","18804","17361","0","0","58","7142","41250","1616","27","0","257","95","19986","23308","0","43366"
"2006-01-01","18057","16990","0","0","0","7049","40064","1544","27","0","248","100","19327","22698","0","42096"
"2006-04-01","18023","17044","0","0","0","7215","40241","1547","28","0","247","106","19437","22775","0","42282"
"2007-06-02","18000","17154","0","0","0","7578","40642","1562","29","0","268","136","19630","23022","0","42732"
"2007-09-29","17944","17128","0","0","0","7663","40639","1563","26","0","275","148","19581","23076","0","42735"
"2008-01-05","17947","17166","0","0","0","7789","40773","1576","27","0","282","158","19632","23191","0","42902"
"2008-03-01","17993","17218","0","0","0","7896","40941","1592","27","0","293","171","19677","23349","0","43107"
"2008-08-30","18522","17336","0","0","8","8351","41836","1729","30","0","313","220","20152","23971","0","44217"
"2008-10-04","18671","17607","0","0","12","8565","42354","1805","33","0","323","239","20443","24295","0","44855"
"2008-10-11","18792","17703","0","0","12","8673","42581","1851","35","0","322","247","20596","24459","0","45180"
"2008-10-18","18877","17819","0","0","18","8777","42834","1871","34","0","325","266","20745","24610","0","45491"
"2008-10-25","18890","17820","0","0","18","8783","42846","1867","34","0","330","273","20763","24610","0","45511"
"2008-11-04","19034","17947","0","0","18","8873","43120","1917","39","0","335","280","20928","24794","0","45872"
"2008-11-29","19053","17990","0","0","19","8884","43181","1926","40","0","338","283","20971","24825","0","45946"
"2008-12-27","19078","18012","0","0","21","8928","43269","1930","40","0","340","285","21021","24869","0","46039"
"2009-01-03","19078","18012","0","0","21","8928","43269","1930","40","0","340","285","21021","24869","0","46039"
"2009-02-07","19097","17971","0","0","23","8976","43300","1924","41","0","342","295","21009","24910","0","46067"
"2009-02-14","19087","17960","0","0","23","8975","43281","1920","41","0","343","297","20997","24900","0","46045"
"2009-02-21","19079","17957","0","0","23","8986","43283","1918","41","0","343","297","20994","24903","0","46045"
"2009-02-28","19051","17939","0","0","24","8985","43242","1912","41","0","344","297","20966","24885","0","45999"
"2009-03-07","19049","17943","0","0","24","8983","43238","1912","41","0","346","297","20966","24885","0","45999"
"2009-03-14","19022","17933","0","0","25","8989","43214","1907","41","0","346","298","20948","24873","0","45969"
"2009-03-21","19028","17937","0","0","25","8990","43224","1907","41","0","347","298","20951","24881","0","45980"
"2009-03-28","17965","17019","0","0","27","8246","40659","1801","39","0","309","297","19755","23357","0","43257"
"2009-04-04","17972","17020","0","0","27","8262","40679","1804","39","0","310","298","19774","23362","0","43281"
"2009-04-11","17969","17020","0","0","27","8269","40681","1806","39","0","310","298","19783","23357","0","43285"
"2009-04-18","17966","17012","0","0","27","8266","40668","1806","39","0","309","297","19776","23350","0","43271"
"2009-04-25","17956","17017","0","0","28","8268","40667","1803","39","0","310","298","19768","23356","0","43269"
"2009-05-02","17959","17016","0","0","28","8269","40668","1804","39","0","311","299","19771","23356","0","43272"
"2009-05-09","17970","17016","0","0","28","8295","40701","1808","39","0","310","300","19789","23374","0","43309"
"2009-05-16","17970","17020","0","0","28","8303","40714","1807","39","0","310","302","19798","23377","0","43321"
"2009-05-23","17953","17010","0","0","28","8309","40695","1806","39","0","309","302","19798","23356","0","43300"
"2009-05-30","17951","17013","0","0","28","8311","40698","1807","39","0","309","302","19804","23354","0","43303"
"2009-06-06","17950","17014","0","0","28","8314","40701","1807","39","0","309","302","19805","23356","0","43306"
"2009-06-13","17924","17024","0","0","30","8321","40696","1804","39","0","309","302","19800","23354","0","43299"
"2009-06-20","17920","17019","0","0","30","8322","40688","1804","39","0","309","302","19800","23346","0","43291"
"2009-06-27","17921","17021","0","0","30","8331","40701","1804","39","0","308","302","19805","23353","0","43303"
"2009-07-04","17924","17020","0","0","30","8332","40704","1804","39","0","308","302","19805","23356","0","43306"
"2009-07-11","17930","17030","0","0","30","8339","40724","1806","39","0","309","304","19816","23368","0","43329"
"2009-07-18","17933","17036","0","0","30","8351","40745","1805","39","0","310","304","19824","23381","0","43350"
"2009-07-25","17936","17038","0","0","30","8357","40756","1805","39","0","310","305","19829","23387","0","43361"
"2009-08-02","17920","17033","0","0","31","8362","40745","1803","38","0","310","306","19822","23379","0","43346"
"2009-08-08","17927","17038","0","0","31","8369","40761","1805","38","0","311","307","19830","23390","0","43365"
"2009-08-15","17932","17038","0","0","32","8372","40769","1805","38","0","311","307","19838","23391","0","43374"
"2009-08-22","17906","17015","0","0","33","8367","40717","1803","38","0","312","308","19805","23371","0","43321"
"2009-08-29","17908","17019","0","0","33","8380","40735","1804","38","0","312","308","19813","23382","0","43340"
"2009-09-05","17912","17029","0","0","32","8388","40757","1803","38","0","312","308","19827","23389","0","43361"
"2009-09-12","17910","17026","0","0","32","8390","40754","1802","38","0","313","309","19825","23388","0","43358"
"2009-09-19","17908","17038","0","0","33","8404","40782","1799","38","0","313","309","19834","23404","0","43383"
"2009-09-26","17909","17042","0","0","33","8411","40794","1799","38","0","314","310","19838","23412","0","43395"
"2009-10-03","17912","17048","0","0","33","8423","40813","1799","38","0","314","312","19845","23426","0","43416"
