"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","5539","2797","0","0","19","2150","8590","175","1665","0","58","6","4956","5550","0","0","0","0","10506"
"2004-05-01","5600","2854","0","0","20","2272","8776","175","1713","0","57","6","5088","5658","0","0","0","0","10746"
"2005-01-01","5760","3010","0","0","20","2418","9101","207","1783","0","66","11","5304","5893","0","0","0","0","11208"
"2006-01-01","4210","2400","0","0","0","1940","7063","114","1260","0","60","14","4074","4466","0","0","0","0","8550"
"2006-04-01","4993","2744","0","0","1","2280","8298","177","1420","0","69","13","4777","5231","0","0","0","0","10018"
"2007-06-02","4593","2599","0","0","0","2279","7724","151","1467","0","67","18","4525","4936","0","0","0","0","9471"
"2007-09-29","4416","2546","0","0","0","2262","7614","46","1452","0","65","14","4362","4853","0","0","0","0","9224"
"2008-01-05","4403","2554","0","0","0","2296","7639","47","1459","0","62","14","4379","4865","0","0","0","0","9253"
"2008-03-01","4421","2554","0","0","0","2327","7674","47","1472","0","63","14","4396","4898","0","0","0","0","9302"
"2008-08-30","4509","2574","0","0","0","2536","7896","51","1553","0","64","17","4542","5067","0","0","0","0","9619"
"2008-10-04","4568","2581","0","0","4","2608","7958","55","1620","0","67","18","4629","5120","0","0","0","0","9761"
"2008-10-11","4598","2587","0","0","4","2642","7995","61","1642","0","70","20","4658","5159","0","0","0","0","9831"
"2008-10-18","4620","2588","0","0","4","2644","7996","62","1663","0","70","20","4662","5179","0","0","0","0","9856"
"2008-10-25","4630","2592","0","0","4","2645","8011","62","1662","0","70","20","4667","5189","0","0","0","0","9871"
"2008-11-04","4648","2610","0","0","4","2652","8039","62","1676","0","69","19","4686","5212","0","0","0","0","9914"
"2008-11-29","4675","2625","0","0","4","2672","8061","63","1715","0","68","19","4720","5239","0","0","0","0","9976"
"2008-12-27","4653","2615","0","0","4","2658","8026","63","1705","0","68","19","4701","5214","0","0","0","0","9930"
"2009-01-03","4651","2612","0","0","4","2659","8022","63","1705","0","68","19","4702","5209","0","0","0","0","9926"
"2009-02-07","4352","2404","0","0","5","2408","7478","55","1508","0","64","19","4305","4850","0","0","0","0","9169"
"2009-02-14","4348","2402","0","0","5","2408","7471","55","1509","0","64","19","4302","4847","0","0","0","0","9163"
"2009-02-21","4346","2402","0","0","5","2405","7466","55","1509","0","64","19","4299","4845","0","0","0","0","9158"
"2009-02-28","4337","2397","0","0","5","2399","7458","55","1497","0","64","19","4288","4836","0","0","0","0","9138"
"2009-03-07","4335","2396","0","0","5","2399","7455","55","1497","0","64","19","4286","4835","0","0","0","0","9135"
"2009-03-14","4341","2401","0","0","5","2406","7467","57","1501","0","64","19","4295","4844","0","0","0","0","9153"
"2009-03-21","4342","2402","0","0","5","2408","7467","57","1505","0","64","19","4296","4847","0","0","0","0","9157"
"2009-03-28","4341","2402","0","0","5","2405","7464","57","1505","0","63","19","4292","4847","0","0","0","0","9153"
"2009-04-04","4339","2402","0","0","5","2403","7461","57","1504","0","63","19","4290","4845","0","0","0","0","9149"
"2009-04-11","4337","2402","0","0","5","2403","7459","57","1504","0","63","19","4289","4844","0","0","0","0","9147"
"2009-04-18","4334","2402","0","0","5","2404","7456","57","1504","0","63","19","4286","4845","0","0","0","0","9145"
"2009-04-25","4334","2402","0","0","5","2404","7456","57","1504","0","63","19","4286","4845","0","0","0","0","9145"
"2009-05-02","4342","2414","0","0","6","2410","7476","57","1511","0","64","20","4299","4859","0","0","0","0","9172"
"2009-05-09","4343","2413","0","0","6","2412","7478","57","1512","0","64","20","4298","4862","0","0","0","0","9174"
"2009-05-16","4347","2417","0","0","6","2427","7489","57","1523","0","65","20","4312","4871","0","0","0","0","9197"
"2009-05-23","4346","2417","0","0","6","2424","7484","57","1523","0","65","20","4308","4871","0","0","0","0","9193"
