"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","18058","3762","0","0","22","2498","13004","11015","21","0","264","8","10201","14132","0","0","0","0","24340"
"2004-05-01","18218","3835","0","0","24","2587","13124","11211","23","0","267","13","10365","14290","0","0","0","0","24664"
"2005-01-01","19836","4267","0","0","27","2826","13721","12810","31","0","278","35","11429","15484","0","0","0","0","26956"
"2006-01-01","17928","3871","0","0","0","2723","12440","11689","27","0","248","44","10446","14034","0","0","0","0","24522"
"2006-04-01","18017","3917","0","0","0","2811","12537","11812","29","0","249","46","10549","14155","0","0","0","0","24745"
"2007-06-02","18737","4014","0","0","0","3254","13153","12430","27","0","256","63","11154","14810","0","0","0","0","26005"
"2007-09-29","18805","4037","0","0","0","3347","13218","12545","25","0","256","70","11233","14917","0","0","0","0","26189"
"2008-01-05","18910","4087","0","0","0","3404","13282","12687","28","0","254","72","11327","15035","0","0","0","0","26401"
"2008-03-01","19045","4113","0","0","0","3472","13371","12821","28","0","256","75","11425","15160","0","0","0","0","26630"
"2008-08-30","19825","4119","0","0","4","3720","13697","13434","28","0","271","105","11900","15693","0","0","0","0","27668"
"2008-10-04","20565","4140","0","0","6","3793","13802","14105","34","0","276","115","12354","16072","0","0","0","0","28504"
"2008-10-11","20881","4143","0","0","7","3839","13859","14386","33","0","280","119","12556","16227","0","0","0","0","28870"
"2008-10-18","21312","4158","0","0","7","3866","13959","14715","32","0","279","131","12834","16403","0","0","0","0","29343"
"2008-10-25","21332","4153","0","0","7","3852","13934","14732","32","0","279","132","12842","16381","0","0","0","0","29344"
"2008-11-04","21668","4188","0","0","8","3883","14031","15003","31","0","283","146","13025","16566","0","0","0","0","29747"
"2008-11-29","21781","4219","0","0","8","3904","14081","15110","32","0","283","147","13103","16653","0","0","0","0","29912"
"2008-12-27","21700","4205","0","0","8","3892","14041","15046","32","0","284","146","13040","16613","0","0","0","0","29805"
"2009-01-03","21701","4204","0","0","8","3897","14050","15043","32","0","284","146","13043","16616","0","0","0","0","29810"
"2009-02-07","21089","4021","0","0","8","3685","13497","14619","31","0","262","143","12632","16020","0","0","0","0","28803"
"2009-02-14","21069","4021","0","0","8","3683","13495","14599","31","0","262","143","12618","16012","0","0","0","0","28781"
"2009-02-21","21072","4022","0","0","8","3689","13504","14600","31","0","262","144","12625","16015","0","0","0","0","28791"
"2009-02-28","21085","4025","0","0","8","3692","13516","14609","31","0","262","144","12632","16023","0","0","0","0","28810"
"2009-03-07","21071","4024","0","0","8","3691","13506","14603","31","0","262","144","12625","16014","0","0","0","0","28794"
"2009-03-14","21066","4017","0","0","10","3691","13505","14594","32","0","262","144","12621","16008","0","0","0","0","28784"
"2009-03-21","21078","4016","0","0","10","3692","13511","14600","32","0","262","144","12623","16018","0","0","0","0","28796"
"2009-03-28","21089","4012","0","0","10","3695","13513","14607","32","0","263","144","12625","16026","0","0","0","0","28806"
"2009-04-04","21072","4008","0","0","10","3698","13510","14592","31","0","263","145","12610","16023","0","0","0","0","28788"
"2009-04-11","21058","4001","0","0","10","3697","13509","14571","31","0","264","145","12595","16016","0","0","0","0","28766"
"2009-04-18","21058","4001","0","0","10","3697","13505","14575","31","0","264","145","12595","16016","0","0","0","0","28766"
"2009-04-25","21065","4005","0","0","10","3704","13511","14586","31","0","264","145","12602","16027","0","0","0","0","28784"
"2009-05-02","21046","4001","0","0","10","3699","13501","14571","31","0","263","145","12588","16014","0","0","0","0","28756"
"2009-05-09","21033","4003","0","0","10","3706","13506","14562","31","0","263","146","12592","16007","0","0","0","0","28752"
"2009-05-16","21043","4014","0","0","10","3718","13522","14579","31","0","264","145","12617","16015","0","0","0","0","28785"
"2009-05-23","21048","4020","0","0","10","3726","13533","14587","31","0","264","145","12624","16027","0","0","0","0","28804"
"2009-05-30","21048","4016","0","0","10","3733","13539","14585","31","0","264","144","12632","16023","0","0","0","0","28807"
"2009-06-06","21026","4013","0","0","11","3738","13529","14575","31","0","264","145","12613","16024","0","0","0","0","28788"
"2009-06-13","21015","4013","0","0","11","3747","13536","14567","31","0","264","145","12614","16021","0","0","0","0","28786"
"2009-06-20","21013","4017","0","0","12","3755","13541","14572","31","0","264","145","12616","16028","0","0","0","0","28797"
"2009-06-27","21017","4021","0","0","12","3760","13550","14575","31","0","265","145","12621","16036","0","0","0","0","28810"
"2009-07-04","21015","4020","0","0","12","3756","13548","14574","30","0","265","145","12616","16034","0","0","0","0","28803"
"2009-07-11","21014","4019","0","0","12","3761","13546","14579","30","0","265","145","12619","16034","0","0","0","0","28806"
"2009-07-18","21023","4019","0","0","12","3765","13551","14586","30","0","265","147","12622","16044","0","0","0","0","28819"
"2009-07-25","21030","4019","0","0","12","3780","13561","14597","30","0","266","147","12625","16061","0","0","0","0","28841"
"2009-08-02","21013","4018","0","0","14","3783","13558","14585","30","0","266","148","12617","16056","0","0","0","0","28828"
"2009-08-08","21022","4016","0","0","15","3786","13563","14590","30","0","267","148","12628","16056","0","0","0","0","28839"
"2009-08-15","21035","4016","0","0","15","3790","13568","14602","30","0","267","148","12637","16064","0","0","0","0","28856"
"2009-08-22","21028","4017","0","0","15","3795","13567","14602","30","0","267","149","12639","16062","0","0","0","0","28855"
"2009-08-29","21053","4020","0","0","15","3814","13577","14634","30","0","267","152","12670","16075","0","0","0","0","28902"
"2009-09-05","21030","4019","0","0","15","3815","13568","14620","30","0","267","152","12657","16065","0","0","0","0","28879"
"2009-09-12","21018","4018","0","0","17","3816","13554","14625","30","0","268","153","12648","16063","0","0","0","0","28869"
"2009-09-19","21021","4019","0","0","17","3817","13554","14631","30","0","268","153","12654","16062","0","0","0","0","28874"
"2009-09-26","21025","4019","0","0","17","3817","13554","14635","30","0","268","154","12655","16065","0","0","0","0","28878"
