"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","Total"
"2004-01-01","10763","1430","0","0","5","1142","5532","7209","554","0","13","0","5866","7461","0","13340"
"2004-05-01","10733","1444","0","0","5","1144","5526","7194","550","0","16","1","5853","7461","0","13326"
"2005-01-01","11680","1741","0","0","13","1415","6153","7959","604","0","34","6","6515","8311","0","14849"
"2006-01-01","10915","1775","0","0","0","1426","5776","7600","590","0","34","6","6285","7814","0","14116"
"2006-04-01","10785","1751","0","0","0","1439","5741","7503","582","0","34","6","6212","7747","0","13975"
"2007-06-02","10209","1701","0","0","0","1475","5472","7185","565","0","47","11","5963","7407","0","13385"
"2007-09-29","10171","1694","0","0","0","1502","5476","7173","557","0","45","12","5958","7394","0","13367"
"2008-01-05","10153","1708","0","0","0","1539","5496","7182","556","0","46","13","5986","7399","0","13400"
"2008-03-01","10174","1715","0","0","0","1565","5512","7216","557","0","47","14","6017","7421","0","13454"
"2008-08-30","10543","1715","0","0","1","1631","5646","7471","557","0","66","20","6206","7662","0","13890"
"2008-10-04","10853","1720","0","0","4","1655","5704","7716","567","0","80","24","6388","7820","0","14232"
"2008-10-11","10990","1717","0","0","5","1665","5728","7824","570","0","83","24","6454","7897","0","14377"
"2008-10-18","11099","1726","0","0","5","1660","5752","7899","573","0","88","27","6516","7946","0","14490"
"2008-10-25","11107","1723","0","0","5","1652","5739","7905","571","0","90","27","6511","7945","0","14487"
"2008-11-04","11238","1740","0","0","6","1653","5777","8002","581","0","91","28","6595","8004","0","14637"
"2008-11-29","11182","1732","0","0","5","1647","5766","7945","580","0","90","28","6561","7969","0","14566"
"2008-12-27","11206","1746","0","0","8","1679","5791","7957","588","0","90","28","6607","7983","0","14639"
"2009-01-03","11197","1744","0","0","8","1677","5787","7949","587","0","90","28","6602","7976","0","14626"
"2009-02-07","10877","1677","0","0","8","1625","5593","7727","571","0","88","27","6424","7718","0","14187"
"2009-02-14","10872","1679","0","0","8","1628","5595","7724","571","0","89","27","6423","7719","0","14187"
"2009-02-21","10869","1682","0","0","8","1630","5595","7725","570","0","90","27","6424","7720","0","14189"
"2009-02-28","10871","1686","0","0","8","1632","5602","7726","570","0","90","27","6429","7723","0","14197"
"2009-03-07","10869","1687","0","0","8","1631","5603","7724","570","0","90","28","6429","7721","0","14195"
"2009-03-14","10850","1679","0","0","8","1630","5599","7700","570","0","90","28","6422","7700","0","14167"
"2009-03-21","10830","1681","0","0","8","1631","5599","7686","569","0","88","28","6427","7678","0","14150"
"2009-03-28","10822","1679","0","0","8","1630","5593","7682","568","0","88","28","6421","7674","0","14139"
"2009-04-04","10827","1679","0","0","8","1632","5593","7691","568","0","86","27","6425","7677","0","14146"
"2009-04-11","10829","1678","0","0","8","1631","5590","7694","568","0","86","27","6426","7676","0","14146"
"2009-04-18","10825","1677","0","0","8","1631","5586","7691","568","0","86","27","6421","7675","0","14141"
"2009-04-25","10817","1675","0","0","8","1627","5580","7682","569","0","86","27","6413","7669","0","14127"
