"Date","Democrats","Republicans","Green","Constitution","Libertarians","Unaffiliated","White","Black","American Indian","Native Hawaiian","Other","Hispanic","Male","Female","Undisclosed Gender","No Labels","Multiracial","Undesignated","Total"
"2004-01-01","5992","4790","0","0","17","1708","12373","76","5","0","42","10","5966","6538","0","0","0","0","12507"
"2004-05-01","6046","4796","0","0","17","1747","12461","76","6","0","43","12","6022","6572","0","0","0","0","12606"
"2005-01-01","6313","5033","0","0","21","1926","13112","84","6","0","42","21","6316","6946","0","0","0","0","13293"
"2006-01-01","6274","5061","0","0","1","2036","13187","88","6","0","45","21","6343","6998","0","0","0","0","13372"
"2006-04-01","6280","5066","0","0","1","2073","13231","91","7","0","45","21","6372","7017","0","0","0","0","13420"
"2007-06-02","6352","5237","0","0","0","2221","13606","94","6","0","51","24","6547","7227","0","0","0","0","13810"
"2007-09-29","6279","5208","0","0","0","2272","13563","92","7","0","46","22","6505","7219","0","0","0","0","13759"
"2008-01-05","6299","5238","0","0","0","2321","13656","95","7","0","48","22","6542","7281","0","0","0","0","13858"
"2008-03-01","6310","5239","0","0","0","2338","13682","96","8","0","49","22","6560","7292","0","0","0","0","13887"
"2008-08-30","6445","5277","0","0","2","2432","13931","100","9","0","48","30","6685","7430","0","0","0","0","14156"
"2008-10-04","6523","5311","0","0","3","2490","14086","105","12","0","47","30","6770","7507","0","0","0","0","14327"
"2008-10-11","6551","5337","0","0","4","2527","14169","107","12","0","49","35","6809","7558","0","0","0","0","14419"
"2008-10-18","6553","5344","0","0","4","2517","14166","107","12","0","49","36","6802","7563","0","0","0","0","14418"
"2008-10-25","6558","5347","0","0","4","2515","14170","107","12","0","49","36","6804","7566","0","0","0","0","14424"
"2008-11-04","6586","5355","0","0","4","2532","14224","107","12","0","48","36","6832","7591","0","0","0","0","14477"
"2008-11-29","6597","5369","0","0","5","2546","14260","107","13","0","49","37","6859","7604","0","0","0","0","14517"
"2008-12-27","6593","5366","0","0","5","2544","14251","107","13","0","49","37","6856","7598","0","0","0","0","14508"
"2009-01-03","6592","5365","0","0","5","2544","14249","107","13","0","49","37","6855","7597","0","0","0","0","14506"
"2009-02-07","6582","5344","0","0","5","2535","14212","106","13","0","48","36","6836","7577","0","0","0","0","14466"
"2009-02-14","6565","5334","0","0","5","2532","14182","106","13","0","48","36","6821","7563","0","0","0","0","14436"
"2009-02-21","6558","5330","0","0","5","2529","14170","106","13","0","46","36","6816","7554","0","0","0","0","14422"
"2009-02-28","6563","5335","0","0","5","2534","14187","105","13","0","46","36","6824","7561","0","0","0","0","14437"
"2009-03-07","6562","5335","0","0","5","2534","14186","105","13","0","46","36","6824","7560","0","0","0","0","14436"
"2009-03-14","6560","5331","0","0","5","2533","14180","104","13","0","46","36","6820","7557","0","0","0","0","14429"
"2009-03-21","6549","5321","0","0","5","2539","14164","105","13","0","46","36","6810","7552","0","0","0","0","14414"
"2009-03-28","6546","5320","0","0","5","2537","14158","105","13","0","46","36","6805","7551","0","0","0","0","14408"
"2009-04-04","6544","5320","0","0","5","2541","14160","105","13","0","46","36","6807","7551","0","0","0","0","14410"
"2009-04-11","6544","5319","0","0","5","2541","14159","105","13","0","46","36","6807","7550","0","0","0","0","14409"
"2009-04-18","6544","5319","0","0","5","2544","14162","105","13","0","47","36","6806","7554","0","0","0","0","14412"
"2009-04-25","6545","5318","0","0","5","2553","14171","105","13","0","47","36","6814","7555","0","0","0","0","14421"
"2009-05-02","6546","5316","0","0","5","2555","14172","105","13","0","47","36","6815","7555","0","0","0","0","14422"
"2009-05-09","6549","5319","0","0","6","2556","14180","105","13","0","47","36","6823","7555","0","0","0","0","14430"
"2009-05-16","6549","5318","0","0","6","2555","14178","105","13","0","47","36","6822","7554","0","0","0","0","14428"
"2009-05-23","6555","5321","0","0","6","2561","14194","104","13","0","47","36","6829","7562","0","0","0","0","14443"
"2009-05-30","6553","5321","0","0","6","2560","14191","104","13","0","47","36","6828","7560","0","0","0","0","14440"
"2009-06-06","6556","5325","0","0","6","2562","14200","104","13","0","47","36","6832","7565","0","0","0","0","14449"
"2009-06-13","6556","5324","0","0","6","2562","14199","104","13","0","47","36","6831","7565","0","0","0","0","14448"
"2009-06-20","6554","5323","0","0","6","2560","14194","104","13","0","47","36","6829","7562","0","0","0","0","14443"
"2009-06-27","6555","5323","0","0","6","2559","14194","104","13","0","47","36","6829","7562","0","0","0","0","14443"
"2009-07-04","6561","5326","0","0","6","2564","14209","104","13","0","46","36","6833","7572","0","0","0","0","14457"
"2009-07-11","6560","5326","0","0","6","2564","14208","104","13","0","46","36","6833","7571","0","0","0","0","14456"
"2009-07-18","6565","5330","0","0","6","2568","14219","104","13","0","48","37","6838","7579","0","0","0","0","14469"
"2009-07-25","6547","5328","0","0","6","2559","14189","104","13","0","49","37","6819","7569","0","0","0","0","14440"
"2009-08-02","6544","5330","0","0","6","2563","14193","104","13","0","49","37","6821","7570","0","0","0","0","14443"
"2009-08-08","6544","5329","0","0","6","2562","14191","104","13","0","49","37","6821","7568","0","0","0","0","14441"
"2009-08-15","6551","5336","0","0","6","2569","14212","104","13","0","49","37","6829","7581","0","0","0","0","14462"
"2009-08-22","6552","5337","0","0","6","2571","14215","104","13","0","50","38","6827","7587","0","0","0","0","14466"
"2009-08-29","6554","5339","0","0","7","2573","14222","104","13","0","50","38","6829","7592","0","0","0","0","14473"
"2009-09-05","6552","5339","0","0","7","2573","14220","104","13","0","50","38","6828","7591","0","0","0","0","14471"
"2009-09-12","6552","5337","0","0","7","2573","14218","104","13","0","50","38","6827","7590","0","0","0","0","14469"
"2009-09-19","6550","5337","0","0","7","2573","14216","104","13","0","50","38","6826","7589","0","0","0","0","14467"
"2009-09-26","6539","5318","0","0","7","2577","14190","104","13","0","50","38","6813","7576","0","0","0","0","14441"
"2009-10-03","6543","5321","0","0","7","2579","14199","104","13","0","50","38","6816","7582","0","0","0","0","14450"
"2009-10-10","6541","5324","0","0","7","2582","14204","103","13","0","50","38","6820","7582","0","0","0","0","14454"
"2009-10-17","6546","5322","0","0","7","2582","14207","103","13","0","50","38","6821","7584","0","0","0","0","14457"
"2009-10-24","6541","5318","0","0","7","2583","14199","103","13","0","50","38","6817","7580","0","0","0","0","14449"
"2009-10-31","6541","5318","0","0","7","2583","14199","103","13","0","50","38","6817","7580","0","0","0","0","14449"
"2009-11-03","6540","5318","0","0","7","2582","14197","103","13","0","50","38","6817","7578","0","0","0","0","14447"
"2009-11-21","6542","5318","0","0","7","2594","14210","104","12","0","50","39","6822","7586","0","0","0","0","14461"
"2009-11-28","6531","5313","0","0","8","2592","14192","105","12","0","50","39","6810","7581","0","0","0","0","14444"
"2009-12-05","6531","5315","0","0","8","2592","14194","105","12","0","50","39","6811","7582","0","0","0","0","14446"
"2009-12-12","6528","5314","0","0","8","2587","14185","105","12","0","50","39","6806","7578","0","0","0","0","14437"
"2009-12-19","6531","5319","0","0","9","2591","14198","105","12","0","50","39","6813","7584","0","0","0","0","14450"
"2009-12-26","6531","5317","0","0","9","2591","14196","105","12","0","50","39","6812","7583","0","0","0","0","14448"
"2010-01-02","6525","5316","0","0","10","2595","14194","105","12","0","50","39","6809","7584","0","0","0","0","14446"
"2010-01-09","6524","5321","0","0","11","2599","14203","105","12","0","50","39","6814","7588","0","0","0","0","14455"
"2010-01-16","6530","5324","0","0","11","2599","14212","105","12","0","50","39","6820","7592","0","0","0","0","14464"
"2010-01-23","6532","5324","0","0","11","2599","14214","105","12","0","50","39","6819","7595","0","0","0","0","14466"
"2010-01-30","6523","5321","0","0","10","2607","14209","103","12","0","52","39","6819","7591","0","0","0","0","14461"
"2010-02-06","6524","5323","0","0","10","2610","14215","103","12","0","52","39","6823","7593","0","0","0","0","14467"
"2010-02-13","6521","5325","0","0","10","2616","14220","103","12","0","52","39","6827","7594","0","0","0","0","14472"
